Data de Publicação,Título,Resumo,Palavras-chave,Qtd. de Autores,Autor 1,Autor 2,Autor 3,Autor 4,Autor 5,Autor 6,Afiliação 1,Afiliação 2,Afiliação 3,Afiliação 4,Afiliação 5,Afiliação 6,Url Artigo,Revista
2019-11-18,"RESPONSABILIDADE AMBIENTAL, CUSTO DE CAPITAL, RISCO E ENDIVIDAMENTO","O presente estudo teve por objetivo verificar o efeito da sinalização ambiental na estrutura de capital. A certificação ISO 14001 foi empregada como proxy de sinalização para o mercado de empresas que são comprometidas com sustentabilidade ambiental. Os dados coletados se referem ao período de 1995 a 2016, sendo a amostra final de 2365 firmas/ano. Utilizou-se um modelo “difference in difference” com efeito fixo para empresa, com o intuito de se estimar o efeito da obtenção da certificação na estrutura de capital, risco e nível de endividamento mediante a comparação de empresas que receberam a respectiva certificação do Sistema de Gestão Ambiental com empresas que não possuem tal certificação. Um Propensity Score Matching também foi efetuado para se mitigar um possível viés de auto-seleção. Os resultados sugerem que embora a adoção de práticas de gerenciamento exigidas pelos padrões ISO14001 não reduza em média o risco sistêmico das empresas, percebe-se alteração na estrutura de capital das empresas certificadas a partir da redução do custo de capital de terceiros e aumento da proporção da dívida de longo prazo.",Certificação. Sinalização. Custo de capital. Risco. Dívida.,4,Jessica Prado Martins,Danilo Soares Monte-mor,Silvania Neris Nossa,Valcemiro Nossa,,,Fucape Business School,Fucape Business School,Fucape Business School,Fucape Business School,,,https://asaa.anpcont.org.br/index.php/asaa/article/view/500,Advances in Scientific and Applied Accounting – ASAA
2020-08-31,DESPESAS DE EXERCÍCIOS ANTERIORES: UMA ANÁLISE DA RELAÇÃO COM A EXECUÇÃO DO ORÇAMENTO PÚBLICO E A EFICIÊNCIA NA GESTÃO DE RECURSOS,"O registro contábil de Despesas de Exercícios Anteriores(DEA’s) remete a um descompasso na execução do orçamento público, pois o fato gerador, ocorrido em exercício passado, acaba por ser pago às custas do orçamento vigente, problemática recorrentemente apontada pelos tribunais de contas em todo o país. Posto isso, o objetivo da pesquisa foi avaliar a relação entre as Despesas de Exercícios Anteriores e as variáveis associadas ao orçamento e a eficiência de gestão de recursos nas Instituições Federais de Ensino Superior. Trata-se de uma pesquisa exploratória, realizada mediante análise descritiva e explicativa, que se apropria da metodologia de Análise Envoltória de Dados para realizar uma regressão com Dados em Painel que explique a variância encontrada nas DEA’s. Utilizando como conceitos a execução do orçamento público, sob a perspectiva de vetor fundamental na consecução das atividades do setor público, e a eficiência na gestão, inerente a Nova Administração Pública, foram mensurados escores de eficiência aplicando Análise Envoltória de Dados, os quais, foram regredidos por meio de Dados em Painel. Os resultados demonstram que a partir desses dois parâmetros estatísticos é possível explicar a variância nas DEA’s, fomentando o debate acerca da responsabilidade na gestão de recursos e sobre a importância do orçamento no planejamento e execução de políticas públicas. O presente estudo expõe o efeito que a disposição do orçamento, aliado com a eficiência da gestão de recursos, possuem no volume das DEA’s, cujos resultados podem causar adversidades na condução orçamentária das instituições analisadas, por vezes frustrando a execução de políticas públicas.",Despesas de Exercícios Anteriores. Planejamento Orçamentário. Eficiência Pública. Despesas Públicas. Gestão de Recursos.,2,Saulo Silva Lima Filho,Blênio Cezar Severo Peixe,,,,,Universidade Federal do Paraná,Universidade Federal do Paraná Departamento de Ciências Contábeis Programa de Pós-Graduação Strictu Senso em Contabilidade,,,,,https://asaa.anpcont.org.br/index.php/asaa/article/view/590,Advances in Scientific and Applied Accounting – ASAA
2020-01-23,A CERTIFICAÇÃO ISO 14001 E O ENDIVIDAMENTO DAS EMPRESAS BRASILEIRAS,"A certificação ISO 14001 compreende um conjunto de normas ambientais, vista como uma das soluções para alcançar a responsabilidade ambiental, aumentando a competitividade das Companhias no mercado nacional e internacional. Assim, esta pesquisa tem por objetivo verificar a relação da implantação do sistema de gestão ambiental (SGA) - ISO 14001 com o endividamento das empresas brasileiras listadas na B3. Para mensurar esse efeito foi utilizada a análise de regressão em painel com estimação dif-in-dif e o teste de média para duas populações. A fonte dos dados utilizada foram demonstrações financeiras das empresas listadas na B3, disponibilizadas pela Economática e informações sobre as certificações disponíveis nos sites das empresas referente ao período de 1996 a 2016. A amostra inicial foi de 8.400 observações em 400 empresas, posteriormente reduzidas para 2.400. Os resultados encontrados apontam evidências de que a certificação ISO 14001 afeta o endividamento de longo prazo de forma positiva e o de curto prazo de forma negativa, ou seja, as empresas com certificação ISO 14001 estão substituindo financiamento de curto por financiamento de longo prazo. Este pode ser resultado de um aumento de confiança devido ao compliance trazido pela certificação ISO 14001.",Certificação. ISO 14001. Endividamento. B3. Compliance,4,Enezio Mariano da Costa,Valcemiro Nossa,Silvania Neris Nossa,Vania Maria da Costa Borgerth,,,Fucape Business School,Fucape Business School,Fucape Business School,Fucape Business School,,,https://asaa.anpcont.org.br/index.php/asaa/article/view/508,Advances in Scientific and Applied Accounting – ASAA
2019-11-18,A INFLUÊNCIA DA ESTRUTURAÇÃO NA RELAÇÃO ENTRE AS TENSÕES DINÂMICAS E O DESEMPENHO ESTRATÉGICO,"O tema da pesquisa versa sobre a estruturação social e o Sistema de Controle Gerencial, com o objetivo de verificar a influência exercida pela estruturação social entre as tensões dinâmicas e o desempenho estratégico de cooperativas agropecuárias. Sua contribuição teórica volta-se à relação das alavancas de controle de Simons (1995) como mecanismos para se avaliar o desempenho estratégico com a estruturação social de cooperativas agropecuárias. E, justifica a pesquisa empírica pela necessidade em se conhecer o direcionamento gerencial das cooperativas sob a perspectiva de sistema de crenças e limites, nas práticas gerenciais do controle diagnóstico e interativo, no desempenho estratégico e o seu impacto potencializado pela estruturação social (domínio, significação e legitimação). Utilizou-se uma survey, aplicada a cooperativas do ramo agropecuário constituídas no Brasil, Obteve-se um total de 70 respostas válidas, as quais foram submetidas ao método de análise de Modelagem de Equações Estruturais (MEE) pelo método de Mínimos Quadrados Parciais (PLS). Os resultados indicam que a tensão dinâmica proveniente do uso balanceado dos sistemas de crenças e limites não apresenta influência sobre o desempenho, enquanto a tensão entre os sistemas de controle interativo e controle diagnóstico mostra influência direta sobre o desempenho estratégico. Quanto à análise de mediação, os resultados indicam as estruturas de significação e dominação como mediadoras da relação entre a tensão dinâmica e o desempenho estratégico, enquanto a estrutura de legitimação não se mostrou mediadora. Conclui-se que a tensão entre as alavancas de controle interativo e diagnóstico e entre crenças e limites funciona como meio de estabelecer relações de poder nas organizações, a partir das estruturas sociais de significação e dominação, de modo que os sistemas de controle gerencial têm relação com a criação de estruturas sociais e com o desempenho estratégico. Portanto, ao associar os elementos da teoria e prática observa-se que a relação encontrada entre os pilares de significação e as alavancas de controle pode ser útil para gestores e usuários se pautarem no momento de definição dos desenhos dos controles gerenciais em suas empresas. Sabendo-se o efeito social que os controles componentes de cada uma das alavancas de controle possuem, bem como o resultado do balanceamento das tensões dinâmicas para a criação desse efeito, os gestores podem delimitar mudanças ou reformulações nos controles gerenciais utilizados, de modo a direcionar a criação ou o reforço de um dos pilares da estruturação que melhor convenha às necessidades estratégicas da organização.",Sistemas de Controle Gerencial. Alavancas de Controle. Tensão Dinâmica. Desempenho Estratégico. Teoria da Estruturação.,4,Ivan Rafael Defaveri,Delci Grapegia Dal Vesco,Carlos Alberto Diehl,Leandro Augusto Toigo,,,Universidade Estadual do Oeste do Paraná,Universidade Estadual do Oeste do Paraná,Universidade Vale do Rio dos Sinos,Universidade Estadual do Oeste do Paraná,,,https://asaa.anpcont.org.br/index.php/asaa/article/view/569,Advances in Scientific and Applied Accounting – ASAA
2020-04-22,CUSTOS DA QUALIDADE EM HOSPITAIS ACREDITADOS,"Esse estudo tem como objetivo identificar como os gestores percebem a ocorrência dos custos da qualidade em termos de intensidade nos hospitais foco do estudo. Para tanto, a estratégia de pesquisa utilizada é o estudo de caso múltiplo, envolvendo dois hospitais: um de natureza filantrópica, localizado em Foz do Iguaçu-PR, e outro de natureza privada, localizado em Porto Alegre-RS. A coleta de dados abrange 27 entrevistas semi-estruturadas, além de observações diretas e análises documentais. Verifica-se que a ocorrência dos Custos da Qualidade ocupa ainda pouco espaço perante o ambiente hospitalar devido, dentre outros fatores, à complexidade do sistema, à falta de necessidade desse tipo de informação enxergada em meio às decisões e à falta de precisão na mensuração de alguns custos ocultos, tal como as atitudes tomadas frente às reclamações dos clientes. Ainda, foi possível constatar que, em grande maioria, esses custos não são mensurados e controlados em valor monetário. Apenas os já registrados pela Contabilidade são observados mais claramente pelos gestores, não havendo esforços adicionais na exploração dos custos ocultos de qualidade. As causas disso seriam, dentre outras, a falta de necessidade dessas informações em meio ao processo decisório e a carência gerencial contábil no fornecimento dessas informações. Os custos de prevenção foram os mais percebidos, principalmente no que se refere a treinamentos, manutenções preventivas e aquisição de tecnologias, custos tangíveis e já existentes na Contabilidade. Os custos de avaliação, falhas internas e falhas externas apresentaram percentuais menores no que tange à ocorrência, uma vez que nessas categorias, muitos dos elementos de custos são involuntários e difíceis de mensurar e controlar, como retrabalhos, custos com auditoria do sistema de qualidade e mensuração de prejuízo psicológico gerado ao paciente. Como limitações destaca-se a generalização dos dados, já que envolve dois hospitais acreditados apenas, e assim, em outras organizações as constatações poderiam ser outras.",Custos da qualidade. Custos de controle. Custos de falhas de controle. Hospitais acreditados.,4,Katia Abbas,Paulo Henrique Rezende da Silva,Marcia Maria Dos Santos Bortolocci Espejo,Leticia Matiolli Grejo,,,Universidade Estadual de Maringá,Possui graduação em Ciências Contábeis pela Universidade Estadual de Maringá,Universidade Federal do Mato Grosso do SUL,Universidade Estadual do Paraná,,,https://asaa.anpcont.org.br/index.php/asaa/article/view/627,Advances in Scientific and Applied Accounting – ASAA
2019-07-23,CARACTERÍSTICAS INSTITUCIONAIS DOS PAÍSES E PRÁTICAS DE EVIDENCIAÇÃO DAS PROVISÕES E PASSIVOS CONTINGENTES AMBIENTAIS: UM ESTUDO INTERNACIONAL,"Esta pesquisa objetiva investigar a relação entre as características institucionais dos países de origem das empresas, que adotam IFRS, e a evidenciação das provisões e passivos contingentes ambientais. Com base na Teoria Institucional, espera-se que as características institucionais dos países exerçam pressões sobre as práticas de evidenciação, indo de encontro aos objetivos do IASB de comparabilidade em nível global. A pesquisa tem como amostra 614 observações de 123 companhias do Brasil, Canadá, Reino Unido, França, Alemanha, Austrália e China, de setores que exploram o meio ambiente com mais intensidade. O período de análise compreende os anos de 2011 a 2015. Como metodologia, empregou-se análise fatorial e regressões com modelos de dados em painel. Os resultados obtidos mostraram que o disclosure de provisões ambientais está relacionado com o fator construído pelas variáveis de interesse dos sistemas político, financeiro e cultural do país de origem das empresas. No entanto, em relação a passivos contingentes ambientais, não foi encontrada relação estatisticamente significativa com o fator. As evidências de isomorfismo coercitivo e mimético encontradas permitem inferir que a evidenciação de provisões ambientais está relacionada com fatores múltiplos e conflitantes com o escopo de comparabilidade do IASB, o que prejudica este objetivo e sinaliza a não comparabilidade. A principal conclusão deste trabalho é a de que, apesar de existirem pressões normativas para a existência da comparabilidade, há pressões institucionais conflitantes de outros atores sociais, de caráter coercitivo e mimético, fazendo com que as empresas, em busca de legitimidade, conduzam suas práticas de reporte estrategicamente, indo de encontro aos objetivos do IASB.",Passivos Ambientais. Provisões Ambientais. Passivos Contingentes Ambientais. Características Institucionais dos Países.,3,Thiago Alberto dos Reis Prado,Maísa de Souza Ribeiro,Marcelo Botelho de Moraes,,,,Universidade Federal de Uberlândia,Universidade de São Paulo,USP,,,,https://asaa.anpcont.org.br/index.php/asaa/article/view/415,Advances in Scientific and Applied Accounting – ASAA
2020-04-22,PARTICIPAÇÃO E CONSTITUIÇÃO DE RESERVAS ORÇAMENTÁRIAS: O PAPEL MODERADOR DA INCERTEZA DO AMBIENTE EXTERNO,"Este estudo tem como objetivo verificar em que medida a participação orçamentária, moderada pela incerteza do ambiente externo, influencia a constituição de reservas orçamentárias. Foi realizada uma pesquisa empírica, com abordagem quantitativa, realizada através de um questionário. A população foi limitada a gestores de nível intermediário, de diferentes áreas funcionais, com perfis ativos na rede social LinkedIn®, sendo a amostra final composta por 111 respondentes. Para a análise, foi adotada a técnica de Modelagem de Equações Estruturais. Os resultados indicam que a participação orçamentária está positivamente associada à constituição de reservas; no entanto, esse efeito é mais forte em ambientes externos com níveis mais altos de incerteza. As evidências indicam que em um ambiente externo de baixa incerteza, a participação por si só não constitui um antecedente significativo para a criação de reservas. Em suma, os resultados sugerem que a incerteza do ambiente externo modera a relação entre a participação orçamentária e a reserva orçamentária. Esse resultado tem implicações no processo de planejamento orçamentário das empresas, que, ao buscar um orçamento com menor nível de reservas, devem restringir o nível de participação do gestor em ambientes externos altamente incertos. Por outro lado, em um ambiente externo de baixa incerteza, há pouca diferença entre um nível maior ou menor de participação na constituição de reservas",Participação orçamentária. Incerteza ambiental. Reserva orçamentária.,3,Danrlei Anderson Peyerl,Franciele Beck,Daniel Magalhães Mucci,,,,Universidade Regional de Blumenau,Universidade Regional de Blumenau,Universidade de São Paulo,,,,https://asaa.anpcont.org.br/index.php/asaa/article/view/632,Advances in Scientific and Applied Accounting – ASAA
2019-11-18,A PRECARIEDADE DO CONTEÚDO INFORMACIONAL DOS ANEXOS DE RISCOS FISCAIS DE MUNICÍPIOS BRASILEIROS,"A pesquisa analisou o conteúdo informacional do relatório chamado de ‘Anexo de Riscos Fiscais’ emitido por governos locais, enviado com a Lei de Diretrizes Orçamentárias às Câmaras Municipais para o debate orçamentário. A elaboração do relatório está no centro do debate sobre sustentabilidade fiscal de governos. Foram comparados os relatórios emitidos por 12 prefeituras municipais no período de 2011 a 2016. Selecionamos aleatoriamente 9 municípios (na faixa populacional entre 100 e 200 mil habitantes) dos estados de São Paulo, Rio de Janeiro e Minas Gerais, além das respectivas capitais. As evidências para os casos analisados indicam que, em geral, os indicadores de risco e as providências associadas são genéricos e não atualizados, e, portanto, com baixo conteúdo informacional. Os resultados apontam que a fiscalização superficial dos Tribunais de Contas na questão pode gerar incentivos para prefeituras apresentarem estes anexos de forma cerimonial, com o único objetivo de cumprir a legislação fiscal. Tanto as prefeituras de menor porte analisadas, quanto as capitais dos estados apresentam sinais de uma gestão de riscos inexistente. A apresentação cerimonial desses indicadores e providências pode indicar a provável inoperância na gestão de riscos nos casos analisados, e, portanto, uma baixa capacidade de antecipação de crises ou choques.",Riscos Fiscais. Lei de Responsabilidade Fiscal. Lei de Diretrizes Orçamentárias. Sustentabilidade fiscal.,4,Ricardo Rocha de Azevedo,André Carlos Busanelli de Aquino,André Feliciano Lino,Gabriel Cavalmoretti,,,Universidade Federal de Uberlândia,Universidade de São Paulo,Universidade Federal do Pará,Universidade de São Paulo,,,https://asaa.anpcont.org.br/index.php/asaa/article/view/410,Advances in Scientific and Applied Accounting – ASAA
2019-07-23,CONSOLIDAÇÃO DO MODELO DAS ALAVANCAS DE CONTROLE DE SIMONS: ANÁLISE SOB A LENTE DA TEORIA ATOR-REDE,"Neste estudo analisa-se a consolidação do modelo das alavancas de controle (Levers of Control – LoC) proposto por Simons (1995) sob a lente da Teoria Ator-Rede (TAR). O reconhecimento da relevância das LoC enquanto mecanismos de controle e as críticas atribuídas para cada uma das alavancas é analisada no ensaio teórico sob o enfoque da Teoria Ator-Rede, que auxilia no entendimento das relações entre os atores e os mecanismos de construção da rede do conhecimento. As pesquisas que analisaram as LoC em diferentes contextos, mais recentemente passaram a contemplar as quatro alavancas de controle com uma rede mais forte, que discute os seus conceitos a partir das críticas e busca soluções por meio de pesquisas empíricas que fomentam as discussões. A TAR permitiu inferir sobre a consolidação do modelo das LoC do Sistema de Controle Gerencial proposto por Simons (1995), visto que os atores perceberam ao longo dos anos a necessidade da análise das quatro alavancas de controle de forma conjunta. A TAR também mostrou a instabilidade e variabilidade dos estudos das LoC para o fortalecimento da rede, uma barreira para a consolidação das LoC enquanto área de pesquisa.",Sistemas de Controle Gerencial. Alavancas de controle. Teoria Ator-Rede.,2,Larissa Degenhart,Ilse Maria Beuren,,,,,Universidade Federal de Santa Maria,Universidade Federal de Santa Catarina,,,,,https://asaa.anpcont.org.br/index.php/asaa/article/view/528,Advances in Scientific and Applied Accounting – ASAA
2018-04-30,FATORES CONTINGENCIAIS E O CONTROLE GERENCIAL: UMA AVALIAÇÃO EM ORGANIZAÇÕES NÃO GOVERNAMENTAIS (ONGS) BRASILEIRAS,"O objetivo deste artigo foi avaliar as relações entre os fatores contingenciais com as práticas referentes ao controle gerencial no âmbito de Organizações Não Governamentais (ONGs) brasileiras. Foi realizada uma pesquisa de campo, por meio de um survey por correspondência, com 43 organizações listadas na Associação Brasileira de Organizações Não Governamentais (ABONG). Os fatores contingenciais externos considerados no estudo foram concorrência ambiental, dinamismo ambiental e incerteza ambiental. Os fatores contingenciais internos considerados foram o tamanho, estratégia, estrutura, tecnologia, cultura e liderança. Em relação aos controles gerenciais analisados, foram considerados os seguintes: gerenciamento por projeto; orçamento; controle interno; custeio baseado em atividades; gestão baseada em valor; gestão baseada em atividades; custeio variável e custeio alvo; análise custo/volume/lucro; análise da cadeia de valor; balanced scorecard e demonstrações contábeis adaptáveis aos gestores. Para avaliar a intensidade e a direção das relações entre os controles gerenciais com os fatores contingenciais externos e internos, foi utilizado o coeficiente de correlação de Spearman. O principal resultado em relação ao fator contingencial externo revelou que apenas a variável dinamismo apresentou relação direta e estatisticamente significante com um sistema de controle gerencial. No que tange aos resultados dos fatores contingenciais internos, exceto para o fator Tamanho, verificou-se diversas relações diretas e estatisticamente significantes com os controles gerenciais utilizados pelos presidentes e gestores das ONGs. Concluiu-se que as práticas de controle gerencial utilizadas pelos presidentes e gestores das ONGs são influenciadas por fatores contingenciais internos e externos.",Fatores contingenciais. Controle Gerencial. ONGs.,2,Alan Santos de Oliveira,Antônio André Cunha Callado,,,,,Universidade Federal da Paraíba,Universidade Federal Rural de Pernambuco,,,,,https://asaa.anpcont.org.br/index.php/asaa/article/view/426,Advances in Scientific and Applied Accounting – ASAA
