Data de Publicação,Título,Resumo,Palavras-chave,Qtd. de Autores,Autor 1,Autor 2,Autor 3,Autor 4,Autor 5,Autor 6,Afilição 1,Afilição 2,Afilição 3,Afilição 4,Afilição 5,Afilição 6,Url Artigo,Revista
2016-01-01,Análise dos artigos sobre a contabilidade ambiental nos periódicos de contabilidade,"A crise ambiental está diretamente vinculada ŕs açőes humanas, visto que o ser humano no decorrer de sua evoluçăo cria e aprimora ferramentas que permitem a utilizaçăo dos recursos naturais de forma mais rápida e devastadora. A cadeia de produçăo é um sistema complexo, que impulsiona a degradaçăo ambiental, criada pelo desenvolvimento econômico, que foi alavancado pelo capital particular de grandes organizaçőes. As organizaçőes săo atores importantes nessa crise, pois săo responsáveis pela produçăo de bens de consumo para a sociedade e essa produçăo muitas vezes năo se preocupa com o meio ambiente. Diante desse cenário, é visto uma crescente preocupaçăo da sociedade em geral, principalmente pelo Estado, por questőes ambientais. A contabilidade ambiental surge como ferramenta de acompanhamento e controle sobre as açőes das organizaçőes em relaçăo a suas açőes com o meio ambiente. Devida a importância da contabilidade nesse contexto, este estudo, tem o objetivo de verificar a quantidade de artigos publicados sobre o tema Contabilidade Ambiental em língua portuguesa, nos principais periódicos brasileiros de contabilidade, além de identificar os pesquisadores que mais publicaram nessa área, também foi possível nesse estudo verificar a existęncia de uma rede de publicaçőes entre os autores. Os dados coletados permitem a análise quantitativa das publicaçőes em vinte e oito periódicos, num período de tempo de aproximadamente quatorze anos. Conclui-se que a cięncia contábil, cada vez mais, mostra-se ligada ao meio ambiente em que vivemos e, por se tratar de um tema contemporâneo, a questăo da contabilidade ambiental está em processo de evoluçăo.",,1,Cleber Broietti,,,,,,,,,,,,http://revistas.utfpr.edu.br/pb/index.php/CAP/article/view/2108,CAP Accounting and Management
2015-01-01,Empresas sustentáveis no Brasil: o que elas tem feito e deixado de fazer?,"Empresas sustentáveis săo aquelas que atuam em prol do lucro, mas estăo cientes que os recursos săo escassos e que ao seu redor existe a comunidade e o meio-ambiente o qual merecem respeito. No Brasil, uma proxy de empresas sustentáveis pode ser aquela dada pela Revista Guia Exame de Sustentabilidade publicada anualmente o qual no anuário de 2012 evidenciou 21 empresas. Com intuito de descobrir as açőes praticadas e năo praticadas por essas 21 empresas sustentáveis foi utilizado o quadro teórico das dimensőes da evidenciaçăo ambiental apresentado por Murcia et. al. (2008) e empregado a análise de conteúdo na Revista permitindo assim constatar que dentre as práticas mais adotadas estăo: pręmios e participaçőes em índices ambientais, educaçăo ambiental, investimentos ambientais, declaraçăo de políticas atuais e futuras e uso eficiente da água. Dentre as açőes menos praticadas estăo: os vazamentos e derramamentos, o gerenciamento de florestas, a utilizaçăo de materiais desperdiçados na produçăo de energia e o impacto na área de terra utilizada. Finalmente, os achados também evidenciam que as práticas de seguro ambiental, paisagismo e jardinagem, Projetos de mecanismos de desenvolvimento limpo, práticas contábeis ambientais, discussăo sobre a possível falta de energia e odor năo săo adotadas pelas empresas.",,2,Cintia Maria Araújo,Leonardo José Seixas Pinto,,,,,,,,,,,http://revistas.utfpr.edu.br/pb/index.php/CAP/article/view/1836,CAP Accounting and Management
2020-01-01,INVESTIGAÇĂO DOS ARTEFATOS GERENCIAIS UTILIZADOS PELOS GESTORES DOS RESTAURANTES DE FERNANDO DE NORONHA PARA A TOMADA DE DECISĂO,"O presente estudo objetiva investigar os artefatos de contabilidade gerencial utilizados pelos gestores dos restaurantes de Fernando de Noronha/PE para a tomada de decisăo, baseado no modelo International Management Accounting Practices 1 (IMAP 1). Para tanto, realizou-se, entre setembro e outubro de 2017, entrevistas in loco com 23 gestores. Os dados obtidos por meio das entrevistas foram transcritos e analisados utilizando-se da técnica de análise de conteúdo. Nesse sentido, foi realizado o processo de codificaçăo no software ATLAS.ti®, em que a codificaçăo aberta propiciou segmentar as unidades de significado nos códigos referentes aos artefatos gerenciais descritos no modelo do IMAP 1, para que, posteriormente, por meio da codificaçăo axial, os códigos fossem elencados como artefatos tradicionais ou modernos. Como principais resultados pode-se perceber que, dentre os artefatos tradicionais, há predominância na utilizaçăo do método de custeio por absorçăo e do orçamento, ficando os demais com baixa representatividade. Ao analisar os artefatos modernos, observa-se considerável utilizaçăo do benchmarking, kaizen, teoria das restriçőes e planejamento estratégico. Sendo assim, conclui-se que os artefatos da contabilidade gerencial estăo, de forma geral, fazendo parte da rotina de gestăo das empresas, mesmo que várias entidades utilizem esses recursos de forma intuitiva ou limitada.",,5,Rosa Jaqueline Ortiz Hamermüller,Yuri Gomes Paiva Azevedo,Hellen Bomfim Gomes,Raimundo Marciano de Freitas Neto,Aneide Oliveira Araújo,,,,,,,,http://revistas.utfpr.edu.br/pb/index.php/CAP/article/view/2698,CAP Accounting and Management
2017-01-01,CONTABILIDADE DE CUSTOS SOB A ÓTICA DA TEORIA INSTITUCIONAL: UMA ANÁLISE BIBLIOMÉTRICA E SOCIOMÉTRICA NAS BASES DE DADOS DA SCOPUS E DA SPELL,"A perspectiva institucional está se tornando um dos construtos teóricos mais promissores na busca de explicaçőes sobre o funcionamento e evoluçăo da sociedade organizacional, a teoria institucional fornece maneiras de compreender padrőes implícitos e a diversidade dentro das organizaçőes. Um dos direcionamentos dessa teoria é em pesquisas em contabilidade de custos. Portanto, o objetivo deste estudo descrever as características das pesquisas nacionais e internacionais sobre a teoria institucional com enfoque na contabilidade de custos. Para tanto, delineou-se esta pesquisa como um estudo descritivo, por meio de procedimentos de análise de conteúdo, sob uma abordagem quantitativa. Os artigos para a análise bibliométrica e sociométrica foram obtidos nos periódicos internacionais na base de dados Scopus bem como na base nacional Spell, abrangendo o período de 2005 a 2015.  O alcance das pesquisas sobre este assunto ainda é muito restrito, os resultados mostram que os estudos analisados estăo num momento inicial, mas já vem evoluindo fortemente. A maioria das publicaçőes tem ocorrido em periódicos do Reino Unido, apesar da prevalęncia dos pesquisadores que mais publicam sobre o assunto serem vinculados a instituiçőes americanas. A análise da sociometria apontou que existem 48 instituiçőes e 58 autores envolvidos nestes estudos, năo apresentando centralidade sobre uma instituiçăo ou autor. Quanto ao tema das pesquisas, existe uma abrangęncia diversificada, mostrando um campo de pesquisa que oferece oportunidade ampla de exploraçăo. Esta pesquisa confirmou duas leis da bibliometria, lei de Zipf e Lotka, no entanto, năo foi possível confirmar os pressupostos da lei de Bradford.",,3,Keila Priscila Santos,Juliano Francisco Baldissera,Denis Dall'Asta,,,,,,,,,,http://revistas.utfpr.edu.br/pb/index.php/CAP/article/view/2243,CAP Accounting and Management
2012-01-01,Percepçőes dos profissionais de contabilidade sobre as dificuldades no uso da tecnologia da informaçăo,"O fluxo contínuo de inovaçőes tecnológicas combinado com as mudanças havidas na prática da contabilidade vem transformando o ambiente das organizaçőes e das pessoas envolvidas, em especial, os profissionais de contabilidade. A tecnologia da informaçăo assume papel de destaque nas organizaçőes e com seus colaboradores, que a utilizam de forma intensa na busca de patamares superiores de desempenho e competitividade. Para tanto, o profissional contábil utiliza a TI intensamente para disponibilizar informaçőes confiáveis e tempestivas aos gestores, subsidiando-os na tomada de decisăo. Devido ŕ importância simultânea da TI e da contabilidade para a sociedade contemporânea, e ainda da importância do fator humano neste contexto, o objetivo desta investigaçăo é mapear as percepçőes dos profissionais de contabilidade quanto ŕs dificuldades no uso da tecnologia da informaçăo. Na coleta dos dados, utilizou-se questionário disponibilizado on-line, adaptado do instrumento da Davis (1989), conhecido como o Modelo de Aceitaçăo de Tecnologia (TAM). Anexou-se ao questionário questőes de caracterizaçăo do respondente. Foram obtidas 362 respostas, validadas pela Análise Fatorial e averiguada sua confiabilidade de escala pelo coeficiente Alfa de Cronbach. Os achados da pesquisa evidenciam, acentuadas facilidades (pouca dificuldade) dos profissionais de contabilidade operacionalizar a TI em sua atividade profissional. Porém, observou-se uma maior dificuldade para os usuários que utilizam softwares em fase de implantaçăo. Com relaçăo ŕ participaçăo do profissional de contabilidade nos tręs níveis de tomada de decisăo (operacional, tático e estratégico), a Análise de Clusters evidenciou a formaçăo de cinco grupos de respondentes: Estagiários, Responsáveis Operacionais, Chefes de Departamento, Vice-diretores e Diretores Gerais.",,4,Ricardo Adriano Antonelli,Lauro Brito de Almeida,Romualdo Douglas Colauto,Fernanda Luiza Longhi,,,,,,,,,http://revistas.utfpr.edu.br/pb/index.php/CAP/article/view/1582,CAP Accounting and Management
2015-01-01,A EVOLUÇĂO DOS RESTOS A PAGAR NĂO PROCESSADOS NO PERÍODO 2003 a 2013 E A CORRELAÇĂO COM AS TRANSFERĘNCIAS VOLUNTÁRIAS,"A inscriçăo dos restos a pagar năo processados foge ao processo normal de execuçăo, pois as despesas săo reconhecidas no empenho, sem a devida presença do fato gerador.  Tal situaçăo gera um descompasso entre a execuçăo orçamentária, que é encerrada em um exercício, e os efeitos financeiros que săo transferidos para o exercício subseqüente. O objetivo dessa investigaçăo é descrever o comportamento das inscriçőes dos restos a pagar năo processados, delimitados ao período de 2003 a 2013, e ainda a correlaçăo com as despesas oriundas das transferęncias voluntárias. Foi verificado o aumento das inscriçőes no período de 2003 a 2013 e a relevância das despesas com transferęncias voluntárias.  No final, constatou-se indícios de má aplicaçăo de recursos públicos, pois a inadimplęncia apresenta correlaçăo positiva com essas situaçőes.",,5,Ronaldo Cardoso Garcia Filho,Eduardo José Costa Melo,Alex Laquis Resende,Luiz Medeiros de Araujo Neto,Fernanda Ledo Marciniuk,,,,,,,,http://revistas.utfpr.edu.br/pb/index.php/CAP/article/view/1863,CAP Accounting and Management
2019-01-01,APLICAÇĂO DE METODOLOGIA DE CUSTEIO COM BASE NOS CUSTOS DO TRANSPORTE RODOVIÁRIO BRASILEIRO: um estudo de caso,"Através de estudos sobre os gastos do transporte rodoviário, o Brasil apresenta-se como grande polo para esse tipo de negócio, gerando empregos e sendo responsável por grande parte dos insumos transportados no país. Grande parte da produçăo agrícola brasileira é escoada até seu destino através de caminhőes, devido ao custo operacional ser mais viável em relaçăo aos outros tipos de modais existentes. O objetivo geral do presente estudo foi propor uma aplicaçăo de uma metodologia de custeio com base nos custos do transporte rodoviário brasileiro, considerando o estudo dos gastos semestrais de um transportador autônomo do estado de Minas Gerais. A empresa estudada é um transportador autônomo que possui quatro veículos em sua frota e trabalha transportando grăos entre Minas Gerais, Mato Grosso e Santos-SP. Considerando as informaçőes levantadas ao longo do presente trabalho, o resultado apontado pelo transportador pode ser considerado em desacordo com a literatura contábil e de custos, uma vez que através da metodologia aplicada ficou comprovado que o lucro no período semestral foi reduzido, levando em conta o faturamento bruto e os custos e despesas. Outra questăo refere-se ao gasto com combustíveis, custo que impacta fortemente os gastos do transportador, mas que depende diretamente do Governo. Em suma, indica-se aos envolvidos com esse tipo de prestaçăo de serviço, que sejam observadas questőes como o preço do frete oferecido, as condiçőes de estradas, e até mesmo adaptaçăo ao mercado transportador, seja com escolhas de rotas ou até mesmo com manutençőes preventivas que ajudam a economizar eventuais paradas.",,3,Cleyde Cristina Rodrigues,Ana Clara Fonseca do Amaral,Gilberto Januário Rodrigues,,,,,,,,,,http://revistas.utfpr.edu.br/pb/index.php/CAP/article/view/2610,CAP Accounting and Management
2012-01-01,O reflexo dos ativos intangíveis no valor de mercado de small caps da construçăo civil que compőem o índice SMLL da BM&FBOVESPA,"No mercado competitivo em que as empresas se encontram, os ativos intangíveis vęm adquirindo cada vez mais importância estratégica de modo que se tornaram fator de diferenciaçăo, o que proporciona uma série de vantagens competitivas como forma de enfrentar a concorręncia e se sobressair em seus mercados de atuaçăo, uma vez que os ativos tangíveis tais como fábricas ou equipamentos, por exemplo, podem ser rapidamente reproduzidos pelos concorrentes ou se tornam obsoletos. Por outro lado, ativos intangíveis como tecnologia, patentes, software e marcas seriam os grandes responsáveis por gerarem valor, uma vez que permitem agregar cada vez mais ŕ empresa, já que săo únicos, sendo assim, difíceis de copiar ou desenvolver. O procedimento metodológico foi o estudo de caso comparado das quatro empresas relatadas na pesquisa, perfazendo uma amostra de 7,99% de participaçăo no SMLL, equivalente a 45,527% da amostra em relaçăo ao setor da construçăo civil, que por sua vez representa 17,550% do SMLL. Desse modo, escolheu-se por convenięncia um grupo de quatro empresas listadas pela Bolsa de Valores do Estado de Săo Paulo (BM&FBOVESPA) que compőem o índice das açőes small caps, o SMLL, com o objetivo de verificar a relaçăo direta entre o seu valor de mercado e o seu patrimônio líquido, identificando se o mesmo pode ser responsável pela maior criaçăo de valor agregado ŕ empresa frente aos seus concorrentes. Pelos resultados encontrados, apesar dos índices serem influenciados diretamente pelos diversos cenários em que se encontram as companhias, pôde-se concluir que os ativos intangíveis săo relevantes no desempenho econômico e os resultados obtidos nesta pesquisa demonstram isto, pois ficou evidenciado que quanto maior parcela de ativos intangíveis, melhor o desempenho do valor da empresa percebido pelo mercado.
Palavras-chave: small caps; valor de mercado; ativos intangíveis.",,3,Claudio Antonio Rojo,Almir Ferreira de Sousa,Francielle Trento,,,,,,,,,,http://revistas.utfpr.edu.br/pb/index.php/CAP/article/view/1595,CAP Accounting and Management
2016-01-01,Licitaçăo sustentável como promotora de competitividade,"A licitaçăo é um assunto importante dentro da organizaçăo e no meio social, visto que o procedimento é uma ferramenta que agrega o desenvolvimento de política pública. O presente trabalho buscou entender qual o grau de conhecimento sobre o tema licitaçăo sustentável dos colaboradores de uma empresa de Material de Construçăo Civil. O estudo apontou uma compreensăo dos conceitos de licitaçăo e sustentabilidade e como săo realizadas as compras perante a estes conceitos. Em seguida, realizou uma investigaçăo com colaboradores de uma empresa para entender qual o grau de conhecimentos os mesmos apresentam a respeito do processo de licitaçăo da empresa, para isso foi aplicado um questionário aos colaboradores da organizaçăo, de forma que conseguisse obtermos respostas necessárias para alcançar o objetivo deste trabalho. Foi identificado que os colaboradores apresentam um conhecimento básico, com poucas fundamentaçőes sobre as rotinas e processos ou sobre os conceitos envolvidos na licitaçăo. Os conhecimentos apresentados pelos colaboradores possuem origem nas vivęncias diárias e atuaçőes que auxiliam a empresa a participar de editais. Esse trabalho contribuiu na identificaçăo do nível de conhecimento dos colaboradores a respeito dos processos de licitaçăo sustentável, e da relaçăo organizacional entre a empresa e os colaboradores, auxiliando no desenvolvimento profissional dos mesmos para que se tenha uma efetividade nos processos. Contribui também para os estudos e pesquisas com esta temática, podendo servir de aporte para implantaçăo pratica destes procedimentos.",,4,Déborah Machado de Oliveira,Sabrina Alves dos Santos,Marcelo Roger Meneghatti,Geysler Rógis Flor Bertolini,,,,,,,,,http://revistas.utfpr.edu.br/pb/index.php/CAP/article/view/2207,CAP Accounting and Management
2017-01-01,Simulaçăo de cenários estratégicos em uma empresa de emplacamento de veículos,"O mercado de empresas fabricantes de placas e tarjetas para veículos é caracterizado pela forte concorręncia e dependęncia de legislaçőes públicas, quanto ŕs orientaçőes de práticas de funcionamento e produtos a serem comercializados. Assim, este trabalho apresenta em sua primeira parte uma revisăo sistemática de publicaçőes com conteúdo acerca das alteraçőes na legislaçăo de veículos, com o objetivo de compreender o comportamento dos usuários de veículos quanto ŕs novas práticas governamentais. Em sua segunda parte, foi realizado um estudo de caso em uma empresa do setor, na cidade de Cascavel, no estado Paraná. Com coleta e tratamento de dados por meio do Modelo Rojo de Simulaçăo de Cenários Estratégicos, com o objetivo de preparar a empresa quanto as possíveis mudanças no setor. A partir desta análise foi possível levantar as variáveis críticas relevantes para o negócio, o que possibilitou a simulaçăo dos cenários e o desenvolvimento das estratégias que melhor se adaptam a cada um deles.",,4,Thayse Ana Ferreira,Gabriel Borges Ferreira,Claudio Antonio Rojo,Eveline Favero,,,,,,,,,http://revistas.utfpr.edu.br/pb/index.php/CAP/article/view/2237,CAP Accounting and Management
