Data de Publicação,Título,Resumo,Palavras-chave,Qtd. de Autores,Autor 1,Autor 2,Autor 3,Autor 4,Autor 5,Autor 6,Afiliação 1,Afiliação 2,Afiliação 3,Afiliação 4,Afiliação 5,Afiliação 6,Url Artigo,Revista
2016-03-18,ANÁLISE DE SUSTENTABILIDADE AMBIENTAL: ESTUDO DE CASO EM UMA INDÚSTRIA DE ELETRODOMÉSTICOS,"As organizações conquistam desenvolvimento sustentável e protegem o meio ambiente quando o sistema de gestão ambiental é implantado sob uma visão sistêmica, fazendo uma conexão com os interesses econômicos, sociais e ambientais. O objetivo do estudo consiste em identificar o índice de sustentabilidade de uma indústria de eletrodomésticos a partir da aplicação do método Sistema Contábil Gerencial Ambiental (SICOGEA), com foco em toda a cadeia produtiva e principalmente nos projetos sociais e ambientais. Para tanto, realizou-se uma pesquisa por meio de um estudo de caso, de caráter descritivo, com abordagem qualitativa dos dados. Para coleta dos dados foi utilizada uma lista de verificação e para análise utilizaram-se critérios demonstrados na metodologia visando medir o nível de sustentabilidade. Os resultados alcançados mostram que a empresa possui um sistema de gestão ambiental que orienta o trabalho em conjunto de todos os setores, com princípios de melhoria contínua, com tratamento de falhas de forma ética e transparente. Como fruto deste estudo, a indústria obteve um índice geral de sustentabilidade de 73%, portanto, é visível que as ações que a indústria vem praticando são benéficas à comunidade e prioritárias para a redução de impactos ambientais. Este trabalho pode servir de base para aplicação e incentivo em outros ramos empresariais.",Indústria de eletrodomésticos. Sustentabilidade. Sistema de gestão ambiental,4,Daniela Di Domenico,Sady Mazzioni,Maicon Andre Provin,Luciano Toniello,,,Universidade Comunitária da Região de Chapecó - UNOCHAPECO,Universidade Comunitária da Região de Chapecó - UNOCHAPECÓ,Universidade Comunitária da Região de Chapecó - UNOCHAPECÓ,Universidade Comunitária da Região de Chapecó - UNOCHAPECÓ,,,https://seer.ufrgs.br/index.php/ConTexto/article/view/47255,ConTexto
2019-06-27,MAPEAMENTO DA PESQUISA SOBRE DISCLOSURE AMBIENTAL VOLUNTÁRIO NO CENÁRIO BRASILEIRO: UMA REVISÃO DOS ARTIGOS PUBLICADOS EM PERIÓDICOS NACIONAIS NO PERÍODO DE 2004 A 2015,"O objetivo desse trabalho é apresentar uma revisão da produção científica nacional acerca do disclosure voluntário ambiental. A análise realizada permitiu identificar os principais procedimentos metodológicos, a autoria dos artigos e as Instituições de Ensino Superior que a vinculam, bem como reportar os principais resultados relacionados aos determinantes da evidenciação ambiental no Brasil. A pesquisa foi realizada a partir de uma amostra de 64 artigos acadêmicos coletados de 26 periódicos de Contabilidade ou áreas afins (Administração, Finanças, Economia, Negócios e Gestão Ambiental), publicados em português e disponibilizados pelo Portal de Periódicos CAPES, de 2004 até 2015. No que se refere aos determinantes da evidenciação ambiental no Brasil, os principais resultados indicaram que o tamanho continua sendo a variável explicativa mais significante. Observou-se também que, até 2012, 35 pesquisas foram qualitativas, porém, a partir dessa data, ocorreu uma inversão, houve incremento na abordagem quantitativa ante a qualitativa, somaram-se, então, 29 quantitativos e 15 qualitativos.",Disclosure ambiental. Revisão da literatura. Responsabilidade Social Corporativa.,2,Márcio Abadio Ramos,Rodrigo Fernandes Malaquias,,,,,Universidade Federal de Uberlândia.,Universidade Federal de Uberlândia,,,,,https://seer.ufrgs.br/index.php/ConTexto/article/view/68040,ConTexto
2019-11-25,ANÁLISE DAS DEMONSTRAÇÕES CONTÁBEIS: UMA PROPOSTA DE REFERÊNCIA DE ÍNDICES DE LIQUIDEZ PARA EMPRESAS BRASILEIRAS,"Este trabalho apresenta os intervalos dos indicadores de liquidez das empresas listadas na B3 para referenciar a análise de demonstrações contábeis de empresas brasileiras. Por meio de uma pesquisa descritiva e quantitativa, foi criada uma zona de normalidade de padrões setoriais de índices de liquidez com base na coleta de dados realizada na Economática®. Os índices trimestrais entre janeiro de 2013 e março de 2016 foram tratados com software de análise estatística dos dados. Foi realizada a proposta do cálculo da faixa de aceitação dos índices por setores (valores mínimo e máximo) para cada índice que poderá ser utilizado pelas empresas de pequeno e médio porte, haja vista ausência de referências específicas na literatura. O índice de liquidez geral apresenta-se intervalo de 0,2717 a 1,3552, liquidez corrente exibe uma faixa entre 0,4184 a 2,3285 obtendo o maior valor máximo dos três grupos, e o índice de liquidez seca, intervalo entre 0,3433 a 1,9803. Por fim, usou-se referência das empresas que divulgam suas informações para fomentar a discussão e promover informação para auxiliar as empresas de pequeno e médio porte por meio da construção de uma faixa de aceitação por setores, promovendo informação além da literatura que, notadamente, estabelece o índice 1 (um) como referência de análise.",Demonstrações Contábeis. Análise. Índices de Liquidez,3,Paula Hortência da Silva Soares,Juliano Almeida de Faria,José Jackson de Oliveira,,,,"Universidade Estadual de Feira de Santana Avenida Transnordestina, s/n - Novo Horizonte Departamento de Ciências Sociais Aplicadas - Módulo 3 CEP 44036-900 - Feira de Santana - Bahia","Universidade Estadual de Feira de Santana Avenida Transnordestina, s/n - Novo Horizonte Departamento de Ciências Sociais Aplicadas - Módulo 3 CEP 44036-900 - Feira de Santana - Bahia","Universidade Estadual de Feira de Santana Universidade Estadual de Feira de Santana Avenida Transnordestina, s/n - Novo Horizonte Departamento de Ciências Sociais Aplicadas - Módulo 3 CEP 44036-900 - Feira de Santana - Bahia",,,,https://seer.ufrgs.br/index.php/ConTexto/article/view/94641,ConTexto
2020-05-22,"NÍVEL DE EVIDENCIAÇÃO DAS EMPRESAS DO SETOR DE PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS BRASILEIRAS LISTADAS NA BOLSA DE VALORES DO BRASIL (B3) A LUZ DA TEORIA DA DIVULGAÇÃO","O objetivo do estudo é identificar o nível de evidenciação ambiental das empresas do setor de petróleo, gás e biocombustíveis brasileiras listadas na Bolsa de valores B3 no período de quatro anos, 2015 a 2018, além de contribuir para a análise da evolução da evidenciação ambiental. A pesquisa se classifica como bibliográfica e descritiva, utiliza-se o método dedutivo com abordagem quantitativa, aplicando a análise documental. A pesquisa tem como amostra 10 empresas do setor de Petróleo Gás e Biocombustíveis listadas na B3. Para isso, utilizou-se o estudo base de Beuren et al (2013), utilizando um checklist norteado pela NBC T 15, que gerou uma pontuação e consequentemente a classificação conforme seu nível de evidenciação. A pesquisa aponta que os relatórios emitidos pelas organizações não estão adequados às recomendações da NBC T 15 pois de toda a amostra, apenas 30% dela pode ser classificada com um nível Bom de evidenciação no decorrer do período analisado.",NBC T 15. Disclosure. contabilidade ambiental.,3,Nathasha Gonçalves Goulart de Oliveira,Fabíola Graciele Besen,Valdir Serafim Junior,,,,Aluna do Curso de Ciências Contábeis da Unioeste - Universidade Estadual do Oeste do Paraná,Unioeste - Universidade Estadual do Oeste do Paraná,Unioeste - Universidade Estadual do Oeste do Paraná,,,,https://seer.ufrgs.br/index.php/ConTexto/article/view/96721,ConTexto
2014-08-30,EVIDENCIAÇÃO CONTÁBIL EM ENTIDADES BRASILEIRAS DE TERCEIRO SETOR: ADEQUAÇÃO ÀS NORMAS BRASILEIRAS DE CONTABILIDADE,"Este estudo objetiva identificar a adequação de entidades brasileiras do terceiro setor no que tange às normas brasileiras de contabilidade. Para isso, são analisadas 46 entidades do terceiro setor de Santa Catarina que possuem as informações sobre balanço patrimonial, demonstração de resultado, demonstração de superávit ou déficit e notas explicativas divulgadas no Cadastro Nacional das Entidades, no site do Ministério da Justiça, para os anos de 2009 a 2011. A metodologia utilizada se baseia na técnica de check list, elaborada com base no exigido pelas normas brasileiras de contabilidade (NBC T – 3 e NBC T – 10.19) para as entidades sem fins lucrativos. Os resultados demonstram que o índice geral de evidenciação para os três anos analisados é de 51,73%, ficando muito longe do ideal. Esse índice é calculado pela proporção de itens evidenciados em relação ao total de itens investigados. Outro achado é de que a estrutura padronizada pelo Ministério Público para a divulgação das informações contábeis não abordam todas as obrigatoriedades trazidas pela normatização. Assim, o estudo conclui que as entidades do terceiro setor apresentam baixos índices de evidenciação e que a estrutura padronizada pelo Ministério da Justiça leva as entidades a divulgar somente o necessário para a prestação de contas ser aceita pelo sistema, não incentivando a divulgação de dados além dos obrigatórios.",Evidenciação. Prestação de contas. Terceiro setor. Responsabilidade.,3,Vanderlei Gollo,Sheila Jeane Schulz,Fabricia Silva Da Rosa,,,,PPGCC/FURB - Programa de Pós-Graduação da Universidade Regional de Blumenau,PPGCC/FURB - Programa de Pós-Graduação da Universidade Regional de Blumenau,PPGCC/FURB - Programa de Pós-Graduação da Universidade Regional de Blumenau,,,,https://seer.ufrgs.br/index.php/ConTexto/article/view/41595,ConTexto
2014-04-29,UMA DISCUSSÃO CONCEITUAL SOBRE O TRATAMENTO CONTÁBIL DOS HERITAGE ASSETS,"Heritage assets (HAs) são ativos físicos preservados por uma entidade em razão do seu valor cultural, histórico ou ambiental que normalmente não possuem substitutos e não são destinados à venda. Dadas as suas características, estudos sobre seu tratamento contábil são escassos. Por isso, este estudo discute os conceitos, características e métodos de mensuração dos HAs, identificando propriedades e aspectos que fazem com que esses ativos demandem tratamento contábil especial. Tendo como suporte a teoria da mensuração, foi efetuada pesquisa bibliográfica e normativa, identificando-se os principais organismos internacionais de contabilidade que possuem normas orientadoras sobre a contabilização desses ativos, com o fim de analisar o tratamento contábil requerido por cada organismo. Na revisão da literatura, foram examinadas as principais pesquisas científicas que abordam o tema, destacando o ponto de vista de cada autor quanto aos critérios de mensuração relacionados aos HAs. Os resultados mostram que, para que os HAs possam ser mensurados, devem ser alcançados pela definição operacional de ativo, e que existe a necessidade de se identificar propriedades, não econômicas, que possam ser mensuradas para se estabelecer valores que vão além dos preços de mercado, incluindo, por exemplo, os benefícios sociais e ecológicos deles advindos.",Ativos hereditários. Bens de uso comum. Teoria da contabilidade,4,Orleans Silva Martins,Antônio Maria Henri Beyle de Araújo,Diana Vaz de Lima,Jorge Katsumi Niyama,,,Universidade Federal da Paraíba,Banco Central do Brasil,Universidade de Brasília,Universidade de Brasília,,,https://seer.ufrgs.br/index.php/ConTexto/article/view/35725,ConTexto
2014-08-30,EVIDENCIAÇÃO AMBIENTAL: UM ESTUDO A PARTIR DE 16 EMPRESAS PERTENCENTES AOS PROGRAMAS “NOVO MERCADO” E “EM BOA COMPANHIA” DA BM&FBOVESPA,"Sintonizados com os acontecimentos mundiais, pesquisadores e estudiosos brasileiros ligados à área ambiental têm centrado esforços na busca de uma normatização contábil com o objetivo de padronizar a apresentação e divulgação nas demonstrações contábeis das informações de responsabilidade social e ambiental. Esta pesquisa tem como objetivo identificar as informações ambientais evidenciadas nas demonstrações contábeis de 16 empresas pertencentes aos programas Novo Mercado e Em Boa Companhia da Bolsa de Valores de São Paulo (BM&FBOVESPA). A pesquisa se classifica como qualitativa, descritiva e documental. Os resultados revelaram que informações apresentadas pelas empresas pesquisadas são em grande parte declarativas, de característica positiva, e que ações judiciais decorrentes de danos causados ao meio ambiente, cláusulas de contratos que envolvem questões ambientais e cálculos de provisões relacionadas a ações judiciais em andamento, são as informações ambientais mais evidenciadas pelas empresas. Conclui-se que a evidenciação ambiental das empresas pesquisadas não apresenta uma realidade diferente da observada em outras amostras de estudo, situação que denota a carência de divulgação de informações ambientais pelas entidades brasileiras e reforça a necessidade de uma padronização na publicação de tais informações, com o intuito de permitir, inclusive, a comparabilidade entre as empresas, que é dificultada, atualmente, em virtude de cada empresa divulgar apenas o que julga relevante.",Evidenciação. Divulgação ambiental. Demonstrações contábeis.,5,Fábia Jaiany Viana de Souza,Célio da Costa Barros,Renata Paes de Barros Camara,Fábio Resende de Araújo,Mauricio Correa da Silva,,Programa Multi-institucional e Inter-Regional de Pós-graduação (UnB/UFPB/UFRN).,Programa Multi-institucional e Inter-Regional de Pós-graduação (UnB/UFPB/UFRN).,Universidade de São Paulo (USP).,Universidade Federal do Rio Grande do Norte (UFRN).,Universidade Federal do Rio Grande do Norte,,https://seer.ufrgs.br/index.php/ConTexto/article/view/38072,ConTexto
2014-04-29,CONTABILIZAÇÃO DE RESÍDUOS GERADOS NA ATIVIDADE EMPRESARIAL: UMA CONSTATAÇÃO EMPÍRICA EM EMPRESAS SITUADAS EM BELO HORIZONTE,"Sabendo-se que os profissionais ainda são relutantes em trabalhar com a contabilidade ambiental por falta de estrutura normativa, o objetivo desta pesquisa é identificar a forma como as empresas localizadas em Belo Horizonte, no estado de Minas Gerais, estão contabilizando os diversos tipos de resíduos provenientes de sua atividade empresarial. Como metodologia da pesquisa, foi abordada uma pesquisa descritiva com o uso de survey como procedimento e abordagem quantitativa dos dados coletados. Com base na aplicação de um questionário em 26 empresas, foi constatado inicialmente que 58% destas não realizam o gerenciamento contábil-financeiro dos resíduos, pois entendem que não há necessidade de aplicá-lo na companhia. Foi possível também verificar que, mesmo entre os autores, ainda existe divergência de opiniões no que se refere à forma de contabilização dos resíduos. Considerando as empresas da amostra, comparativamente com a percepção dos autores consultados, na maioria dos casos houve uma concordância de opiniões na contabilização de determinados tipos de resíduos. Isso demonstra que as normas e princípios contábeis podem ser aplicados na gestão operacional e financeira dos resíduos, gerando informações estratégicas que podem ser utilizadas para a tomada de decisão gerencial com base na responsabilidade ambiental corporativa.",Gestão contábil ambiental. Resíduos. Contabilização de resíduos,2,Ana Carolina Vasconcelos Colares,Márcia Athayde Matias,,,,,Pontifícia Universidade Católica de Minas Gerais,UFMG,,,,,https://seer.ufrgs.br/index.php/ConTexto/article/view/36999,ConTexto
2021-05-13,IMPACTO DA GOVERNANÇA CORPORATIVA NO DISCLOSURE DE PASSIVOS CONTINGENTES DE EMPRESAS ABERTAS,"O estudo teve como objetivo principal verificar a relação da Governança Corporativa com o disclosure de passivos contingentes das 50 empresas de capital aberto que mais negociaram ações de 2010 a 2017 no Brasil. O referencial teórico abordou temas como Disclosure, Passivos Contingentes e Governança Corporativa (Conselho de Administração). Os dados foram coletados a partir da base de dados da Comdinheiro e das demonstrações financeiras das empresas acerca das categorias que apresentam as características dos passivos contingentes. Como resultado, foi identificado que a independência do Conselho de Administração influencia na natureza de divulgação de passivos contingentes e o Tamanho do Conselho de Administração e o número de Reuniões do Conselho impactam no saldo de valores de passivos contingentes (Ambiental; Cível; Trabalhista; Tributário; Garantias), disponibilizados em Notas Explicativas. Ou seja, a principal contribuição é a verificação de que para o período e amostra analisada determinadas características do Conselho de Administração influenciam na divulgação de Passivos Contingentes.",Passivos Contingentes,2,Alex Ferreira Lopes,Thamirys de Sousa Correia,,,,,Universidade Federal da Paraíba,Universidade Federal da Paraíba,,,,,https://seer.ufrgs.br/index.php/ConTexto/article/view/108673,ConTexto
2020-05-22,EVIDENCIAÇÃO DE CUSTOS E INVESTIMENTOS AMBIENTAIS EM EMPRESAS DO SETOR DE SIDERURGIA E METALURGIA LISTADAS NA B3,"A busca por empresas que possuem práticas socialmente responsáveis e sustentáveis tem aumentado, devido a conscientização, por parte da sociedade, da necessidade de diminuir os impactos causados pelas ações do homem na natureza. Esse interesse tem reflexos no âmbito empresarial, devido à necessidade de se adequar às novas exigências do mercado. Com isso, conhecer os recursos empregados nessas mudanças se faz necessário. Considerando esse contexto, objetivou-se, por meio desta pesquisa, analisar como as empresas do setor de siderurgia e metalurgia que possuem suas ações cotadas na bolsa de valores brasileira evidenciam seus custos e investimentos ambientais. A pesquisa caracteriza-se como descritiva e documental. Para identificar as informações ambientais foi realizada uma análise de conteúdo. Foram analisadas as informações evidenciadas nas Demonstrações Financeiras Padronizadas, nos Balanços Sociais, nos Relatórios Anuais e nos Relatórios de Sustentabilidade dos exercícios de 2010 a 2016 das empresas pertencentes à amostra. Os resultados revelaram que 60% das empresas evidenciaram informações referentes a custos e investimentos ambientais em seus relatórios. As categorias mais evidencias foram: custos com indenizações e penalidades ambientais e investimentos para manutenção dos processos e melhoria do ambiente. Verificou-se que a maioria das informações ambientais, tanto sobre custos quanto sobre investimentos foram evidenciadas nas Demonstrações Financeiras Padronizadas. Por fim, com relação ao tipo de evidenciação, a maioria das empresas optou por uma evidenciação quantitativa monetária tanto para custos quanto para investimentos ambientais.",Custos ambientais. Investimentos ambientais. Evidenciação ambiental. Contabilidade ambiental,5,Hirlene Bezerra Assunção,Ítalo Carlos Soares do Nascimento,Maria Naiula Monteiro da Silva,Augusto Cezar Aquino Cabral,Sandra Maria dos Santos,,Universidade Federal do Ceará,Universidade Federal do Ceará,Universidade Federal do Ceará,Universidade Federal do Ceará,Universidade Federal do Ceará,,https://seer.ufrgs.br/index.php/ConTexto/article/view/99437,ConTexto
