Data de Publicação,Título,Resumo,Palavras-chave,Qtd. de Autores,Autor 1,Autor 2,Autor 3,Autor 4,Autor 5,Autor 6,Afiliação 1,Afiliação 2,Afiliação 3,Afiliação 4,Afiliação 5,Afiliação 6,Url Artigo,Revista
2013-10-14,PERFIL DOS ARTIGOS QUE UTILIZARAM A ESTRATÉGIA DO ESTUDO DE CASO EM PESQUISAS SOBRE A PRÁTICA DA CONTABILIDADE GERENCIAL,"Este estudo objetiva identificar o perfil dos artigos que utilizaram ou se referiram à estratégia do estudo de caso em pesquisas sobre a prática da Contabilidade Gerencial publicados em periódicos internacionais em Língua Inglesa. Nas bases de dados ProQuest e Science Direct realizaram-se buscas com as palavras “management accounting” e “case study”, no abstract, titles and/or keywords. Encontraram-se 89 artigos em 32 periódicos internacionais, que cumpriam o requisito da seleção, publicados no período de 1986 a 2012. Os resultados da pesquisa mostram que as publicações de artigos desenvolvidos por meio de estudo de caso em Contabilidade Gerencial tiveram um crescimento no decorrer dos anos analisados, mas com alta concentração em poucos periódicos. A maioria destes artigos relata estudos empíricos, seguindo-se os estudos teóricos e os bibliométricos. O Continente Europeu publicou o maior número de artigos com estudos de caso realizados em organizações daquele Continente, destacando-se o país do Reino Unido. Entre os principais temas pesquisados sobre a prática da Contabilidade Gerencial com inferência em estudos de caso estão Management Accounting Change (MAC) e Environmental Management Accounting (EMA). Conclui-se que a aplicação da estratégia do estudo de caso em pesquisas sobre a prática da Contabilidade Gerencial ainda apresenta lacunas na literatura.",,2,Ilse Maria Beuren,Rosemar José Hall,,,,,Universidade Federal do Paraná,Universidade Regional de Blumenau,,,,,https://portalperiodicos.unoesc.edu.br/race/article/view/2721,"Revista de Administração, Contabilidade e Economia – RACE"
2014-01-29,EVIDENCIAÇÃO AMBIENTAL VOLUNTÁRIA DE COMPANHIAS LISTADAS NO ÍNDICE CARBONO EFICIENTE DA BM&FBOVESPA,"O estudo objetivou analisar quais informações ambientais voluntárias são mais evidenciadas pelas companhias abertas listadas no Índice Carbono Eficiente (ICO2) da BM&FBovespa. Para tal, realizou-se uma pesquisa descritiva, conduzida por meio de análise documental e abordagem quantitativa dos dados, em uma amostra que compreendeu 34 companhias. A identificação das práticas de evidenciação ambiental voluntária ocorreu de acordo com o estudo de Murcia et al. (2008), que elaborou um índice composto por oito dimensões  objetivando avaliar as práticas ambientais, entre elas: políticas ambientais; sistemas de gerenciamento ambiental; impactos dos produtos e processos no meio ambiente; energia; informações financeiras ambientais; educação, treinamento e pesquisa; mercado de créditos de carbono e outras informações ambientais. O pressuposto deste estudo é que uma maior evidenciação ambiental voluntária contribui para que as companhias sejam vistas como organizações mais transparentes e úteis perante a sociedade. Os resultados evidenciaram que entre as oito dimensões, as informações sobre créditos de carbono se destacaram com maior nível de evidenciação. Por outro lado, constatou-se que as informações sobre impactos dos produtos e processos no meio ambiente foram as menos evidenciadas.",,4,Francisca Francivânia Rodrigues Ribeiro Macêdo,Geovanne Dias de Moura,Vanderlei Gollo,Roberto Carlos Klann,,,Universidade Regional de Blumenau,Universidade Regional de Blumenau,Universidade Regional de Blumenau,Universidade Regional de Blumenau,,,https://portalperiodicos.unoesc.edu.br/race/article/view/3757,"Revista de Administração, Contabilidade e Economia – RACE"
2021-08-31,Relação entre desempenho sustentável e desempenho de mercado,"A sociedade têm demonstrado relevante atenção e crescente conscientização no que se refere à sustentabilidade, porém os estudos sobre o tema apresentam evidências controversas. Assim, o presente estudo teve como objetivo avaliar a relação causa-efeito entre o desempenho sustentável e o desempenho de mercado das empresas listadas na bolsa de valores dos vinte países mais sustentáveis do mundo de acordo com o Environmental Performance Index, originando uma amostra de 1.027 empresas. Em relação à metodologia, os dados foram coletados na base de dados Thomson Reuters® e dizem respeito ao período de 2008 a 2017. A sustentabilidade foi mensurada a partir da sintetização de indicadores ambientais (uso de recursos, emissões, inovação ambiental), sociais (força de trabalho, direitos humanos, comunidade e responsabilidade pelo produto) e econômicos-financeiros (retorno sobre os ativos, retorno sobre o patrimônio líquido e retorno sobre vendas), sendo que foi utilizado o método multicritério Evaluation Based on Distance from Average Solution para esta sintetização. O desempenho de mercado também foi mensurado a partir da sintetização dos indicadores (Q de Tobin, Market-to-book, preço das ações, lucro por ação e índice Preço/Lucro). A partir da sintetização destes indicadores foi possível aplicar a regressão linear. Os resultados indicam a existência de bidirecionalidade entre o desempenho sustentável e o desempenho de mercado, porém evidencia-se que o maior poder explicativo verificado é no sentido de que a partir do bom desempenho de mercado é que as organizações têm condições de melhorar o seu desempenho sustentável. Chama atenção nos resultados que ao longo dos anos houve aumento significativo da influência do desempenho sustentável em relação ao desempenho de mercado, evidenciando a crescente preocupação dos investidores em relação ao desenvolvimento sustentável.",Desempenho sustentável. Desempenho de mercado. Sustentabilidade,3,Janine Patrícia Jost,Adriana Kroenke,Nelson Hein,,,,FURB,FURB,FURB,,,,https://portalperiodicos.unoesc.edu.br/race/article/view/27352,"Revista de Administração, Contabilidade e Economia – RACE"
2014-08-25,DEZOITO ANOS DE PRODUÇÃO ACADÊMICA DO CAMPO DO CONHECIMENTO CONTABILIDADE SOB A ÓTICA DOS PERIÓDICOS INTERNACIONAIS THE INTERNATIONAL JOURNAL OF ACCOUNTING E THE BRITISH ACCOUNTING REVIEW / Eighteen year academic production field of knowledge accounting,"O objetivo deste estudo foi analisar o perfil e a evolução do campo de conhecimento Contabilidade sob a ótica dos periódicos internacionais The International Journal of Accounting e The British Accounting Review. Metodologicamente, utilizaram-se as técnicas de análise bibliométrica e de rede social no total de 695 artigos identificados nas duas revistas. Observou-se uma predominância de publicações em parceria; Vivien Beattie foi a autora mais profícua e também a mais central deste estudo; a University of Manchester destacou-se na produção de artigos e como a instituição acadêmica mais central desta pesquisa. Os países do Reino Unido e os EUA foram os mais produtivos no que se refere à publicação de artigos e os que obtiveram maior centralidade de grau. Houve baixa densidade de grau em todas as redes sociais deste estudo. E os temas mais publicados foram: auditoria, governança corporativa, normas internacionais de contabilidade, disclosure, relatórios financeiros e mercado de capitais. Conclui-se, de maneira geral, um perfil e a evolução da área de conhecimento Contabilidade sob a ótica dos periódicos investigados, contribuindo para o aperfeiçoamento desse campo do conhecimento, no sentido de permitir futuras interações entre pesquisadores nacionais e internacionais (das revistas investigadas, inclusive) e entre as suas respectivas instituições acadêmicas e de aceitar a realização dessas futuras associações de modo a difundir a troca de informações e a construção, a socialização e a evidenciação da estrutura intelectual contábil no Brasil.Palavras-chave: Contabilidade. Produção acadêmica. Periódicos internacionais.",Contabilidade. Produção acadêmica. Periódicos internacionais.,1,Henrique César Melo Ribeiro,,,,,,Prof. do Mestrado Profissional em Administração / Gestão do Esporte,,,,,,https://portalperiodicos.unoesc.edu.br/race/article/view/5300,"Revista de Administração, Contabilidade e Economia – RACE"
2014-01-29,REDES DE LOGÍSTICA REVERSA: UM ESTUDO DO CANAL REVERSO DE RECICLAGEM NA INDÚSTRIA DO PLÁSTICO,"Na indústria do plástico a logística reversa ocorre por meio do canal reverso de reciclagem, composto pelas etapas de coleta e retorno dos produtos ao ciclo produtivo. Em relação à etapa de retorno ao ciclo produtivo, esta adquire importância para todo o sistema de logística reversa, devendo possuir uma gestão que vise garantir a qualidade dos produtos fabricados com matéria-prima secundária e que atenda à demanda de consumo destes produtos. Nesse contexto, o presente estudo teve como objetivo compreender como a etapa de retorno ao ciclo produtivo de embalagens plásticas, executada por uma rede de empresas da indústria plástica de Alagoas, é gerenciada. Foi realizada uma pesquisa qualitativa, de natureza descritiva e característica exploratória, por meio de um estudo de caso realizado em uma indústria de plástico de Alagoas. A pesquisa encontrou um processo, composto por um conjunto de atividades executadas de forma sequencial, por meio de três empresas, estruturadas em rede hierárquica informal, evidenciada por meio de características como:  forte interdependência de recursos físicos e financeiros, proximidade geográfica e ambiente predominantemente informal entre os proprietários. A gestão do processo apresenta-se de forma auto-organizada, em que nenhuma das três empresas se compromete pelo gerenciamento do processo como um todo, pois cada uma possui estratégias individuais de negócio. Por fim, constatou-se que, mesmo tendo uma gestão independente, os proprietários destas empresas buscam compartilhar informações entre eles, com o intuito de melhorar as atividades do processo, aumentando a qualidade e a produtividade e, consequentemente, tornando o canal reverso de reciclagem economicamente viável.",,4,Fernando Antonio Tenório,Audálio Fernandes dos Reis,Débora Eleonora Silva,Maria Conceição Melo Silva Luft,,,Universidade Federal de Sergipe,Universidade Federal de Sergipe,Universidade Federal de Sergipe,Universidade Federal de Sergipe,,,https://portalperiodicos.unoesc.edu.br/race/article/view/3552,"Revista de Administração, Contabilidade e Economia – RACE"
2014-02-17,O PROCESSO DE ADAPTAÇÃO ESTRATÉGICA DA ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GERÊNCIA: DA CONCEPÇÃO À PERCEPÇÃO DE SEUS GESTORES ESTRATÉGICOS,"Este artigo é resultante de uma pesquisa a qual teve como objetivo identificar os fatores que influenciaram o processo de adaptação estratégica vivenciado pela Escola Superior de Administração e Gerência (ESAG), no período de 1964 a 2009, segundo a percepção dos gestores estratégicos da organização. Trata-se de um estudo de caso longitudinal qualitativo. Utilizando-se dados primários e secundários, conseguiu-se estabelecer a análise dos dados, efetuada de forma histórico-interpretativa, de acordo com a abordagem qualitativa adotada, embasada na Pesquisa Direta. Com isso, identificaram-se eventos críticos, divididos em quatro períodos estratégicos na análise da Adaptação Estratégica; nos momentos estudados, percebeu-se a forte influência da gestão e do ambiente externo no processo de adaptação estratégica, de modo que os fatores externos foram determinantes nas mudanças e no processo de adaptação estratégico sofrido pela organização.Palavras-chave: Adaptação Estratégica Organizacional. Mudança. Estratégia. Ambiente Interno. Ambiente Externo.",Adaptação Estratégica Organizacional. Mudança. Estratégia. Ambiente Interno. Ambiente Externo.,2,Mariana Pereira Querino,Mário César Barreto Moraes,,,,,Universidade do Estado de Santa Catarina,,,,,,https://portalperiodicos.unoesc.edu.br/race/article/view/2238,"Revista de Administração, Contabilidade e Economia – RACE"
2014-03-12,ANÁLISE DA CONFORMIDADE DAS INFORMAÇÕES DIVULGADAS SOBRE ATIVOS INTANGÍVEIS EM EMPRESAS LISTADAS NA BM&FBOVESPA,"O estudo objetivou analisar o grau de conformidade das informações divulgadas sobre ativos intangíveis em empresas da BM&FBovespa, por meio de um índice de evidenciação elaborado com base no CPC 04. Para tal, realizou-se pesquisa descritiva, documental e quantitativa, com consulta ao Balanço Patrimonial, notas explicativas e relatórios de administração disponíveis no site da BM&FBovepa e websites das organizações. A amostra compreendeu 260 empresas de seis setores econômicos da BM&FBovespa com maiores e menores representatividades de ativos intangíveis no ano de 2009. Os resultados permitiram verificar uma boa representatividade dos ativos intangíveis que, em média, equivaliam a 17% do ativo total e 34% dos ativos fixos. Destacaram-se os softwares, ágio, contratos de concessão e marcas e patentes, sinalizando que, estes, eram os intangíveis mais recorrentes nas empresas brasileiras. Em relação à evidenciação, os resultados revelaram um índice médio de conformidade de 75%. Os índices demonstraram-se superiores nos setores de utilidade pública, construção e transporte e tecnologia da informação, que são aqueles com maiores proporções de intangíveis.Palavras-chave: Conformidade das informações divulgadas. Ativos intangíveis. Empresas da BM&FBovespa.",Conformidade das informações divulgadas. Ativos intangíveis. Empresas da BM&FBovespa.,2,Geovanne Dias de Moura,Patrícia Siqueira Varela,,,,,Universidade Regional de Blumenau,Universidade Federal de São Paulo,,,,,https://portalperiodicos.unoesc.edu.br/race/article/view/2659,"Revista de Administração, Contabilidade e Economia – RACE"
2014-03-12,CARACTERÍSTICAS EXPLICATIVAS DO NÍVEL DE DISCLOSURE VOLUNTÁRIO DE MUNICÍPIOS DO ESTADO DE MINAS GERAIS,"O objetivo desta pesquisa foi identificar as características explicativas do nível de disclosure voluntário de municípios do Estado de Minas Gerais em seus portais eletrônicos, nível este representado pelo Índice de Disclosure Voluntário Municipal (IDV-M). As características dos entes públicos analisadas foram: gênero do gestor municipal, filiação partidária, escolaridade do(a) gestor(a) municipal, PIB per capita, receita orçamentária, população, transferências de recursos da União para os municípios, Índice de Desenvolvimento Humano Municipal (IDH-M), taxa de alfabetização, Índice Firjan de Desenvolvimento Municipal (IFDM), Índice Firjan de Gestão Fiscal (IFGF) e participação no Programa de Fiscalização de Recursos Federais a partir de sorteios públicos. A amostra da pesquisa foi composta por 130 municípios, sendo 65 considerados de pequeno porte e 65 de médio e grande portes. As evidências empíricas apontaram que os municípios da amostra, de maneira geral, apresentaram níveis baixos de divulgação de informações voluntárias, demonstrando que estes estão usufruindo, apenas de forma limitada, dos benefícios advindos de uma maior divulgação de informações. Os resultados da análise de regressão identificaram que o tamanho do ente público pode ser considerado uma característica explicativa do nível de disclosure voluntário. Adicionalmente, o IFDM também pode ser considerado um fator explicativo para o nível de divulgação de informações voluntárias, além do fato de o gestor municipal ser filiado ao PT, PMDB ou PR, em detrimento de outros partidos. Tais achados forneceram evidências de que os indicadores de natureza socioeconômica exercem maior influência no nível de disclosure voluntário do que as demais variáveis explicativas elencadas no estudo.Palavras-chave: Accountability. Municípios. Teoria da divulgação. Transparência.",Accountability. Municípios. Teoria da divulgação. Transparência.,4,Bruna Camargos Avelino,Jacqueline Veneroso Alves da Cunha,Gerlando Augusto Sampaio Franco de Lima,Romualdo Douglas Colauto,,,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais,Universidade de São Paulo,Universidade Federal do Paraná,,,https://portalperiodicos.unoesc.edu.br/race/article/view/4099,"Revista de Administração, Contabilidade e Economia – RACE"
2014-03-12,GOVERNANÇA CORPORATIVA EM EMPRESAS PÚBLICAS,"Este estudo teve o objetivo de investigar como traduzir a implementação de Governança Corporativa (GC) para empresas do setor público. Para isso, foi analisado o caso do Instituto de Pesquisas Tecnológicas (IPT). Este Instituto procurou, em meados de 2006-2007, implementar o código de GC do Instituto Brasileiro de Governança Corporativa (IBGC), contando com diretores que possuíam vivência e experiência no tema. Foi seguido o método da grounded theory, que se baseia em dados da realidade para adicionar conceitos às teorias existentes. Os conceitos obtidos no caso foram codificados e comparados com a literatura existente para a elaboração de proposições teóricas as quais respondam à questão de pesquisa proposta. Ao final, as proposições foram relacionadas em um modelo teórico que explica conceitos próprios da gestão de empresas públicas que facilitam a implementação de governança nesse setor específico. Os resultados sugerem que organizações públicas devem considerar, ao implementarem a GC, os seguintes aspectos: adaptação legal às normas da legislação pública; regulamentação obrigatória versus necessidades de melhoria; começar projetos de governança no início dos mandatos governamentais; clareza de objetivos; profissionalização do conselho de administração e blindagem político-partidária.Palavras-chave: Governança Corporativa. Empresa pública. Grounded theory.",Governança Corporativa. Empresa pública. Grounded theory.,4,Milton de Abreu Campanário,Sergio Nunes Muritiba,Patricia Morilha Muritiba,Henrique César Melo Ribeiro,,,"Universidade de São Paulo, Faculdade de Economia Administração e Contabilidade. Av. Prof. Luciano Gualberto, 908",Faculdades Metropolitanas Unidas,Faculdades Metropolitanas Unidas,Faculdade Maurício de Nassau,,,https://portalperiodicos.unoesc.edu.br/race/article/view/4076,"Revista de Administração, Contabilidade e Economia – RACE"
2017-08-30,Is sustainability in business strategy factual or figurative?,"Abstract The collateral effects of economic activities carried out by the private sector create the need, on part of its members, for knowledge and dialogue in regards to the topic, as well as the adoption of measures that engender socio-environmental responsibility. The present work seeks to identify the indications of sustainability concern exhibited in the mission, vision, and values statements of companies listed on the Novo Mercado BM&FBovespa exchange and its relation to environmental investments investigated according to NBC T 15. The data were collected via the companies' websites and Sustainability Reports. To test the research hypotheses, we used the non-parametric test of Mann-Whitney. Among the main results highlight that the average of evidencing of the five subcategories of environmental investments is higher in companies with business strategies related to sustainability. It can be concluded that companies with sustainable strategies invest more in environmental issues, confirming one of the hypotheses of this research.Keywords: Environmental responsibility. Environmental disclosure. Environmental investment. Novo Mercado. Mission, vision and values statements.  Os efeitos colaterais das atividades econômicas exercidas pelo setor privado exigem, por parte de seus membros, conhecimento e diálogo em relação ao tema, bem como a adoção de medidas que geram a responsabilidade socioambiental. No presente trabalho buscou-se identificar indicações da preocupação com a sustentabilidade na declaração da missão, visão, valores em empresas listadas no Novo Mercado da BM&FBovespa e sua relação com os investimentos ambientais investigado de acordo com a NBC T 15. Os dados foram coletados através dos sites e dos Relatórios de Sustentabilidade. Para testar as hipóteses de pesquisa, foi utilizado o teste não paramétrico de Mann-Whitney. Entre os principais resultados, destaca-se que a média de evidenciação entre as cinco subcategorias de investimentos ambientais é maior em empresas com estratégias de negócio relacionadas com a sustentabilidade. Pode-se concluir que as empresas com estratégias sustentáveis investem mais em questões ambientais, confirmando uma das hipóteses da pesquisa.Palavras-chave: Responsabilidade socioambiental. Evidenciação socioambiental. Investimento ambiental. Novo Mercado da BM&FBovespa. Missão, visão e valores.",Responsabilidade socioambiental. Evidenciação socioambiental. Investimento ambiental. Novo Mercado da BM&FBovespa. Missão. visão e valores.,5,Monique Cristiane de Oliveira,Anastácia Rosa Portella,Suliani Rover,Denize Demarche Minatti Ferreira,José Alonso Borba,,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina,,https://portalperiodicos.unoesc.edu.br/race/article/view/12053,"Revista de Administração, Contabilidade e Economia – RACE"
