Data de Publicação,Título,Resumo,Palavras-chave,Qtd. de Autores,Autor 1,Autor 2,Autor 3,Autor 4,Autor 5,Autor 6,Afiliação 1,Afiliação 2,Afiliação 3,Afiliação 4,Afiliação 5,Afiliação 6,Url Artigo,Revista
2017-11-30,CONTABILIDADE AMBIENTAL: UM ESTUDO SOBRE A PERCEPÇÃO DOS ESTUDANTES DE GRADUAÇÃO EM CIÊNCIAS CONTÁBEIS DA CIDADE DE MACEIÓ/AL,"O objetivo deste artigo foi analisar o nível de conhecimento de discentes de cursos de graduação em ciências contábeis em relação a tópicos correlatos à contabilidade ambiental. A metodologia utilizada quanto ao objetivo proposto se caracteriza como descritiva e, quanto aos procedimentos metodológicos, trata-se de um levantamento (survey). A amostra investigada, denominada como não probabilística intencional, foi determinada considerando as instituições de ensino superior (IES), presentes na cidade de Maceió (AL), que oferecem o curso de ciências contábeis e obtiveram aprovação no Exame Nacional de Desenvolvimento de Estudante (ENADE) no ano de 2014. O total de respondentes foi de 165 discentes de seis IES. A coleta de dados foi feita com a aplicação de questionário, sendo tratados por meio de estatística descritiva, na sua dimensão quantitativa. Os resultados evidenciaram que o nível de conhecimento dos discentes a respeito dos tópicos correlatos à contabilidade ambiental é baixo, sendo que apenas 13% dos discentes informaram já ter cursado alguma disciplina voltada à educação ambiental. Questionados sobre o conhecimento das Normas Brasileiras de Contabilidade relacionadas às informações de natureza social (NBC T15), 53,3% dos discentes informaram que possuem conhecimento fraco; quanto à estrutura, elaboração e divulgação do balanço social, 41,8% informaram que têm conhecimento intermediário; 58,2% consideraram importante o fato de empresas desenvolverem e divulgarem ações socioambientais; e 51,5% afirmaram destacaram que o desenvolvimento sustentável é tema muito importante a ser considerado na formação acadêmica.",Ciências Contábeis. Contabilidade Ambiental. Gestão Ambiental.,4,Gesualdo Menezes Cavalcante,Sheila Mirian Barbosa Israel,Márcio Mateus Ferreira de Aquino,Alessandra Carla Ceolin,,,Universidade Federal Rural de Pernambuco,Universidade Federal Rural de Pernambuco,Universidade Federal Rural de Pernambuco,Universidade Federal Rural de Pernambuco,,,https://revista.crcmg.org.br/rmc/article/view/704,Revista Mineira de Contabilidade – RMC
2016-08-08,A INTRODUÇÃO DA CONTABILIDADE AMBIENTAL: APLICABILIDADE DE SEU SISTEMA DE INFORMAÇÕES CARACTERIZANDO UMA GESTÃO ADMINISTRATIVA PARA O DESENVOLVIMENTO SUSTENTÁVEL,"A contabilidade é um sistema de informações formal e estruturado, tendo com o objetivo fornecer informações para o controle do patrimônio, a avaliação dedesempenho e a tomada de decisão. E, de acordo com essa definição, neste trabalho realizou-se uma introdução à Contabilidade Ambiental, associando-a aos preceitos teóricos da contabilidade, mostrando o que vem a ser a implantação da gestão ambiental dentro da visão de desenvolvimento sustentável, caracterizando os eventos ambientais e classificando-os respectivamente. Com isso, será mostrada a principal forma de transição para a ideologia sustentável, ligada à questão ambiental, além dos principais relatórios que estão relacionados ao estabelecimento de normas e à padronização desses eventos. Neste trabalho mostraremos como se dá a aplicabilidade da Contabilidade Ambiental, explicando de quais formas devem ser entendidos seus eventos para sua mensuração, esclarecendo como se apresentam os ativos, passivos, receitas, despesas, custos, contingências e provisões ambientais, indispensáveis à estruturação de um Sistema de Contas e um Plano de Contas Ambientais.",,2,Geová José Madeira,Glauber Lima Barbosa,,,,,,,,,,,https://revista.crcmg.org.br/rmc/article/view/425,Revista Mineira de Contabilidade – RMC
2018-04-20,DISCLOSURE AMBIENTAL: UM ESTUDO DAS DEMONSTRAÇÕES FINANCEIRAS DE EMPRESAS POTENCIALMENTE POLUIDORAS LISTADAS NA BM&FBOVESPA,"As emergentes discussões acerca dos processos de gestão ambiental e social corporificam um desafio para a Contabilidade à medida que as informações tradicionais de caráter econômico e financeiro passam a estar intimamente relacionadas à maneira como as organizações avaliam e gerenciam seus impactos ambientais e sociais, fortalecendo novas práticas de disclosure. Desse modo, e considerando a Lei 10.165/2000, este estudo tem por objetivo analisar se as empresas listadas na BM&FBOVESPA que pertencem as atividades potencialmente poluidoras classificadas no Pp/Gu como de nível Aalto e Alto estão evidenciando informações ambientais em suas demonstrações financeiras. Fundamentado em uma abordagem de natureza qualitativa e de caráter descritivo, a partir de uma análise documental, foram analisados 672 demonstrações no período de dois anos de 42 empresas, identificando 1.153 repetições de termos relativos à divulgação de informações de caráter ambiental. As análises evidenciaram que a maior parte de tais informações está presente no Relatório da Administração, e, que as demonstrações contábeis mais descritivas possuem maior evidenciação ambiental. Conclui-se que o disclosure ambiental das empresas atuantes em setores potencialmente poluidores configura uma prática crescente e em desenvolvimento em que se fazem necessários novos estudos e olhares, visando maior aprofundamento e compreensão.",,5,Karine de Oliveira Ozio,Octavio Gomes do Carmo,Luciano Gomes dos Reis,Jaqueline dos Santos Ferrarezi,Karina Rocha Henriques Gehlen,,Universidade Estadual de Londrina,Universidade Estadual de Londrina,Universidade Estadual de Londrina,Universidade Estadual de Londrina.,Universidade Estadual de Londrina,,https://revista.crcmg.org.br/rmc/article/view/710,Revista Mineira de Contabilidade – RMC
2016-04-26,PANORAMA DA PESQUISA CIENTÍFICA SOBRE PASSIVO AMBIENTAL E CPC 25 ENTRE 2001 E 2013 NO BRASIL,"Este estudo buscou revelar um panorama das pesquisas publicadas com o tema Passivo Ambiental e CPC 25 no cenário nacional. A crescente preocupação com as questões de responsabilidade socioambiental tem incentivado o desenvolvimento de pesquisas científicas nesse campo. A justificativa é oferecer um mapeamento dos autores mais significativos na área e o direcionamento de como estão as tendências das pesquisas relacionadas ao tema proposto, para pesquisadores e os demais usuários interessados em uma fonte para novos trabalhos. O objetivo desta pesquisa foi: apresentar um panorama dos estudos publicados em relação ao tema passivo ambiental e CPC 25 no cenário brasileiro, entre os anos de 2001 e 2013, em periódicos e congressos nacionais. Para desenvolvimento deste trabalho foi feito um estudo bibliométrico com mapeamento de trabalhos acadêmicos publicados em revistas científicas brasileiras, anais do EnANPAD, Congresso USP e da Base Scielo. A pesquisa é classificada como exploratória e descritiva, a fonte de coleta de dados é de natureza secundária, sendo executada análise documental, aplicação da técnica de análise de conteúdo e a abordagem dos dados com característica qualitativa. Como principal resultado verificou-se que: 60% dos trabalhos são de característica exploratória; 67,5% são estudos práticos; 95% são voltados para o passivo ambiental. Já no mapeamento constatou-se que os artigos têm como limitações a fonte de coletas de dados e que os resultados não são generalizáveis, sendo que os principais são a ausência de informações nos relatórios e os impactos sofridos pelo meio ambiente.",,3,Yarles Jean Piona,Gabriel Moreira Campos,Donizete Reina,,,,UFES,Universidade Federal do Espírito Santo,UFES,,,,https://revista.crcmg.org.br/rmc/article/view/85,Revista Mineira de Contabilidade – RMC
2016-07-12,Contabilidade ambiental: Evidenciação das questões ambientais em relatórios contábeis pelas empresas florestais de capital aberto,"A preservação do meio ambiente tem sido, nas últimas décadas, um assunto explorado por todos os meios de comunicação; é evidente a mudança de conceito sobre o tema: a conservação do meio ambiente deve ser feita deforma sustentável, para benefício das gerações futuras. Sob esse aspecto, devem-se ressaltar os avanços promovidos pelo setor florestal em relação à conservação ambiental no manejo das florestas plantadas. Neste contexto, este estudo teve como objetivo avaliar como as empresas de base florestal de capital aberto têm evidenciado as questões ambientais em seus relatórios. A pesquisa incluiu uma revisão das características da informação contábil e dos principais conceitos atinentes à Contabilidade Ambiental, evidenciando sua contribuiçãona relação entre empresas e meio ambiente. Foram pesquisadas sete empresas brasileiras de base florestal de capital aberto, que divulgaram suas demonstraçõescontábeis no site da Comissão de Valores Mobiliários (CVM), no período de 1997 a 2007.",,4,Adriane Bernardo de Oliveira Moreira,Laércio Antônio Gonçalves Jacovine,Márcio Lopes da Silva,Sebastião Renato Valverde,,,,,,,,,https://revista.crcmg.org.br/rmc/article/view/365,Revista Mineira de Contabilidade – RMC
2016-08-09,Contabilidade Ambiental - Fatores ambientais exógenos que interferem na riqueza celular,,,1,Vera Luise Becke,,,,,,,,,,,,https://revista.crcmg.org.br/rmc/article/view/454,Revista Mineira de Contabilidade – RMC
2016-08-08,CONTABILIDADE NA GESTÃO AMBIENTAL E SOCIAL,,,1,Adelvandro Felício de Castro,,,,,,,,,,,,https://revista.crcmg.org.br/rmc/article/view/430,Revista Mineira de Contabilidade – RMC
2016-11-30,Estratégias de aprendizagem autorregulada em contabilidade: um estudo em duas instituições privadas do ensino superior catarinense,"O objetivo do estudo consistiu em analisar o perfil dos estudantes de Ciências Contábeis em relação às estratégias de aprendizagem autorregulada. Para tanto, foram levantados os seguintes objetivos específicos: (a) identificar quais são as estratégias de aprendizagem autorregulada utilizadas por estudantes de Contabilidade; (b) verificar como essas estratégias poderiam ser explicadas a partir do tempo de curso, idade e gênero. Para identificar as estratégias de aprendizagem autorregulada foi utilizada a estatística descritiva e, para verificar de que forma essas estratégias poderiam ser explicadas a partir do semestre, idade e gênero do estudante, foram utilizados a Análise Fatorial e testes paramétricos de comparação de médias (teste t).Os resultados apontaram que as estratégias mais empregadas são: revisão, ajuda externa, estrutura ambiental e autoavaliação. Ao explicar as estratégias de aprendizagem autorregulada por meio do tempo de curso, gênero e idade, os resultados indicaram que as médias são significativamente diferentes para o gênero e idade. O estudo contribui para reforçar a importância de refletir sobre o ensino-aprendizagem desenvolvido com a intenção de armazenar conhecimentos e para repensar em medidas que conduzam a aprendizagem autônoma do estudante como vital para o desenvolvimento de competências profissionais, que, por sua vez, requer a revisão da prática pedagógica universitária da educação contábil.",,4,Thiago Bruno de Jesus Silva,Samuel Haag,Vania Tanira Biavatti,Luis Antonio Lay,,,FURB,Mestrando em Ciências Contábeis na Universidade Regional de Blumenau,FURB,,,,https://revista.crcmg.org.br/rmc/article/view/348,Revista Mineira de Contabilidade – RMC
2020-12-23,Nível de evidenciação de custos e investimentos ambientais e legibilidade dos relatórios da administração de empresas do setor de papel e celulose,"Este estudo tem como objetivo analisar a relação entre o nível de evidenciação de informações de custos e investimentos ambientais e o grau de legibilidade dos Relatórios da Administração de empresas do setor de papel e celulose listadas na Brasil Bolsa Balcão [B]³ entre os anos de 2014 a 2018. O nível de evidenciação foi calculado a partir de categorização realizada a partir de análise de conteúdo e o grau de legibilidade foi calculado a partir do Gunning Fog Index. Os resultados encontrados indicaram que as empresas, por mais que tenham evoluído o nível de evidenciação em consideração a estudos semelhantes, não responderam, em sua totalidade, os questionamentos abordados na metodologia. Além disso, a maioria das empresas apresentaram grau de legibilidade considerado ilegível em todos os anos compreendidos pela pesquisa. A regressão linear simples indicou que o nível de evidenciação e o grau de legibilidade estão negativamente relacionados, apontando que, conforme o nível de evidenciação diminui há um aumento no grau de legibilidade das informações de cunho ambiental. Esses resultados podem indicar que o grau de legibilidade elevado pode tornar subjetiva a informação que é transmitida. Outro ponto a ser discutido a respeito dos resultados, é que as empresas podem deixar a evidenciação ambiental com linguagem mais rebuscada, prejudicando a compreensibilidade do usuário da informação.",,3,Fabio Henrique Voigt,João Victor Machado,Alison Martins Meurer,,,,Universidade Estadual de Ponta Grossa,Universidade Estadual de Ponta Grossa,Universidade Federal do Paraná,,,,https://revista.crcmg.org.br/rmc/article/view/1171,Revista Mineira de Contabilidade – RMC
2016-08-16,Demonstrações Contábeis e Aspectos da Contabilidade Ambiental,,,1,Rosalva Pinto Braga,,,,,,,,,,,,https://revista.crcmg.org.br/rmc/article/view/535,Revista Mineira de Contabilidade – RMC
