Data de Publicação,Título,Resumo,Palavras-chave,Qtd. de Autores,Autor 1,Autor 2,Autor 3,Autor 4,Autor 5,Autor 6,Afiliação 1,Afiliação 2,Afiliação 3,Afiliação 4,Afiliação 5,Afiliação 6,Url Artigo,Revista
2013-07-30,PESQUISA EM CONTABILIDADE SOCIAL COMO SE O MUNDO IMPORTASSE UM ENSAIO SOBRE POSTALGIA E UM NOVO ABSURDISMO,"O objetivo deste ensaio é oferecer uma autocrítica reflexiva sobre a ‘comunidade da contabilidade social’. O público-alvo é a comunidade acadêmica dos contadores com atividades na área de contabilidade social. O principal enfoque desta ‘comunidade’ é nas revistas contábeis de língua inglesa e nas práticas sociais e ambientais das maiores organizações do setor privado. Este ensaio foi motivado por uma preocupação com as nossas responsabilidades como acadêmicos em um mundo em crise e a perda de energia da contabilidade social e seu entusiasmo revolucionário. Os esforços dessa comunidade na área da contabilidade social têm sido realizados em um contexto de quase total negligência às atividades e aos desenvolvimentos nas comunidades não-contábeis, e particularmente nos setores público e de serviços. O ensaio vai ao encontro do trabalho e da literatura no setor público e organizações não-governamentais para ilustrar uma das maneiras em que ‘nossa’ contabilidade social pode tentar para evitar se tornar moribunda.",,3,Rob Gray,Jesse Dillard,Crawford Spence,,,,,,,,,,https://www.revistas.usp.br/rco/article/view/59345,Revista de Contabilidade e Organizações – RCO
2013-07-10,AVALIAÇÃO DA INFLUÊNCIA DOS STAKEHOLDERS NA PROATIVIDADE AMBIENTAL DE EMPRESAS BRASILEIRAS,"O artigo analisa a influência dos stakeholders na proatividade ambiental de empresas brasileiras. A pesquisa foi realizada com 112 empresas brasileiras com o objetivo de testar a hipótese de que a pressão por parte dos stakeholders influencia positivamente as atividades de gestão ambiental das empresas brasileiras. A análise fatorial agrupou os stakeholders nas categorias “mercado” e “não mercado”. Os primeiros participam diretamente da cadeia de suprimento e incluem fornecedores, clientes e concorrentes internacionais e domésticos, empregados, subcontratados e sindicatos. Os stakeholders “não mercado”, por sua vez, não participam diretamente da cadeia de suprimentos e são caracterizados pelos acionistas, governo, mídia e ONGs. Os resultados dos modelos econométricos demonstraram que os stakeholders possuem um efeito significativo e positivo sobre as ações de proatividade ambiental, envolvendo práticas de planejamento, operações e comunicação. Essa pressão é mais efetiva quando proveniente de partes interessadas com influência indireta nas organizações, os denominados stakeholders “não mercado”, demonstrando que as ideias e práticas de sustentabilidade estão cada vez mais presentes nas agendas dos atores sociais, que começam a reconhecer suas interconexões e seu poder de influenciar as empresas na adoção de práticas ambientais proativas.",environmental management. environmental pressure. environmental proactivity. strategy. stakeholders. sustainability.,3,Mônica Cavalcanti Sá Abreu,Francisco Cesar Castro,José Carlos Lazaro,,,,Universidade Federal do Ceará,Faculdade Metropolitana de Fortaleza,Universidade Federal do Ceará,,,,https://www.revistas.usp.br/rco/article/view/56693,Revista de Contabilidade e Organizações – RCO
2013-07-10,EVIDENCIAÇÃO DE INFORMAÇÕES AMBIENTAIS: PROPOSTA DE UM INDICADOR A PARTIR DA PERCEPÇÃO DE ESPECIALISTAS,"O artigo tem por objetivo elencar atributos ambientais, conforme o grau de importância de disclosure, para composição de um indicador genuinamente brasileiro que avalie qualidade de evidenciação de informações ambientais. Selecionaram-se especialistas da área “contabilidade ambiental/sustentabilidade” e atributos de evidenciação ambiental subsidiados por estudos nacionais e internacionais. Por meio de rodadas Delphi, os especialistas delinearam o rol de atributos mais relevantes para a composição do indicador. O Indicador de Disclosure Ambiental – IDA é composto por dez atributos que combinam praticidade e representatividade da qualidade de evidenciação de informações ambientais. Os resultados revelaram alto grau de importância e, portanto, maior peso para atributos qualitativos, como “Impactos Ambientais de Produtos e Processos” e “Informações sobre Resíduos”. A contribuição do estudo consiste em revelar “o que” se deve evidenciar prioritariamente, ou seja, quais são os atributos ambientais essenciais. Contribui para que verifique se a quantidade de informações ambientais evidenciadas pelas companhias tem significado necessariamente qualidade de disclosure. Por fornecer um instrumento para quantificação da qualidade do disclosure ambiental, o estudo possibilita pesquisas posteriores sobre a associação entre esta evidenciação e demais aspectos das companhias, como desempenho e governança corporativa",Attributes. Environmental Disclosure. Disclosure Indicator. Sustainability.,3,Ramon K. B. Bachmann,Leandro M. Carneiro,Márcia M. S. B. Espejo,,,,Universidade Federal do Paraná,Universidade Federal do Paraná,Universidade Federal do Paraná,,,,https://www.revistas.usp.br/rco/article/view/56666,Revista de Contabilidade e Organizações – RCO
2015-12-31,ESTRATÉGIAS COMPETITIVAS E DESEMPENHO ECONÔMICO-FINANCEIRO DE EMPRESAS BRASILEIRAS,"Este estudo teve como objetivo analisar a influência das estratégias competitivas de acordo com as tipologias de Miles e Snow no desempenho econômico-financeiro de empresas brasileiras. Trata-se de uma pesquisa exploratória, documental e quantitativa. A amostra é composta por 39 empresas do setor de consumo não-cíclico, listadas na BM&FBOVESPA, no período de 2013, que possuíam todos os dados necessários para a realização deste estudo. Para a análise dos dados, foi aplicada a análise multivariada (ANOVA). Os resultados demonstraram que há relação entre as estratégias empresarias e as medidas de desempenho econômico-financeiro das empresas analisadas, apresentando significância nos indicadores de liquidez corrente e liquidez seca. As empresas categorizadas na estratégia analítica foram as que apresentaram maior média nos indicadores de liquidez corrente e liquidez seca. Assim, pode-se inferir que empresas que mantem um equilíbrio entre estratégia prospectora (dinâmica) e defensiva (estável) tem a tendência de apresentar maiores índices de liquidez.",Estratégias Competitivas. Tipologias de Miles e Snow. Desempenho econômico-financeiro.,4,Caroline Sulzbach Pletsch,Cristian Bau Dal Magro,Alini da Silva,Carlos Eduardo Facin Lavarda,,,Universidade Regional de Blumenau-Furb,Universidade Regional de Blumenau,Universidade Regional de Blumenau,Universidade Regional de Blumenau,,,https://www.revistas.usp.br/rco/article/view/82709,Revista de Contabilidade e Organizações – RCO
2013-07-10,PERCEPÇÕES DE GESTORES SOBRE AS CONTRIBUIÇÕES DO PROCESSO DE CERTIFICAÇÃO ISO 14001 NAS PRÁTICAS DE GESTÃO AMBIENTAL,"A necessidade de harmonizar o desenvolvimento econômico com a proteção ambiental fez surgir o que se convencionou chamar de desenvolvimento e sustentabilidade. Este estudo objetiva conhecer a percepção de gestores sobre o processo de certificação ISO 14001 nas práticas de gestão do meio ambiente em uma indústria Sucroalcooleira do estado de Minas Gerais. Tratou-se de uma pesquisa descritiva de abordagem qualitativa. Os dados foram coletados por meio de entrevista e da análise documental. Constatou-se haver integração entre o processo de certificação, o sistema de gestão ambiental (SGA) e as outras áreas, fatos que proporcionam uma eficácia das práticas de gestão do meio ambiente. O processo de certificação ambiental beneficia-se da implementação do SGA, tendo em vista a melhoria do desempenho ambiental e, assim, de outros aspectos como a imagem da empresa e agregação de valor ao produto. Conclui-se que a atuação integrada da equipe gestora, de certificação ambiental e demais áreas conduzem a um melhor desempenho ambiental contribuindo assim para o alinhamento entre a gestão, as metas e as estratégias organizacionais.",Environmental accounting practices. ISO 14001 certification. Agroindustry. Sustainability. Social accountability,4,Anisio C. Pereira,Silvia B. de Melo,Vilma G. Slomski,Elionor F. J. Weffort,,,Fundação Escola de Comércio Álvares Penteado,Faculdades Integradas de Fernandópolis,Fundação Escola de Comércio Álvares Penteado,Centro Universitário Álvares Penteado,,,https://www.revistas.usp.br/rco/article/view/56665,Revista de Contabilidade e Organizações – RCO
2013-07-10,EVIDENCIAÇÃO AMBIENTAL: REGULAMENTAR É A SOLUÇÃO PARA FALTA DE COMPARABILIDADE E OBJETIVIDADE?,"O objetivo principal desta pesquisa foi investigar o impacto da regulação sobre a evidenciação ambiental (EA). A falta de objetividade e de comparabilidade têm tem sido apontadas apontado em pesquisas anteriores como as principais limitações da EA das empresas. E e entender como a regulação pode impactar tais limitações é primordial para o avanço das discussões sobre a necessidade de regulamentar ou não tais práticas. Foram analisadas informações ambientais dispostas nos relatórios anuais do ano de 2007 de 120 empresas de tamanho equivalente, do setor de petróleo e gás natural de quatro países com similaridades culturais: os Estados Unidos, o Canadá, a Inglaterra e a Austrália. Para a classificação dos dados utilizou-se uma escala adaptada de dois trabalhos consagrados no meio de evidenciação ambiental, o estudo de Clarkson et al et al. (2008) e o de Wiseman (1982). Para analisar as diferenças regulatórias foram utilizadas pesquisas já existentes que fizeram tal levantamento anteriormente. Os resultados mostraram que em países com mecanismos regulatórios mais extensos, específicos e com maior poder coercitivo, as práticas de disclosure ambiental são mais objetivas e comparáveis, ou seja, a regulamentação pode ser uma das soluções para melhorar a evidenciação ambiental das companhias.",Environmental Disclosure. Regulation. Objectivity. Comparability.,3,Alex M. Ribeiro,Carlos H. S. Carmo,Luiz Nelson G. de Carvalho,,,,Universidade Federal de Goiás,Universidade Federal de Goiás,Universidade de São Paulo,,,,https://www.revistas.usp.br/rco/article/view/56667,Revista de Contabilidade e Organizações – RCO
2013-12-07,ÍNDICE CARBONO EFICIENTE (ICO2) E RETORNO DAS AÇÕES: UM ESTUDO DE EVENTOS EM EMPRESAS NÃO FINANCEIRAS DE CAPITAL ABERTO,"As empresas preocupam-se em divulgar informações ambientais com a finalidade de transmitirem aos stakeholders uma “imagem” ambientalmente correta. A BMF&Bovespa em dezembro de 2010, lançou a primeira carteira das empresas que compõem o ICO2. O objetivo desta pesquisa é investigar se há relação entre retorno das ações e o ingresso das empresas na composição do ICO2. Os dados foram coletados na base Economática®. A amostra resultou em 28 empresas que formavam a primeira carteira do ICO2, e a abordagem metodológica utilizada foi estudo de evento, fundamentada na Teoria de Mercado Eficiente. Os achados sugerem que o anúncio não impactou no retorno das ações e, desse modo, a hipótese nula não pode ser rejeitada. Cabe ressaltar que entre as empresas investigadas, o retorno das ações da Vale manteve-se estável antes e após o evento. Por outro lado, o retorno das ações da Cyrela e MRV apresentou maior variabilidade durante a janela do evento.",responsabilidade ambiental e disclosure ambiental. hipótese de mercado eficiente. estudo de evento.,4,Josilene da Silva Barbosa,Stella Maris Lima Altoé,Wesley Vieira da Silva,Lauro Brito de Almeida,,,Universidade Federal do Paraná,Universidade Federal do Paraná,Pontifícia Universidade Católica do Paraná,Universidade Federal do Paraná,,,https://www.revistas.usp.br/rco/article/view/55448,Revista de Contabilidade e Organizações – RCO
2013-07-10,OS EFEITOS DO DISCLOSURE AMBIENTAL NEGATIVO INVOLUNTÁRIO: UM ESTUDO DE EVENTO NAS COMPANHIAS BRASILEIRAS COM ALTO ÍNDICE DE POLUIÇÃO,"O objetivo deste trabalho foi identificar a influência do disclosure ambiental negativo involuntário no retorno anormal dos setores com alto índice de poluição: Exploração, Refino, Minerais Metálicos, Papel e Celulose, e Siderurgia. Para atender ao objetivo proposto, utilizou-se a metodologia de estudo de evento, fundamentada na Hipótese do Mercado Eficiente. A amostra selecionada perfaz 29 eventos, contemplando o período de 2007 a 2012. Utilizou-se a estatística t de variâncias diferentes, bem como o teste de Wilcoxon para variáveis pareadas no intuito de detectar se a volatilidade do preço das ações antes do evento é estatisticamente diferente do preço das ações após a ocorrência do evento. Os resultados demonstraram que a divulgação dos impactos ambientais influenciou negativamente o preço e o retorno das ações, evidenciando a forma semiforte do mercado acionário brasileiro, ou seja, as informações publicamente disponíveis influencia de forma rápida e precisa no preço das ações. Observou-se também a reação negativa dos investidores até o terceiro dia após o evento para os setores de siderurgia e papel e celulose, e até o quarto dia após o evento para os setores de minerais metálicos, e exploração e refino. A partir desse período, o preço das ações e os retornos voltam à sua normalidade.",environmental disclosure. event study. efficient market hypothesis. Brazilian companies.,1,Sheila Mendes Fernandes,,,,,,Fucape Business School – Vitória-ES,,,,,,https://www.revistas.usp.br/rco/article/view/56668,Revista de Contabilidade e Organizações – RCO
2020-05-08,Contabilidade e auditoria interna no setor público brasileiro: percepção dos contadores públicos frente à convergência para as IPSAS/IFAC,"O objetivo do artigo foi investigar e analisar a percepção de uma amostra de contadores públicos brasileiros sobre a adoção das Normas Brasileiras de Contabilidade Aplicada ao Setor Público no Brasil, atualmente em processo de convergência com as normas da Internacional Federation of Accountants (International Public Sector Accounting Standards). A literatura consultada tem se concentrado em pesquisas quantitativas realizadas a partir das informações contábeis publicadas em prestações de contas junto aos Tribunais de Contas e repositórios do Governo Federal, não adentrando em analisar percepções dos profissionais de contabilidade envolvidos no processo. A teoria da contingência foi abarcada como lastro conceitual. O estudo é exploratório e de caráter descritivo, tendo sido coletados dados por meio de questionário eletrônico, utilizando o método de análise fatorial exploratória.  A amostra contou com 168 respondentes. Os resultados indicam que há necessidade de mudanças organizacionais, estruturais, sensibilização da alta administração, de competência técnica-profissional e culturais nos segmentos de contabilidade e auditoria interna dos entes públicos brasileiros visando atender à convergência. Os achados contribuem também para o debate e reflexão sobre o processo de amadurecimento e busca de soluções para adoção de uma contabilidade pública que atenda as demandas de informações dos mais diversos grupos de interessados (internos e externos).",Implantação NBC TSP. Percepção dos contadores públicos. Auditoria interna no setor público. Convergência IPSAS/IFAC no Brasil,3,Luciane Ribas Marques,João Eudes Bezerra Filho,Olavo Venturim Caldas,,,,Fucape Business School,Fucape Business School,Fucape Business School,,,,https://www.revistas.usp.br/rco/article/view/161973,Revista de Contabilidade e Organizações – RCO
2014-08-18,ADERÊNCIA AO DISCLOSURE RELATIVO À AJUSTE A VALOR PRESENTE NAS EMPRESAS LISTADAS NA BM&FBOVESPA,"A presente pesquisa teve dois objetivos principais: levantar os graus de cumprimento às orientações de divulgação definidas no CPC 12 pelas companhias listadas na Bolsa de Valores, Mercadorias e Futuros (BM&FBovespa); e identificar os incentivos capazes de explicar a aderência das firmas ao disclosure além da exigência normativa. Para tanto, a partir do normativo, construiu-se métrica de pesquisa contendo 17 itens passíveis de divulgação pelas firmas, e, em seguida, verificou-se a sua aderência por 315 companhias listadas na  BM&FBovespa. Constatou-se que as empresas apresentaram baixo grau de cumprimento às orientações de divulgação. A partir de testes de diferenças entre médias, verificou-se que as variáveis Setor Construção, Internacionalização, Firma de Auditoria e Governança Corporativa estão associadas às empresas de maiores níveis de disclosure. Além disso, com base na Análise de Regressão, não se pode rejeitar a hipótese de que o disclosure relativo ao Ajuste a Valor Presente pode ser explicado por fatores econômicos, patrimoniais e institucionais das firmas.",Disclosure. Ajuste a Valor Presente. Fatores Explicativos.,3,Falber Cristiano Oliveira de Sousa,Patrícia Vasconcelos Rocha Mapurunga,Vera Maria Rodrigues Ponte,,,,Universidade Federal do Ceará,Universidade Federal do Ceará,Universidade Federal do Ceará,,,,https://www.revistas.usp.br/rco/article/view/55456,Revista de Contabilidade e Organizações – RCO
