Data de Publicação,Título,Resumo,Palavras-chave,Qtd. de Autores,Autor 1,Autor 2,Autor 3,Autor 4,Autor 5,Autor 6,Afiliação 1,Afiliação 2,Afiliação 3,Afiliação 4,Afiliação 5,Afiliação 6,Url Artigo,Revista
2020-09-05,ANÁLISE DO DISCLOSURE AMBIENTAL DAS EMPRESAS LISTADAS NO ÍNDICE CARBONO EFICIENTE (ICO2): PARTICIPANTES POTENCIALMENTE POLUIDORES,"O presente estudo objetivou analisar, considerando os aspectos da teoria da legitimidade, como o nível de evidenciação ambiental das empresas, participantes de segmentos potencialmente poluidores, listadas no ICO2, comporta-se em relação ao nível de evidenciação de empresas não listadas no índice. A partir de dados de 41 empresas, a coleta se deu por meio das notas explicativas, relatórios da administração e relatório de sustentabilidade, resultando em 735 menções às sentenças ambientais. Para análise do nível de evidenciação por meio do índice de evidenciação ambiental, foram empregados teste de diferença de média e regressão. Constatou-se diferença entre as médias de evidenciação das empresas participantes e não participantes do ICO2, no entanto os dados da regressão não apontaram relação significativa entre a participação no ICO2 e a evidenciação ambiental, indicando que a participação no ICO2 não influenciou a evidenciação das empresas analisadas no ano de 2017.",Evidenciação Ambiental. Índice de Carbono Eficiente. Teoria da Legitimidade.,4,Alany Taysy Fernandes de Lima,Renato Henrique Gurgel Mota,Alexsandro Gonçalves da Silva Prado,Marlla Feitosa de Oliveira,,,Universidade Federal Rural do Semi-árido,Universidade Federal do Rio Grande do Norte (UFRN),UFERSA,Universidade do Vale do Rio dos Sinos (Unisinos),,,https://periodicos.ufba.br/index.php/rcontabilidade/article/view/35190,Revista de Contabilidade da UFBA
2021-07-04,Existe um gap entre o conteúdo formativo da disciplina de controladoria e o perfil exigido pelo mercado de trabalho em Santa Catarina?,"O estudo objetivou analisar a existência de um gap entre os conteúdos abordados na ementa da disciplina de controladoria nos cursos de Ciências Contábeis e o perfil do controller exigido pelo mercado de trabalho de Santa Catarina. Trata-se de uma pesquisa descritiva, documental e qualitativa. A amostra final compreendeu 15 IES de Santa Catarina e 45 vagas de empregos ofertadas e correlatas à controladoria. A coleta de dados realizou-se por meio dos sítios eletrônicos das IES e o envio de e-mail aos coordenadores de curso com a finalidade de obter a ementa da disciplina de controladoria. Os anúncios de vagas foram obtidos pelo site LinkedIn para identificar as atribuições requisitadas pelo mercado. A análise dos dados foi realizada por meio da técnica de análise de conteúdo. Os resultados apresentaram que o mercado exige formação acadêmica multidisciplinar, enquanto a disciplina volta-se a aspectos mais conceituais e teóricos acerca da atividade de controladoria. Assim, conclui-se a existência de um gap entre o conteúdo ministrado na disciplina de controladoria e o perfil requerido pelo mercado de trabalho.",Controladoria. Controller. Formação acadêmica. Mercado de trabalho.,4,Ellen Carine Mello dos Santos,Marciano da Silveira Piazentini,Gabriel Bonetto Bampi,Fernando Maciel Ramos,,,Universidade do Contestado,Universidade do Contestado,Universidade do Contestado,Universidade do Contestado,,,https://periodicos.ufba.br/index.php/rcontabilidade/article/view/42196,Revista de Contabilidade da UFBA
2018-12-28,Informações da Contabilidade Ambiental sobre Consumo de Recursos Hídricos nas Regiões Hidrográficas do Brasil,"Este trabalho objetivou em elaborar o Balanço Contábil dos Recursos Hídricos das Regiões Hidrográficas do Brasil. Esta pesquisa é de natureza empírica e exploratória. Para este fim, utilizou-se o método contábil proposto por Pereira; Kassai; Ramos (2015), como segue: o ativo ambiental hídrico (AAH) é apurado com base no produto interno bruto da região; o patrimônio líquido ambiental hídrico (PLAH) é apurado pelo saldo residual das reservas hídricas estimadas; e o passivo ambiental hídrico (PAH) é apurado por equivalência contábil por meio da equação fundamental da contabilidade. E os resultados confirmaram a heterogeneidade da situação patrimonial hídrica daquelas regiões. Este estudo justifica-se pela importância de como as nações irão cuidar de seus recursos hídricos nas próximas décadas e contribui para futuras pesquisas que demonstrem a relevância de informações contábeis voltadas para evidenciação da situação patrimonial desses recursos naturais.",Recurso Hídrico. Contabilidade Ambiental. Região Hidrográfica,1,Jozenei Silva Pereira,,,,,,Faculdade Santo Antonio / Prefeitura Municipal de Alagoinhas,,,,,,https://periodicos.ufba.br/index.php/rcontabilidade/article/view/23010,Revista de Contabilidade da UFBA
2017-12-07,A INFLUÊNCIA DOS FATORES CONTINGENCIAIS E NÃO CONTINGENCIAIS NO DESEMPENHO DA PECUÁRIA LEITEIRA NO MUNICÍPIO DE VERÊ – PR SOB A PERSPECTIVA DA ECOEFICIÊNCIA,"Questões socialmente responsáveis transcendem a mera ideia de um movimento das entidades, ou seja, uma visão mais completa que integra dimensões econômica, social e ambiental. Cada vez mais discute-se a fragilidade da questão ambiental, surgindo a necessidade de implementação de políticas e estratégias de gestão ambiental, por meio dessa preocupação surge o conceito de ecoeficiência, que reflete os impactos ambientais e a geração de valores. Assim, esse estudo objetiva investigar a influência dos fatores contingenciais no resultado da ecoeficiência nas propriedades leiteiras no município de Verê – PR. Por meio de um estudo qualitativo e descritivo, composto por um estudo de casos múltiplos em quatro propriedades, denominadas de PA, PB, PC e PD. Os resultados demonstram que os produtores atuam na atividade com suas experiências para aprimorar o negócio, tentando elevar seus rendimentos. Outro ponto relevante é o fato de não haver preocupação com a emissão de GEE por parte dos produtores, observa-se que eles desconhecem a ecoeficiência, e apresentam certa resistência em aplicar tal conceito na sua produção. Então por meio do cálculo de ecoeficiência e verificação dos fatores contingenciais nas propriedades, concluiu-se que o ambiente, porte e estrutura não influenciam na ecoeficiência, enquanto a tecnologia influencia na dimensão econômica apenas, e a estratégia apresentando influência tanto na dimensão econômica, quanto na dimensão ambiental da ecoeficiência.",Dimensão econômica e ambiental. Ecoeficiência. Emissão de GEE. Pecuária Leiteira.,5,Diones Fernandes Zanin,Luiz Panhoca,Lauro Brito de Almeida,Frederico Fonseca da Silva,Marcielle Anzilago,,,,,,,,https://periodicos.ufba.br/index.php/rcontabilidade/article/view/23259,Revista de Contabilidade da UFBA
2019-02-08,SUSTENTABILIDADE AMBIENTAL: UM ESTUDO DE CASO NA CEASAMINAS,"Este estudo tem como objetivo analisar o índice de sustentabilidade ambiental da Central de Abastecimento de Minas Gerais (CeasaMinas) com a aplicação parcial do Sistema Contábil Gerencial Ambiental (SICOGEA). Os dados foram coletados em três setores da CeasaMinas (contabilidade, meio ambiente e comissão permanente de licitação) por meio da aplicação de questionário (lista de verificação) de 125 questões, proposto na primeira fase da terceira etapa do SICOGEA. Após a aplicação parcial do SICOGEA obteve-se o índice geral de sustentabilidade da CeasaMinas (40,5%), classificado como Fraco, porém próximo da classificação Regular, que engloba os resultados de 41 a 60%. Desta forma pode-se dizer que a entidade não alcança mas está próxima de alcançar desempenho suficiente para atender a legislação. Dentre os grupos analisados, destaca-se índice de sustentabilidade Fraco para os grupos Produção e, Contabilidade e Finanças, e Regular para os grupos Recursos Humanos e Marketing. Destaca-se ainda que o grupo Contabilidade e Finanças apresentou o menor índice de sustentabilidade consequência da falta de relatórios e informações relacionados as ações ambientais.",Sustentabilidade. CeasaMinas. SICOGEA. Contabilidade ambiental,2,Karina Batista de Aquino,Tatiane de Oliveira Marques,,,,,Universidade Federal de Minas Gerais – UFMG,Universidade Federal do Paraná - UFPR,,,,,https://periodicos.ufba.br/index.php/rcontabilidade/article/view/26456,Revista de Contabilidade da UFBA
2015-01-08,CONTABILIDADE E SUSTENTABILIDADE: UMA ANÁLISE DOS ARTIGOS PUBLICADOS EM PERIÓDICOS QUALIS NO PERÍODO DE 2007 A 2011,"O objetivo do presente estudo foi verificar junto aos periódicos nacionais da área contábil referenciadas pelo QUALIS-CAPES as publicações relativas à área de sustentabilidade ambiental no período de 2007 a 2011 sob a ótica bibliométrica. Como objetivo secundário, observou-se se a crise mundial de 2008 influenciou negativamente a quantidade de produção na temática de sustentabilidade ambiental. Na metodologia aplicada à pesquisa, a caracterização voltou-se a um estudo descritivo com a utilização de pesquisa bibliográfica, bem como abordagem quali-quanti em relação à problemática principal. De acordo com a investigação, concluiu-se que em apenas 5,26% dos 1179 artigos analisados a temática de sustentabilidade ambiental é abordada, sendo que os estudos mais explorados tratam da evidenciação/evidenciação ambiental e contabilidade ambiental. Pôde-se verificar também que a crise financeira mundial de 2008 não provocou impacto negativo nas produções sobre o tema, tendo em vista o ápice das publicações ter ocorrido no ano de 2010. No campo bibliométrico, os 62 artigos apresentaram predominância metodológica de estudos qualitativos quanto ao método, documentais quanto à estratégia, análises documentais quanto à técnica e, por fim, descritivos e exploratórios quanto ao tipo de pesquisa.",Contabilidade. Sustentabilidade. Periódicos Científicos. Bibliometria,2,Luciano Gomes dos Reis,Marcelo Resquetti Tarifa,,,,,Universidade Estadual de Londrina,Universidade Estadual de Londrina,,,,,https://periodicos.ufba.br/index.php/rcontabilidade/article/view/8357,Revista de Contabilidade da UFBA
2019-12-31,Auditoria dos Relatórios de Sustentabilidade: um estudo com Empresas Listadas na B3,"Este estudo buscou verificar a relação entre os determinantes da auditoria do Relatório de Sustentabilidade e o retorno anormal das ações das empresas listadas na B3, no período de 2011 a 2014. Foram utilizados os seguintes fatores determinantes: tamanho, endividamento, rentabilidade, effective tax rate (ETR), origem do controle acionário e setor de atividade. Elaborou-se um modelo de regressão logística binária robusta, sendo excluída a variável setor de atividade, que foi analisada por meio da tabela de referência cruzada e teste qui quadrado. Um segundo modelo de regressão linear analisou se a escolha da verificação externa proporcionou às empresas participantes da pesquisa retornos anormais no valor das ações. Os resultados evidenciaram que os fatores tamanho e ETR determinam a escolha do gestor em optar pela auditoria. Os achados permitiram afirmarqueasempresas optantes por realizar a verificação externa dos RS lograram retornos anormais no valor de suas ações.",Auditoria. Relatórios de Sustentabilidade. Teoria da Legitimidade. Assurance,1,Taianan Alves Uzeda Luna,,,,,,Faculdade Adventista da Bahia,,,,,,https://periodicos.ufba.br/index.php/rcontabilidade/article/view/30783,Revista de Contabilidade da UFBA
2018-12-28,Qualidade Informacional versus Nível de Governança Corporativa: Uma Análise de Correlação das Empresas do Setor de Energia Elétrica,"O objetivo do estudo foi analisar a qualidade das informações disponíveis das empresas por meio dos resultados divulgados, nos relatórios na base de dados da Comissão de Valores Mobiliários (C.V.M) para verificar o Nível de Governança Corporativa no 1ºtrimestre 2011 a 1ºtrimestre 2014 na BM&FBovespa. Utiliza-se os dados e informações disponibilizados de 55 empresas por meio dos resultados divulgados nos relatórios, na base de dados da C. V. M. e BM&FBovespa. A pesquisa é de natureza documental, exploratória, descritiva e quali-quantitativa, um estudo multicaso aplicado nas empresas do setor de energia elétrica. Resultados esperados inicialmente não foram totalmente satisfeitos, pois a (H1) foi rejeitada e a (H2) não pode ser rejeitada, por existir dispersão das informações em todos os níveis. E, por fim, as informações mais evidenciadas pelas empresas foram os itens E, J, K e T, descritos na Figura 1 das Notas Explicativas ou Variáveis Independentes deste estudo.",Governança Coorporativa. Qualidade das Informações. Dispersão das Informações. Empresas do Setor de Energia Elétrica.,6,Adriana Maria Miguel Peixe,Jessika Nassif Korontai,Neusa Higa,Denise Kowalski,Ademir Clemente,Blênio Cezar Severo Peixe,UNIVERSIDADE FEDERAL DO PARANÁ - UFPR,Universidade Federal do Paraná - UFPR,Universidade Federal do Paraná - UFPR,Universidade Federal do Paraná - UFPR,Universidade Federal do Paraná - UFPR,Universidade Federal do Paraná - UFPR,https://periodicos.ufba.br/index.php/rcontabilidade/article/view/22946,Revista de Contabilidade da UFBA
2017-12-07,DIVULGAÇÃO DE INFORMAÇÕES SOCIAIS E AMBIENTAIS PELA ITAIPU BINACIONAL: UM ESTUDO SOB A ÓTICA DA TEORIA DA LEGITIMIDADE,"O estudo analisa, sob a ótica da Teoria da Legitimidade, como a empresa Itaipu Binacional se utiliza da evidenciação socioambiental para gerenciar sua legitimidade social. Identificou-se as estratégias de legitimidade, de acordo com a tipologia de Suchman (1995), que são evidenciadas nos Relatórios de Sustentabilidade da Itaipu Binacional no período de 2011 a 2015. A pesquisa tem caráter exploratório, com abordagem qualitativa e análise de conteúdo documental. Os resultados permitem concluir que a empresa se utiliza da divulgação de informações sociais e ambientais como instrumento para gerenciar sua legitimidade social. Identificou-se um elevado grau de evidenciação das estratégias de legitimidade em todas as tipologias sugeridas por Suchman, com predominância da estratégia cognitiva, seguida pela pragmática e moral, respectivamente. De maneira geral, a empresa busca popularizar e padronizar seus modelos, cooptar integrantes, vincular-se a instituições visando apoio para desenvolver ações sociais e ambientais e demonstrar que produz resultados adequados para sociedade.",Evidenciação. Responsabilidade social. Legitimidade.,2,Francielle Rodrigues Voltarelli,Aládio Zanchet,,,,,Unioeste - Universidade Estadual do Oeste do Paraná.,Unioeste - Universidade Estadual do Oeste do Paraná,,,,,https://periodicos.ufba.br/index.php/rcontabilidade/article/view/23868,Revista de Contabilidade da UFBA
2017-08-28,ANÁLISE DA EVIDENCIAÇÃO DA SUSTENTABILIDADE PELA CONTABILIDADE APLICADA AO SETOR PÚBLICO MUNICIPAL,"Ao encontro das discussões sobre sustentabilidade, o presente estudo teve como objetivo analisar como vem sendo evidenciada e divulgada a sustentabilidade pela contabilidade aplicada ao setor público municipal por meio do Orçamento Público Anual. O estudo caracteriza-se como uma pesquisa descritiva, de abordagem qualitativa, tendo como unidade de análise, 31 prefeituras gaúchas que aderiram ao Programa Cidades Sustentáveis (PCS). Em termos de resultado, verificou-se que a evidenciação das despesas por funções e subfunções estabelecidas pela Portaria n. 42/1999, identifica várias ações dos governos municipais nas dimensões social e ambiental. Na análise dos indicadores de sustentabilidade divulgados pelas prefeituras que aderiram ao PCS verificou-se que apenas quatro estão informando parcialmente seus indicadores de sustentabilidade na plataforma do PCS. Reforça-se que a contabilidade aplicada ao setor público precisa avançar e cumprir seu papel de gerar e fornecer informações que contemplam as dimensões da sustentabilidade.",Sustentabilidade. Gestão pública municipal. Contabilidade Pública.,2,Taiane Ebert do Couto,Marcia Rosane Frey,,,,,Universidade de Santa Cruz do Sul - Unisc,Universidade de Santa Cruz do Sul - UNISC,,,,,https://periodicos.ufba.br/index.php/rcontabilidade/article/view/16635,Revista de Contabilidade da UFBA
