Data de Publicação,Título,Resumo,Palavras-chave,Qtd. de Autores,Autor 1,Autor 2,Autor 3,Autor 4,Autor 5,Autor 6,Afiliação 1,Afiliação 2,Afiliação 3,Afiliação 4,Afiliação 5,Afiliação 6,Url Artigo,Revista
2019-01-01,ALICERCE À MENSURAÇÃO DAS AUTUAÇÕES AMBIENTAIS NO ESTADO DO CEARÁ: UM ESTUDO APLICADO NAS INDÚSTRIAS DE MINERAIS NÃO METÁLICOS,"Esta pesquisa tem como objetivo geral analisar os fundamentos utilizados na mensuração dos autos de infração ambiental aplicados nas indústrias de minerais não metálicos do Estado do Ceará, no período de janeiro de 2011 a junho de 2012. Os dados foram coletados em de dezembro de 2014, no acervo do CAOMACE. Em posse dos autos, recorreu-se à análise de conteúdo como técnica qualitativa de coleta dos dados de 58 autos de infração. Os resultados mostraram que a utilização de produtos florestais sem licença e o funcionamento de fábricas poluidoras sem licença ambiental são tipos de infração de maior ocorrência; que há casos em que a aplicação de multas fixas não corresponde ao estabelecido legalmente; que a maioria das infrações abertas foi valorada dentro dos limites legais, sem detalhamento técnico da metodologia utilizada e, ainda, que os critérios utilizados como parâmetros para o cálculo das multas abertas foram cinco (o porte do empreendimento, o potencial poluidor degradador, a gravidade da infração, a tabela para aplicação de multa aberta e a capacidade econômica do infrator). Conclui-se que há necessidade de metodologia para definir o valor da multa cobrada nos autos de infração ambiental.",Indústrias de minerais não metálicos. Autos de infração. Multas ambientais,4,Ivaneide Ferreira Farias,Jackeline Lucas Souza,Miguel Carioca Neto,Liliane Maria Ramalho de Castro Siqueira,,,Universidade Federal do Ceará,Universidade Federal do Ceará,Universidade Federal Rural do Semi-Árido,Universidade Federal do Ceará,,,https://reunir.revistas.ufcg.edu.br/index.php/uacc/article/view/627,"Revista de Administração, Contabilidade e Sustentabilidade – REUNIR"
2014-08-07,AVALIAÇÃO DE FUNÇÕES DE GOVERNOS ESTADUAIS E DO DISTRITO FEDERAL NA PERCEPÇÃO DOS CONTRIBUINTES/USUÁRIOS,"Esta pesquisa tem o objetivo de levantar opiniões sobre os graus de satisfação de contribuintes/usuários sobre as funções dos governos estaduais e do distrito federal: legislativa; judiciária; segurança pública; saúde; educação; saneamento; gestão ambiental; desportos e lazer; cultura e administração, através de um questionário em que são atribuídas notas de 1 a 10. O questionário foi disponibilizado em sítio eletrônico próprio no período de 01 de junho a 12 de julho de 2013. Foi realizada também uma avaliação da eficiência instrumental orçamentária dos 26 Estados e do Distrito Federal do ano de 2012. Os resultados revelaram que o Estado de Minas Gerais, seguido de São Paulo e Mato Grosso do Sul foram os melhores avaliados pelos contribuintes/usuários e  Tocantins, Rondônia e Alagoas obtiveram as menores médias nas avaliações das 10 funções de governo. As funções segurança pública e saúde foram avaliadas de forma conjunta com a nota final 3 (18% e 20%, respectivamente dos 643 contribuintes/usuários participantes da pesquisa) e educação com a nota 4 (18%). Em relação a eficiência instrumental orçamentária de 2012, os Estados de Alagoas, Amazonas, Bahia, Ceará e Maranhão foram considerados eficientes, mas em relação à percepção dos contribuintes/usuários, os mesmos ficaram na 27ª, 7ª, 11ª, 20ª e 22ª posição no ranking da avaliação.",,4,Maurício Corrêa da Silva,Fábia Jaiany Viana de Souza,Aneide Oliveira Araujo,José Dionísio Gomes da Silva,,,Universidade Federal do Rio Grande do Norte,UFRN,UFRN,,,,https://reunir.revistas.ufcg.edu.br/index.php/uacc/article/view/153,"Revista de Administração, Contabilidade e Sustentabilidade – REUNIR"
2012-08-07,ANÁLISE DA INTERAÇÃO DA CONTABILIDADE AMBIENTAL E O DESENVOLVIMENTO SUSTENTÁVEL NOS ENGENHOS DE BENEFICIAMENTO DE ARROZ DE SANTA MARIA/RS,"Hoje a contabilidade assume um papel intermediário para a divulgação de sua interação com o meio ambiente e as possíveis consequências que sua atividade pode causar. O presente artigo buscou analisar como estão sendo tratadas e divulgadas as informações de natureza contábil ambiental e sua interação com o desenvolvimento sustentável nos engenhos de beneficiamento de arroz, filiados a Associação Rede Arrozeiras do Sul, situados no município de Santa Maria/RS. Para alcançar os objetivos desse trabalho, a metodologia utilizada foi de uma pesquisa quantitativa, descritiva e bibliográfica. O período no qual se realizou o levantamento das informações e a análise dos dados foi de setembro à outubro de 2011. Nos resultados verificou-se que 50% das empresas estão cientes da existência da contabilidade ambiental, porém nenhuma delas usufrui de todos os benefícios que a mesma pode trazer. É alegado que as informações de natureza contábil ambiental não compensam a relação custo-benefício, e por isso acabam ficando em segundo plano. Com relação ao desenvolvimento sustentável, percebeu-se que a maioria (75%) tem consciência e executa ações ambientais. Ao analisar a divulgação das informações de natureza contábil ambiental, foi constatado que há muito a ser explorado nesse ponto, pois atualmente as poucas informações que são apresentadas em demonstrativos contábeis para a sociedade estão colocadas somente em Notas Explicativas.",Contabilidade Ambiental. Desenvolvimento Sustentável. Engenhos de Beneficiamento de Arroz.,2,Fabiane Tubino Garcia,Ariel Behr,,,,,Universidade Federal do Pampa,Universidade Federal do Pampa,,,,,https://reunir.revistas.ufcg.edu.br/index.php/uacc/article/view/65,"Revista de Administração, Contabilidade e Sustentabilidade – REUNIR"
2015-12-14,CONTABILIDADE AMBIENTAL: A EVIDENCIAÇÃO NAS DEMONSTRAÇÕES FINANCEIRAS DAS EMPRESAS LISTADAS NA BM&FBOVESPA,"Para garantir longevidade e sucesso das instituições em meio aos desafios de novos mercados, um dos requisitos essenciais atualmente é a correta utilização dos recursos naturais e a divulgação das ações que identifiquem sua preservação, manutenção e correção. Um das formas de garantir transparência e responsabilidade socioambiental é a opção de um dos níveis da Governança Corporativa (GC). O objetivo geral foi identificar de que forma as empresas listadas na BM&FBOVESPA evidenciaram as variáveis da Gestão Ambiental (GA) no conjunto das Demonstrações Financeiras do ano 2008. Para isso foram traçados os objetivos específicos: (i) segmentar as empresas listadas no Nível 1 de GC; (ii) identificar no conjunto das demonstrações financeiras das empresas onde são evidenciadas as variáveis da GA; (iii) verificar o grau de correspondência das evidenciações apresentadas com as informações relacionadas pela NBC T 15; e (iv) descrever as principais ações evidenciadas pelas companhias. Como pesquisa documental aplicada, descritiva com abordagem qualitativa e quantitativa analisou o conjunto de relatórios financeiros de 40 empresas listadas no nível I de GC listadas na BM&FBOVESPA. Seguindo um roteiro elaborado conforme a norma brasileira de contabilidade, verificou-se o grau de correspondência das informações evidenciadas pelas empresas pesquisadas com o estabelecido na norma. Observaram-se algumas evidenciações de natureza ambientais, entretanto não foi encontrada nenhuma evidenciação nas peças contábeis. Todas as evidenciações foram apresentadas no relatório da administração, demonstrando que as empresas ainda não utilizam a contabilidade e a gestão ambiental como ferramentas úteis e importantes nos aspectos relativos ao meio ambiente.",Contabilidade Ambiental. Gestão Ambiental. Evidenciação,2,Débora Pool da Silva Freitas,Walter Nunes Oleiro,,,,,FURG- UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,,,,,https://reunir.revistas.ufcg.edu.br/index.php/uacc/article/view/29,"Revista de Administração, Contabilidade e Sustentabilidade – REUNIR"
2014-02-26,DISCLOSURE AMBIENTAL: UM ESTUDO NAS EMPRESAS DO SETOR DE PAPEL E CELULOSE DE 2006 A 2010,"A necessidade de demonstrar as informações geradas pela contabilidade ambiental, por parte das empresas de papel e celulose é obrigatória, por ser esse setor um potencial poluidor e utilizador de recursos naturais em nível alto. Dessa forma, essa pesquisa buscou responder a seguinte problemática: As empresas do setor de papel e celulose divulgam suas informações ambientais, relativas à interação da entidade com o meio ambiente, observando o cumprimento da Norma Brasileira de Contabilidade Técnica (NBC T-15)? Para tanto, a metodologia utilizada foi à pesquisa descritiva, com abordagem qualitativa e corte longitudinal de 2006 até 2010, realizada nas empresas do setor de papel e celulose que tem suas ações negociadas na bolsa de valores, a BM&FBOVESPA. Os resultados encontrados demonstraram que as empresas cumpriram boa parte da NBC T-15, mas as informações relativas aos chamados passivos ambientais, ainda são pouco evidenciadas. As empresas SUZANO, IRANI, KLABIN mantiveram mesmo nível de divulgação, chegando a seis dos oitos elementos exigidos pela norma. A FIBRIA foi a que apresentou maior cumprimento em 2009, evidenciando todos os elementos. Já a MELHORAMENTOS manteve-se bem abaixo das demais empresas, com um elemento evidenciado em 2006 e um em 2007, nenhum em 2008, e dois em 2009 e 2010.",Contabilidade Ambiental. Norma Brasileira de Contabilidade Técnica-15. Disclosure.,4,Eliedna de Sousa Barbosa,Ádria Tayllo Alves Oliveira,Roseane Patrícia de Araújo Silva,Isabelle Carlos Campos Rezende,,,Universidade Estadual da Paraíba,Universidade Estadual da Paraíba,Universidade Estadual da Paraíba,Universidade Federal da Paraíba,,,https://reunir.revistas.ufcg.edu.br/index.php/uacc/article/view/108,"Revista de Administração, Contabilidade e Sustentabilidade – REUNIR"
2013-02-25,O PRODUTO VERDE É SEMPRE “VERDE”? UMA ANÁLISE DO BLOCO CERÂMICO A PARTIR DO ECODESIGN,"Atualmente, face aos problemas ambientais causados pela produção e consumo exacerbados de materiais e energia e dos resíduos gerados, a atividade de desenhar produtos verdes é fundamental para o desenvolvimento sustentável. Este estudo objetivou analisar através do uso combinado das ferramentas de ecodesign: Ecodesign PILOT e Teia das Estratégias do Ecodesign (TEE) se um produto concebido como verde é de fato “verde”. Teoricamente centrou-se na discussão de ecodesign, produtos verdes e nas ferramentas de ecodesign utilizadas, as quais contemplam todas as etapas do ciclo de vida do produto.  Trata-se de um estudo de caso, cujo objeto foi o Bloco Cerâmico Econômico. Foram utilizadas entrevista semiestruturada e dois questionários elaborados a partir das ferramentas citadas. Como resultados, o Ecodesign PILOT classificou o produto como Tipo B, ou seja, a fase de fabricação apresenta maior carga ambiental. Quanto à TEE, a otimização pós-uso do produto foi considerada de alta prioridade, isto se dá pelo fato da empresa não manter uma política de reciclagem do produto ao final de sua vida útil, dada a impossibilidade de identificar o responsável pelos resíduos gerados. Os demais resultados das duas ferramentas apresentaram-se convergentes, mostrando que o produto de fato pode ser considerado como verde.",Ecodesign. Produto verde. Ecodesign PILOT. Teia das Estratégias do Ecodesign.,2,Isabel Joselita Barbosa da Rocha Alves,Lúcia Santana de Freitas,,,,,Universidade Estadual da Paraíba,Universidade Federal de Campina Grande. Unidade Acadêmica de Administração e Contabilidade,,,,,https://reunir.revistas.ufcg.edu.br/index.php/uacc/article/view/102,"Revista de Administração, Contabilidade e Sustentabilidade – REUNIR"
2016-09-01,O processo de desertificação no Município de Acari/RN e as alternativas de permanência para seus munícipes.,"O presente trabalho analisa o quadro ambiental do município de Acari/RN, com foco na desertificação. Aborda o conceito de desertificação na visão de ACCIOLY (2011), ROSA (1974) e GALVÃO (2012) que identificam suas possíveis causas. Ainda, elenca as possíveis alternativas para permanência dos habitantes no município. Apresenta aspectos ambientais inerentes ao processo de desertificação do município de Acari, identificando algumas de suas potencialidades e fragilidades. A discussão teórica reflete sobre os núcleos de desertificação no Semiárido brasileiro que é formado pelo Polígono das Secas. Também, permite pensar no núcleo de desertificação Seridó e em sua vegetação caatinga. Proporciona uma visão do município de Acari, sua localização, povoamento e atividades econômicas. Por fim, apresenta os resultados da pesquisa de campo realizada com pessoas que trabalham em olarias, cerâmicas e facções.",Região do Seridó. Acari/RN. desertificação. caatinga.,3,Girlene Edson de Oliveira Amaro,Maria Luiza de Medeiros Galvão,Kettrin Farias Bem Maracajá,,,,Especialista em Educação Ambiental e Geografia do Semiárido,Doutoranda no Programa de Planejamento Energético e Ambiental da UFRJ,"Universidade Federal de Campina Grande, Unidade Acadêmica de Administração e Contabilidade – Centro de Humanidades.",,,,https://reunir.revistas.ufcg.edu.br/index.php/uacc/article/view/394,"Revista de Administração, Contabilidade e Sustentabilidade – REUNIR"
2016-04-29,"MÉTRICA DE VALORAÇÃO AMBIENTAL: UMA PERCEPÇÃO DA GESTÃO PÚBLICA NO MUNICÍPIO DE CAVALCANTE, GOIÁS","A pesquisa objetivou analisar a percepção dos agentes públicos da cidade de Cavalcante do estado de Goiás, quanto à utilização da métrica de valoração dos bens ambientais para a tomada de decisão na contabilidade, nas políticas públicas do município e na sociedade, relacionada à preservação e conservação do meio ambiente. Foi utilizado o Método do Custo de Viagem (MCV) para calcular o valor econômico dos ativos ambientais, tais como as cachoeiras do município, com base nos dados de pesquisa sobre o perfil do turista da cidade, realizada pelo Centro de Excelência em Turismo (CET-UnB), no período de novembro de 2011 e fevereiro de 2012. O resultado do trabalho foi apresentado a três agentes na elaboração da contabilidade e na promoção de políticas públicas do município, sendo eles o contador, o secretário de turismo e um representante da sociedade. Observou-se que para os agentes o uso da técnica do MCV está condicionado a pré-disposição dos gestores em utilizar a ferramenta para auxiliar no desenvolvimento de suas atividades; podendo contribuir apenas para sensibilizar o governante na realização de políticas públicas; pois os gestores não apresentam interesse e nem preparação para utilizar os dados. Isto pode ser em decorrência do turismo não ser considerado como a principal fonte de desenvolvimento municipal, o que reduz os postos de trabalho fixo nesta área, uma vez que a prefeitura é a principal fonte pagadora.",Ativos Ambientais. Heritages Assets. Método do Custo de Viagem.,2,Fernanda Jaqueline Lopes,Fátima de Souza Freire,,,,,Universidade de Brasília,Universidade de Brasília,,,,,https://reunir.revistas.ufcg.edu.br/index.php/uacc/article/view/386,"Revista de Administração, Contabilidade e Sustentabilidade – REUNIR"
2015-03-23,PRODUTO VERDE: UMA ANÁLISE A PARTIR DO ECODESIGN PILOT E DA TEIA DAS ESTRATÉGIAS DO ECODESIGN,"Este estudo objetivou analisar através do uso das ferramentas de ecodesign: Ecodesign PILOT e Teia das Estratégias do Ecodesign, se o banco Carambola, concebido como produto verde é de fato “verde”. Os dados coletados junto ao idealizador do produto revelaram que os processos de extração e de produção de matérias-primas causam a maior parte dos impactos ambientais do produto. Contudo, destaca-se que nas demais fases do ciclo de vida os aspectos ambientais não são intensivos e que todas as estratégias apresentam baixa prioridade. Assim, pode-se concluir que o produto, com base nestas ferramentas, pode ser considerado verde.",Estratégia ambiental. Desempenho ambiental do produto. Ferramentas de Ecodesign.,2,Isabel Joselita Barbosa da Rocha Alves,Lúcia Santana de Freitas,,,,,Universidade Estadual da Paraíba,Universidade Federal de Campina Grande,,,,,https://reunir.revistas.ufcg.edu.br/index.php/uacc/article/view/281,"Revista de Administração, Contabilidade e Sustentabilidade – REUNIR"
2015-12-15,EVIDENCIAÇÃO DE INFORMAÇÕES AMBIENTAIS EM EMPRESAS DO SEGMENTO DE UTILIDADE PÚBLICA LISTADAS NA BM&FBOVESPA: UM ESTUDO SOBRE A EVOLUÇÃO NA DIVULGAÇÃO DESSAS INFORMAÇÕES,"O aumento da consciência ambiental pelos consumidores tem exigido das entidades mudanças na divulgação de informações a cerca do relacionamento entre a entidade e o meio ambiente. Nesta perspectiva, o Conselho Federal de Contabilidade contribui ao editar a Norma Brasileira de Contabilidade técnica NBC T – 15, que versa sobre informações de natureza social e ambiental. Este artigo objetivou analisar a aderência das informações ambientais divulgadas nos Balanços Sociais das empresas do setor de utilidade pública listadas na BM&FBOVESPA às exigências da NBC T 15, nos exercícios de 2008 a 2010. Tal intento adveio da leitura de estudos anteriores sobre o tema, destacando-se o de Cavalcanti et al (2009), o qual concluiu que houve uma adesão parcial das empresas do segmento de utilidade pública listada na BM&FBOVESPA em 2007, quanto a divulgação de informações ambientais nos moldes da NBC T 15. Utilizou-se a pesquisa documental e de levantamento, descritiva, e com predominância do aspecto quantitativo quanto à abordagem do problema. Foram analisados os Balanços Sociais de 37, 39 e 37 empresas respectivamente nos anos 2008, 2009 e 2010, de um universo de 62. Observou-se que a maioria das organizações estudadas preferiu divulgar seus Balanços Sociais através do relatório da administração. Quanto à aderência à NBC T 15, constatou-se que o grau médio foi de 25%. Tal resultado se mostra inferior ao identificado no estudo de Cavalcanti et al (2009) no qual foi observado um percentual de 32%. Constata-se, portanto, decréscimo no nível de divulgação de informações ambientais em conformidade com a NBC T 15, entre 2007 e 2010, no contexto das empresas de utilidade pública, o que pode contribuir para a não promoção de divulgação de informação financeira justa, adequada e completa.",Informações Ambientais. Evidenciação. Balanço Social,3,Felipe Augusto Pessoa de Belmont Fonseca,Karla Katiuscia Nobrega de Almeida,Robério Dantas de França,,,,Universidade Federal da Paraiba,Universidade Federal da Paraíba,,,,,https://reunir.revistas.ufcg.edu.br/index.php/uacc/article/view/63,"Revista de Administração, Contabilidade e Sustentabilidade – REUNIR"
