Data de Publicação,Título,Resumo,Palavras-chave,Qtd. de Autores,Autor 1,Autor 2,Autor 3,Autor 4,Autor 5,Autor 6,Afiliação 1,Afiliação 2,Afiliação 3,Afiliação 4,Afiliação 5,Afiliação 6,Url Artigo,Revista
2014-12-01,GESTÃO DA SUSTENTABILIDADE: UM ESTUDO SOBRE O NÍVEL DE SUSTENTABILIDADE SOCIOAMBIENTAL DE UMA INSTITUIÇÃO FEDERAL DE ENSINO SUPERIOR,"O objetivo deste estudo é avaliar o nível de sustentabilidade ambiental na Universidade Federal Fronteira Sul, campi de Chapecó/SC, a partir da aplicação do Modelo de Avaliação de Sustentabilidade Socioambiental (MASS) elaborado por Freitas (2013). Para o alcance do objetivo proposto, aplicou-se o questionário Educação Ambiental com 229 questões fechadas, respondido pelo departamento de sustentabilidade da UFFS. Os dados foram tabulados no software phinx e tratados de maneira quantitativa com o auxílio da planilha eletrônica Excel e do software, utilizado para a elaboração das redes. Os resultados demonstram que UFFS apresenta 53,09% do índice geral de sustentabilidade atingido (numa escala de 0 a 100%), representando que a instituição aplica a Sustentabilidade Ambiental preponderantemente para cumprir os requisitos legais.",Sustentabilidade Ambiental. Instituição de Ensino Superior. Socioambiental. Gestão Sustentável. Nível de Sustentabilidade.,3,Ines Liani Menzel Warken,Veridiana Jéssica Henn,Fabricia Silva da Rosa,,,,Universidade Regional de Blumenau,HORUS FACULDADES,Universidade Regional de Blumenau,,,,https://revistas.uneb.br/index.php/financ/article/view/740,"Revista de Gestão, Finanças e Contabilidade"
2019-12-21,DEMONSTRAÇÃO DO VALOR ADICIONADO (DVA): UMA ANÁLISE DA GERAÇÃO E DISTRIBUIÇÃO DE RIQUEZAS DAS EMPRESAS LISTADAS NO ÍNDICE DE SUSTENTABILIDADE EMPRESARIAL (ISE)-B3,"Esse trabalho teve como objetivo analisar as DVA publicadas pelas companhias de capital aberto componentes da carteira 2018 do índice ISE-B3. Foram usados indicadores de geração e distribuição de riqueza como variáveis na análise da pesquisa. A análise contemplou a amostra de 30 companhias abertas listadas na carteira de 2018 do ISE e 30 companhias não- ISE listadas na B3 no período de 2014 a 2018. Para analisar a variação dos indicadores utilizou-se o teste estatístico paramétrico t de Student para amostras independentes e o teste Mann-Whitney para amostras não paramétricas. Os resultados obtidos a partir dos testes estatísticos t de Student e Mann-Whitney, em um intervalo de 95% de confiança, com significância de 0,05, verificou que as empresas do Grupo ISE e Não ISE apresentam evidências estatísticas similares, ou seja, não apresentaram variação significativa em relação ao período analisado pois o p-value foi superior a 0,05 em todos os casos. Conclui-se assim que o fato das empresas, pertencerem ou não ao Índice de Sustentabilidade Empresarial, não afetou significativamente a DVA dessas empresas, considerando os indicadores utilizados na pesquisa.",Demonstração do Valor Adicionado. Índice de Sustentabilidade Empresarial. Indicadores,2,Thaís Santos de Sousa,Juliano Almeida de Faria,,,,,Universidade Estadual de Feira de Santana,Universidade Federal de Sergipe,,,,,https://revistas.uneb.br/index.php/financ/article/view/7376,"Revista de Gestão, Finanças e Contabilidade"
2017-03-14,PRODUÇÃO ACADÊMICA BRASILEIRA NO CONTEXTO DOS RELATÓRIOS DE SUSTENTABILIDADE: UMA ANÁLISE BIBLIOMÉTRICA,"Com o intuito de contribuir para a evolução e incremento de futuras pesquisas científicas, o presente artigo apresenta como questão norteadora: qual o perfil das publicações científicas, que abordaram o tema Relatórios de Sustentabilidade, no período de 2005 a 2014? Apoiado metodologicamente em uma pesquisa bibliométrica de natureza qualitativa e quantitativa, de caráter descritivo, utilizou-se como base para a coleta de dados os periódicos da área de Administração, Ciências Contábeis e Turismo – classificados de acordo com o sistema QUALIS-CAPES em âmbito nacional entre o escopo de revistas A1 a B3. A análise teve como foco o número de artigos publicados sobre a temática dos Relatórios de Sustentabilidade, as abordagens metodológicas, características de autoria, publicações e instituições pesquisadoras. Identificou-se, dentre o período proposto, um universo de 187 artigos publicados relacionados a este conteúdo, os quais apresentaram entre os termos mais utilizados, palavras-chave como: Balanço Social, Global Reporting Initiative – GRI e Responsabilidade Social Corporativa/ Empresarial. Os tipos de pesquisa mais usuais tratam-se de estudos de natureza descritiva e exploratória. Com relação a autoria, 59% das pesquisas possuem dois ou três autores, e as universidades que mais se destacam quanto às publicações com este teor consistem na USP e na UFSC. Conclui-se que há regularidade teórica dentre a abordagem da temática dos Relatórios de Sustentabilidade, que em sua maioria relacionam-se aos conteúdos vinculados à evidenciação voluntária, ambiental e socioambiental e os indicadores sociais e ambientais. Considerando o período de análise e o escopo de revistas analisadas, verifica-se que a produção em torno do tema ainda merece maior atenção em âmbito acadêmico, haja vista, a diversidade de assuntos que ainda não foram explorados ou podem ser aprofundados no campo. Algumas sugestões de pesquisas futuras direcionam-se a análises em profundidade sobre o processo de produção destes relatórios, estudos críticos sobre as intenções organizacionais ao divulgar tais informações, assim como novas modalidades de relatórios de sustentabilidade atualmente em vigor.",Sustentabilidade. Relatórios de Sustentabilidade. Balanço Social.,5,Caroline Moya de Moraes,Gabrielli Aparecida Zevericoski,Jaqueline dos Santos Ferrarezi,Karina Rocha Henriques Gehlen,Luciano Gomes dos Reis,,Universidade Estadual de Londrina,Universidade Estadual de Londrina,Universidade Estadual de Londrina,Universidade Estadual de Londrina,Universidade Estadual de Londrina,,https://revistas.uneb.br/index.php/financ/article/view/3143,"Revista de Gestão, Finanças e Contabilidade"
2012-06-12,"SUSTENTABILIDADE AMBIENTAL: UM ESTUDO NA AUTORIDADE PORTUÁRIA DE VALENCIA, ESPANHA.","Mesmo com a grande relevância dos portos para o desenvolvimento econômico e social dos países, há uma questão que merece atenção dos gestores e da sociedade, é o fato que as atividades portuárias causam impactos ambientais, tais como assoreamento em meios aquáticos, alterações na fauna e flora, emissões atmosféricas, geração de resíduos sólidos, entre outros. Neste contexto, a gestão da informação ambiental é importante tanto para os gestores dos portos quanto para a sociedade, pois permite conhecer o nível de impacto gerado e o nível de sustentabilidade ao longo do tempo. Uma das formas de medir a informação é verificar o nível de comprometimento dos gestores com a gestão ambiental. Como conseqüência deste entendimento, a presente pesquisa visa identificar o nível de sustentabilidade ambiental na Autoridade Portuária de Valencia (APV). Como metodologia utilizou-se um questionário aplicado à alta direção da APV e realizou-se análise de conteúdo do Relatório de Sustentabilidade da APV para compreender o nível de sustentabilidade ambiental. Os resultados da aplicação do questionário demonstram um grande comprometimento da APV com aspectos ambientais (Materiais, Energia, Água, Biodiversidade, Emissões, Efluentes líquidos, Resíduos, Sanções administrativas e judiciais, Impactos dos produtos e serviços Impactos dos transportes, Multas, Sanções não-monetárias, Não-conformidades), contudo a análise do Relatório de Sustentabilidade demonstra que nem todos os itens são divulgados (80% divulgados). Verifica-se também que o comprometimento da APV não se limita ao discurso ou política ambiental do porto, mas também nos itens que demonstram e avaliam desempenho dos aspectos ambientais.",Gestão Ambiental. Sustentabilidade. Portos.,5,ARTURO GINER FILLOL,FABRICIA SILVA ROSA,ROGERIO JOAO LUNKES,VICENTE MATEO RIPOLL FELIU,CRISTINA CRESPO SOLER,,Autoridade Portuária de Valéncia – España,UFSC,UFSC,UNIVERSITAT DE VALENCIA,Universitat de Valencia,,https://revistas.uneb.br/index.php/financ/article/view/37,"Revista de Gestão, Finanças e Contabilidade"
2019-12-21,RELAÇÃO ENTRE O GERENCIAMENTO TRIBUTÁRIO E A EVIDENCIAÇÃO DE PASSIVOS CONTINGENTES TRIBUTÁRIOS EM EMPRESAS LISTADAS NO NOVO MERCADO DA [B]3,"Esta pesquisa objetivou avaliar a relação entre o gerenciamento tributário e a evidenciação dos passivos contingentes tributários em empresas listadas no segmento do Novo Mercado da [B]3. O nível de divulgação do passivo contingente tributário por parte das empresas foi encontrado com base em um checklist elaborado de acordo com as exigências do CPC 25. Para medir o gerenciamento tributário, foram utilizadas as variáveis Effective Tax Rates (ETR), Cash Effective Tax Rates (CashETR) e Book-Tax Differences (BTD). Os resultados apontam ainda uma relação significativa e negativa entre o BTD e a evidenciação dos passivos contingentes tributários. Assim, as empresas do Novo Mercado não trabalham para diminuir o lucro tributável frente ao lucro contábil, buscam evidenciar as exigências feitas pelo CPC 25 sobre os passivos contingentes tributários. Conclui-se que o estudo contribui com a literatura relativa ao gerenciamento tributário e ao nível de evidenciação dos passivos contingentes tributários de empresas brasileiras, ao apontar a descrição do gerenciamento tributário e dos passivos contingentes tributários, bem como a relação entre os dois.",Passivo Contingente Tributário. Gerenciamento Tributário. CPC 25.,2,Rúbia Albers Magalhães,Luiz Felipe Ferreira,,,,,Programa de Pós,Universidade Federal de Santa Catarina,,,,,https://revistas.uneb.br/index.php/financ/article/view/5514,"Revista de Gestão, Finanças e Contabilidade"
2013-08-26,CARACTERÍSTICAS DO CONSELHO DE ADMINISTRAÇÃO E DIVULGAÇÃO DE RESPONSABILIDADE SOCIAL CORPORATIVA – ESTUDO DAS EMPRESAS NA BOLSA DE VALORES DE LISBOA,"O conceito de Responsabilidade Social Corporativa (RSC) tem vindo a ser assumido por um número crescente de empresas. Essa tendência tem-se consubstanciado na adoção de medidas tanto internas como junto da comunidade em geral, que visam à assunção por parte das entidades de um papel ativo na esfera econômica, social e ambiental. Este estudo tem como objetivo investigar a relação entre as características do conselho de administração das sociedades e o nível de divulgação de informação acerca da RSC por parte das empresas com valores cotados na Bolsa de Valores de Lisboa. Para a investigação foi utilizada como variável dependente o nível de práticas de divulgação de RSC e como variáveis explicativas as principais características associadas ao governo das sociedades. Os resultados empíricos obtidos mostram que a proporção de conselheiros não executivos que integram o conselho de administração é a característica que mais influencia o nível das práticas de divulgação de RSC. As características relacionadas com a independência dos conselheiros ou a dualidade do poder no Conselho de administração não confirmaram as predições iniciais de influência sobre o nível de divulgação da RSC. Em termos gerais, a evidência empírica encontrada sugere que as características do conselho de administração possuem uma influência relativamente frágil sobre o nível de divulgação de RSC.",Responsabilidade Social Corporativa. Divulgação. Características Conselho de Administração.,2,Maria de Fátima Matos,Cristina Gonçalves Góis,,,,,Mestre em Contabilidade e Fiscalidade Empresarial,ISCAC,,,,,https://revistas.uneb.br/index.php/financ/article/view/255,"Revista de Gestão, Finanças e Contabilidade"
2021-12-29,EDITORIAL,"Prezados(as) leitores(as):
Este segundo volume do ano de 2021 conta com seis artigos que versam sobre finanças, contabilidade e gestão em diferentes contextos e segmentos do mercado. O compromisso da RGFC é contribuir para a difusão do conhecimento científico e reafirmar o papel institucional da Universidade do Estado da Bahia mediante a indissociabilidade dos campos do ensino, pesquisa e extensão.
No primeiro artigo, intitulado Determinantes do Prêmio pelo Direito de Voto no Mercado de Ações Brasileiros, Taynara Cardoso Ribeiro Jesus, Lélis Pedro de Andrade, Washington Santos da Silva, Bruno César de Melo Moreira e Daniel Fonseca Costa analisaram fatores determinantes do prêmio pelo direito de voto no mercado brasileiro. Para isso, recorreram à amostra composta por 253 empresas listadas em Brasil, Bolsa, Balcão (B3), totalizando 2.223 observações para o período de 2000 a 2015, sendo a análise realizada pelo método de dados em painel por efeitos fixos. Dentre os resultados, destacam que o prêmio médio encontrado para o período foi 18,07%, sendo que esse valor ficou próximo a 40% em anos considerados de crise sistêmica, a exemplo de 2008 e 2015.
 
Abordando a temática ambiental no contexto da Contabilidade, as autoras Crisiane Teixeira da Silva, Caroline da Silva, Janine Patrícia Jost e Adriana Kroenke desenvolveram o artigo Avaliação do Ranking de Desempenho Socioambiental e Econômico-Financeiro das Empresas do Setor de Materiais Listadas na B3. O objetivo desse estudo foi avaliar o ranking de desempenho socioambiental e econômico-financeiro de empresas do setor de materiais listadas na B3 mediante indicadores ambientais, sociais e econômico-financeiros disponibilizados pela Thomson Reuters®. A amostra foi composta por doze empresas dos subsetores de papel e celulose, metal e mineração, químico e recipientes e embalagens, analisadas no período de 2013 a 2017. A elaboração do ranking foi realizada por meio da técnica TOPSIS. Os resultados indicaram a Vale S.A. como empresa líder do ranking ambiental e social, sendo que os efeitos divergem em relação ao desempenho econômico-financeiro. Outro resultado foi que as organizações, mesmo com implicações positivas, não evitaram a ocorrência de catástrofes.
 
No artigo Sistema de Informações Gerenciais e Eficiência Organizacional: Estudo de Caso na Controladoria de uma Empresa Multinacional do Setor Automotivo, Alex de Oliveira Serafim, Alessandra Carla Ceolin, Ilka Gislayne de Melo Souza, Lucas Luis de Oliveira Silva e Joaes dos Santos Oliveira Mota apontaram a importância das inovações tecnológicas no contexto das mudanças e adaptações no mundo dos negócios com reflexos em profissões e empresas. O estudo buscou investigar se o uso de Sistemas de Informações Gerenciais (SIG) pela área de controladoria influencia a eficiência organizacional em uma empresa multinacional do setor automotivo. Diante disso, realizaram entrevistas semiestruturadas com os líderes da controladoria da empresa objeto da análise. Os achados indicaram SIG integrado, que contribui com a estratégia e a eficiência organizacional da empresa, também resultando em melhorias em termos de controle patrimonial, de gestão de custos e de elaboração de relatórios gerenciais.
 
Por sua vez, Kélim Bernardes Sprenger, Tatiane Pietrobelli Pereira e Samuel Mariano Sperb, desenvolveram o artigo Fatores Determinantes da Continuidade Operacional em Micro e Pequenas Empresas do Vale do Paranhana no Rio Grande do Sul/RS. O principal objetivo foi identificar os fatores determinantes da continuidade operacional de micro e pequenas empresas localizadas no Vale do Paranhana/RS, por meio de pesquisa de natureza aplicada, com abordagem qualitativa e descritiva. A coleta de dados se deu por entrevistas padronizadas com 90 empreendedores, o que permitiu identificar o panorama da região, as principais dificuldades internas e externas e as perspectivas dos empreendedores. Dentre os resultados, aponta-se a carência dos empreendedores em relação ao preparo e à orientação prévia, estando as principais dificuldades relacionadas à gestão de recursos financeiros, à formação da carteira de clientes, ao atendimento a questões legais, à gestão de pessoas e à obtenção de crédito.
 
No artigo Influência da Remuneração ao Síndico na Composição de Custos da Taxa de Condomínio, Glaucia Gomes de Morais, Thaisa Renata dos Santos e Kléber Domingos de Araújo descreveram a relação entre a remuneração do síndico e a composição de custos da taxa condominial com aporte teórico sobre os determinantes de custos e a Teoria da Agência. Os resultados dessa pesquisa descritiva com modelo de regressão linear múltipla, apontaram que o pagamento do síndico tem alinhamento com os interesses dos condôminos. Assim, constataram relação inversamente proporcional entre a taxa de condomínio e o pagamento do síndico, sendo que quanto maior o valor pago ao síndico, menor o valor da taxa de condomínio. Sendo assim, demonstraram que maior custo no pagamento do síndico pode contribuir para o aumento da eficiência na aplicação dos recursos, recaindo em redução da taxa de condomínio.
Por fim, objetivando analisar a influência dos diferentes tipos de motivação no comprometimento organizacional entre trabalhadores efetivos e temporários de uma indústria multinacional de grande porte, Vinícius Costa da Silva Zonatto, Michele Gonçalves, Alini da Silva e Andressa Michels produziram o artigo intitulado Influência da Motivação no Comprometimento Organizacional de Trabalhadores Efetivos e Temporários. Tratou-se de pesquisa descritiva, por meio de abordagem quantitativa, com levantamento de dados referentes a 96 trabalhadores efetivos e 36 trabalhadores temporários. Os resultados apresentados revelaram o comprometimento afetivo como sendo o único que sofreu redução em decorrência da motivação intrínseca de trabalhadores temporários e da motivação internalizada de trabalhadores efetivos. Portanto, indicando fragilidades nas relações entre organização e profissionais, principalmente quando os trabalhadores geram o sentimento de pertencimento à organização.
Com determinação e empenho, buscamos consolidar a parceria de cooperação interdepartamental para a produção científica nas áreas da Administração e Contabilidade firmada pelos Campis I e VII da UNEB desde 2013, com o propósito de vincular este espaço acadêmico como locus de divulgação destas Ciências Sociais Aplicadas.
Nossos agradecimentos especiais a todos(as) avaliadores(as), ao corpo editorial, aos(às) autores(as) que confiaram em nosso trabalho. A colaboração de cada um foi fundamental para a produção desse volume da RGFC.
Que possamos superar as adversidades com muita fé e esperança, construindo um futuro melhor!
Boa leitura!",,3,Ricardo José Rocha Amorim,Francisco Marton Gleuson Pinheiro,Maria de Fátima Araújo Frazão,,,,Universidade do Estado da Bahia,Universidade do Estado da Bahia,Universidade do Estado da Bahia,,,,https://revistas.uneb.br/index.php/financ/article/view/13401,"Revista de Gestão, Finanças e Contabilidade"
2017-03-14,PRODUÇÃO ACADÊMICA BRASILEIRA NO CONTEXTO DOS RELATÓRIOS DE SUSTENTABILIDADE: UMA ANÁLISE BIBLIOMÉTRICA,"Com o intuito de contribuir para a evolução e incremento de futuras pesquisas científicas, o presente artigo apresenta como questão norteadora: qual o perfil das publicações científicas, que abordaram o tema Relatórios de Sustentabilidade, no período de 2005 a 2014? Apoiado metodologicamente em uma pesquisa bibliométrica de natureza qualitativa e quantitativa, de caráter descritivo, utilizou-se como base para a coleta de dados os periódicos da área de Administração, Ciências Contábeis e Turismo – classificados de acordo com o sistema QUALIS-CAPES em âmbito nacional entre o escopo de revistas A1 a B3. A análise teve como foco o número de artigos publicados sobre a temática dos Relatórios de Sustentabilidade, as abordagens metodológicas, características de autoria, publicações e instituições pesquisadoras. Identificou-se, dentre o período proposto, um universo de 187 artigos publicados relacionados a este conteúdo, os quais apresentaram entre os termos mais utilizados, palavras-chave como: Balanço Social, Global Reporting Initiative – GRI e Responsabilidade Social Corporativa/ Empresarial. Os tipos de pesquisa mais usuais tratam-se de estudos de natureza descritiva e exploratória. Com relação a autoria, 59% das pesquisas possuem dois ou três autores, e as universidades que mais se destacam quanto às publicações com este teor consistem na USP e na UFSC. Conclui-se que há regularidade teórica dentre a abordagem da temática dos Relatórios de Sustentabilidade, que em sua maioria relacionam-se aos conteúdos vinculados à evidenciação voluntária, ambiental e socioambiental e os indicadores sociais e ambientais. Considerando o período de análise e o escopo de revistas analisadas, verifica-se que a produção em torno do tema ainda merece maior atenção em âmbito acadêmico, haja vista, a diversidade de assuntos que ainda não foram explorados ou podem ser aprofundados no campo. Algumas sugestões de pesquisas futuras direcionam-se a análises em profundidade sobre o processo de produção destes relatórios, estudos críticos sobre as intenções organizacionais ao divulgar tais informações, assim como novas modalidades de relatórios de sustentabilidade atualmente em vigor.",Sustentabilidade. Relatórios de Sustentabilidade. Balanço Social.,5,Caroline Moya de Moraes,Gabrielli Aparecida Zevericoski,Jaqueline dos Santos Ferrarezi,Karina Rocha Henriques Gehlen,Luciano Gomes dos Reis,,Universidade Estadual de Londrina,Universidade Estadual de Londrina,Universidade Estadual de Londrina,Universidade Estadual de Londrina,Universidade Estadual de Londrina,,https://revistas.uneb.br/index.php/financ/article/view/3143,"Revista de Gestão, Finanças e Contabilidade"
2016-05-17,GOVERNANÇA CORPORATIVA NA ESTRUTURA CONCEITUAL DO RELATO INTEGRADO: DIVULGAÇÕES DAS EMPRESAS BRASILEIRAS PARTICIPANTES DO PROJETO PILOTO,"O presente artigo verificou como as empresas brasileiras participantes do projeto piloto para relato integrado aderiram ao modelo de estrutura conceitual proposta pelo IIRC no que diz respeito à governança corporativa como elemento de conteúdo. Foram analisados os relatos das empresas participantes do projeto referentes ao exercício de 2013, consoantes à estrutura conceitual do IIRC, numa abordagem qualitativa. Para tanto, foram criadas categorias de análise quanto à aderência das informações disponibilizadas pelas empresas, sendo utilizada para este fim elementos da técnica de análise de conteúdo. Os resultados sugerem que a estrutura conceitual, embora não tenha sido adotada de forma integral pelas empresas, foi utilizada como guia para a maneira como as informações são disponibilizadas. Entre outros resultados observados para cada um dos tópicos da estrutura, destacam-se as práticas de divulgação realizadas pelas empresas BRF S.A., CPFL Energia e Itaú Unibanco como exemplo de aderência aos itens propostos pelo modelo do IIRC e aos princípios inerentes ao relato integrado.",Governança Corporativa. Relato integrado. Estrutura Conceitual. IIRC,5,Ana Cristina Silva Abreu,Elise Soerger Zaro,Guilherme Luiz,Ernesto Fernando Rodrigues Vicente,Hans Michael van Bellen,,Universidade Federal de Santa Catarina,Universidade de São Paulo – USP,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina,,https://revistas.uneb.br/index.php/financ/article/view/1410,"Revista de Gestão, Finanças e Contabilidade"
2017-03-14,PRODUÇÃO ACADÊMICA BRASILEIRA NO CONTEXTO DOS RELATÓRIOS DE SUSTENTABILIDADE: UMA ANÁLISE BIBLIOMÉTRICA,"Com o intuito de contribuir para a evolução e incremento de futuras pesquisas científicas, o presente artigo apresenta como questão norteadora: qual o perfil das publicações científicas, que abordaram o tema Relatórios de Sustentabilidade, no período de 2005 a 2014? Apoiado metodologicamente em uma pesquisa bibliométrica de natureza qualitativa e quantitativa, de caráter descritivo, utilizou-se como base para a coleta de dados os periódicos da área de Administração, Ciências Contábeis e Turismo – classificados de acordo com o sistema QUALIS-CAPES em âmbito nacional entre o escopo de revistas A1 a B3. A análise teve como foco o número de artigos publicados sobre a temática dos Relatórios de Sustentabilidade, as abordagens metodológicas, características de autoria, publicações e instituições pesquisadoras. Identificou-se, dentre o período proposto, um universo de 187 artigos publicados relacionados a este conteúdo, os quais apresentaram entre os termos mais utilizados, palavras-chave como: Balanço Social, Global Reporting Initiative – GRI e Responsabilidade Social Corporativa/ Empresarial. Os tipos de pesquisa mais usuais tratam-se de estudos de natureza descritiva e exploratória. Com relação a autoria, 59% das pesquisas possuem dois ou três autores, e as universidades que mais se destacam quanto às publicações com este teor consistem na USP e na UFSC. Conclui-se que há regularidade teórica dentre a abordagem da temática dos Relatórios de Sustentabilidade, que em sua maioria relacionam-se aos conteúdos vinculados à evidenciação voluntária, ambiental e socioambiental e os indicadores sociais e ambientais. Considerando o período de análise e o escopo de revistas analisadas, verifica-se que a produção em torno do tema ainda merece maior atenção em âmbito acadêmico, haja vista, a diversidade de assuntos que ainda não foram explorados ou podem ser aprofundados no campo. Algumas sugestões de pesquisas futuras direcionam-se a análises em profundidade sobre o processo de produção destes relatórios, estudos críticos sobre as intenções organizacionais ao divulgar tais informações, assim como novas modalidades de relatórios de sustentabilidade atualmente em vigor.",Sustentabilidade. Relatórios de Sustentabilidade. Balanço Social.,5,Caroline Moya de Moraes,Gabrielli Aparecida Zevericoski,Jaqueline dos Santos Ferrarezi,Karina Rocha Henriques Gehlen,Luciano Gomes dos Reis,,Universidade Estadual de Londrina,Universidade Estadual de Londrina,Universidade Estadual de Londrina,Universidade Estadual de Londrina,Universidade Estadual de Londrina,,https://revistas.uneb.br/index.php/financ/article/view/3143,"Revista de Gestão, Finanças e Contabilidade"
