Data de Publicação,Título,Resumo,Palavras-chave,Qtd. de Autores,Autor 1,Autor 2,Autor 3,Autor 4,Autor 5,Autor 6,Afilição 1,Afilição 2,Afilição 3,Afilição 4,Afilição 5,Afilição 6,Url Artigo,Revista
2018-01-01,UMA ANÁLISE ACERCA DAS MUDANÇAS NA CONTABILIZAÇÃO DE ATIVOS BIOLÓGICOS PORTADORES: UM ESTUDO NAS EMPRESAS LISTADAS NA B3,"Levando em consideração as alterações do método de avaliação e evidenciação de ativos biológicos portadores (ABP) ocorrido em novembro de 2015, o objetivo desse estudo é analisar os efeitos na sua contabilização nas empresas listadas na Bolsa, Brasil, Balcão (B3). A amostra resultante foi de 21 companhias, tratando-se uma pesquisa com abordagem predominantemente quantitativa, descritiva e documental, baseada na análise de notas explicativas (NEs) por meio do roteiro elaborado pelos autores. Os principais resultados forneceram evidências de que Biosev, Brasilagro e São Martinho tiveram as maiores variações positivas de 2015 para 2016 nos saldos de imobilizado, corroborando com fato de possuirem as maiores representatividades do ABP no imobilizado. Assim, é possível afirmar que as mudanças à respeito dos ABP geraram alterações na composição do ativo das companhias, parte dos ativos biológicos passou a ser registrado no imobilizado. O disclosure voluntário ainda precisa ser melhorado, já que a Marfrig não mencionou as mudanças ocorridas nas políticas contábeis e a Karsten não mencionou a natureza de seus ativos biológicos.",Ativos Biológicos. Ativos Biológicos Portadores. Plantas Portadoras. CPC 29.,3,Arthur Frederico Lerner,Vanessa Noguez Machado,Romina Batista de Lucena de Souza,,,,Universidade Federal do Rio Grande do Sul (UFRGS),Universidade Federal do Rio Grande do Sul (UFRGS),Universidade Federal do Rio Grande do Sul (UFRGS),,,,https://periodicos.ufpe.br/revistas/ricontabeis/article/view/239961,Revista de Informação Contábil – RIC
2018-01-01,NÍVEL DE EVIDENCIAÇÃO AMBIENTAL DAS COMPANHIAS SIDERÚRGICAS LISTADAS NA B3,"O presente estudo tem como objetivo verificar o nível de divulgação de informações ambientais das companhias siderúrgicas listadas na B3 S.A., entre os anos de 2004 e 2014, como também, se as referidas informações estão em conformidade com a NBC T-15. Para alcançar o objetivo proposto, foram analisados os demonstrativos contábeis de cinco empresas do setor siderúrgico e, por meio da análise de conteúdo, verificou-se a quantidade de informações ambientais contidas nos documentos. Os resultados obtidos pela pesquisa mostram que o nível de evidenciação ambiental das empresas siderúrgicas alcançou, de maneira geral, o nível regular. Constatou-se, também, que as empresas estão pré-dispostas a divulgar informações que favoreçam a sua imagem perante os stakeholders, e que as informações de aspecto mais negativo são pouco evidenciadas pelas empresas. Esta pesquisa contribui com a ampliação da literatura existente e com as discussões sobre a compreensão do nível de evidenciação socioambiental.",NBC T-15. Setor siderúrgico. Evidenciação Ambiental,3,Marcos Antônio Ferreira do Patrocínio,Alex Martins Moura,Adriana Rodrigues Silva,,,,,,Universidade Federal do Pará,,,,https://periodicos.ufpe.br/revistas/ricontabeis/article/view/234958,Revista de Informação Contábil – RIC
2018-01-01,RECONHECIMENTO E EVIDENCIAÇÃO DE RECEITAS:  O CONTEXTO OPERACIONAL DE ORGANIZAÇÕES SOCIAIS VINCULADAS AO GOVERNO FEDERAL,"Esse estudo teve como objetivo buscar o entendimento sobre as receitas auferidas pelas Organizações Sociais vinculadas à União e avaliar como estão sendo reconhecidas e evidenciadas em seus demonstrativos contábeis. O procedimento técnico desenvolvido foi a análise de conteúdo para a construção de banco de dados não estruturado, classificando-se em uma pesquisa documental. Quanto aos objetivos, a pesquisa se enquadra como quali-quanti e descritiva. Foram analisados os relatórios de gestão com os demonstrativos contábeis e suas notas explicativas dos últimos 5 (cinco) anos dessas entidades. Os resultados obtidos com a análise foram que apenas 3 (três) das 8 (oito) Organizações Sociais analisadas estão reconhecendo e evidenciando em seus demonstrativos as receitas operacionais em conformidade com as normas e princípios contábeis. Recomenda-se com o estudo a revisão dos critérios para elaboração de seus demonstrativos contábeis, assim como a atualização dos profissionais que atuam nessas entidades. O estudo se baseia em um campo pouco explorado sobre Entidades do Terceiro Setor, o que torna a pesquisa de suma relevância no meio acadêmico.  ",Organizações Sociais. Receitas Operacionais. Reconhecimento Contábil. Evidenciação Contábil.,3,Ana Beatriz Gonçalves de Carvalho,Abimael de Jesus Barros Costa,Bruno Vinícius Ramos Fernandes,,,,,Universidade de Brasília,UnB,,,,https://periodicos.ufpe.br/revistas/ricontabeis/article/view/240668,Revista de Informação Contábil – RIC
2012-01-01,ANÁLISE DE SUSTENTABILIDADE AMBIENTAL: ESTUDO DE CASO EM UMA FÁBRICA DE ESTOFADOS,"Considerando a importância da sustentabilidade ambiental, um estudo de caso foi conduzido numa fábrica de estofados, localizada no oeste do estado de Santa Catarina. O estudo avaliou o SIGOGEA- Geração 2 (Sistema Contábil Gerencial Ambiental), constituindo o objetivo deste trabalho. O estudo foi dividido em três fases, sendo a primeira a Fundamentação teórica; a segunda fase, aplicação do método SICOGEA e a terceira e ultima fase a apuração dos resultados. Os resultados obtidos apontam que a empresa preocupa-se com as questões sócio-ambientais, onde obteve um nível ‚bom‛ em seu índice geral de sustentabilidade, apesar de existir a necessidade de melhoria no critério do processo produtivo.",Responsabilidade Social. Sustentabilidade e Estratégia Empresarial.,3,Eduardo Coelho,Daniela Di Domênico,Elisete Dahmer Pfitscher,,,,UFSC,FURB,UFSC,,,,https://periodicos.ufpe.br/revistas/ricontabeis/article/view/7948,Revista de Informação Contábil – RIC
2016-01-01,INDICADORES DE DESEMPENHO AMBIENTAL: UM ESTUDO BIBLIOMÉTRICO DAS PESQUISAS CIENTIFICAS DA ÁREA DE CIÊNCIAS CONTÁBEIS NO PERÍODO DE 2010 A 2016,"O objetivo do estudo foi analisar a produção de pesquisas em anais de congressos e periódicos brasileiros na área de Contabilidade sobre indicadores de desempenho ambiental. O referencial teórico conceitua indicadores de desempenho, evidenciando a importância e uso destes para a tomada de decisão, e fechando com o tema deste trabalho os indicadores de desempenho ambientais, no qual cresceu o interesse nos últimos anos. A metodologia apresenta um estudo bibliométrico, sendo utilizada a pesquisa descritiva, onde na amostra são considerados os periódicos classificados em A1 a B2 e os principais congressos científicos brasileiros na área de Contabilidade. Os principais resultados evidenciaram a predominância de autores do sexo masculino tratando sobre índices de desempenho ambiental na área de ciências contábeis, e verificaram-se oscilações das publicações nos períodos englobados na pesquisa, sendo apurados trabalhos com maior frequência no ano de 2010, na área de ciências contábeis evidenciando índices de desempenho ambientais.",Indicadores de desempenho. Indicadores ambientais. Contabilidade.,3,DANIELA FAGUNDES CARNELÓS NUNES,EMANUELLI MARIANA MAINGUÉ,EDWIN VLADIMIR CARDOZA GALDAMEZ,,,,Universidade Estadual de Maringá,,,,,,https://periodicos.ufpe.br/revistas/ricontabeis/article/view/22602,Revista de Informação Contábil – RIC
2012-01-01,PLANEJAMENTO E CONTROLE DE CUSTOS AMBIENTAIS: UM ESTUDO MULTICASO EM INDÚSTRIAS DO RIO GRANDE DO SUL,"O objetivo do artigo é a investigação da prática empresarial quanto ao planejamento e controle dos custos ambientais. A eficácia da gestão ambiental e, por via de consequência, os custos ambientais, há algumas décadas passaram a integrar os requisitos de uma empresa que planeja assegurar sua continuidade sustentável. A pesquisa, de caráter exploratório, descritivo e qualitativa, foi desenvolvida no formato de estudo de casos múltiplos. O estudo tem a participação de cinco indústrias do Rio Grande do Sul, de segmentos diferentes, cuja coleta de dados foi processada mediante a realização de entrevistas semiestruturadas realizadas com os responsáveis pela área de gestão ambiental das empresas. Os principais achados da pesquisa indicam a acentuada preocupação e adoção de procedimentos relacionados à gestão ambiental, o mesmo não ocorrendo com os procedimentos de planejamento e controle dos custos daí decorrentes. Essa ausência de procedimentos caracteriza um forte distanciamento daquilo que preceitua a literatura que trata do tema custos ambientais.",Gestão Ambiental. Custos Ambientais. Planejamento e Controle.,3,Marcos Antonio Souza,Ana Cristine Heinen,Franciele Mezzomo,,,,UNISINOS,Unisinos,Unisinos,,,,https://periodicos.ufpe.br/revistas/ricontabeis/article/view/7967,Revista de Informação Contábil – RIC
2015-01-01,SUSTENTABILIDADE AMBIENTAL: UMA ANÁLISE COMPARATIVA DO MÉTODO SICOGEA – GERAÇÃO 1 E 3 APLICADO A UMA CLÍNICA ODONTOLÓGICA,"O objetivo deste estudo é analisar a sustentabilidade ambiental de uma clínica odontológica municipal, com base no método SICOGEA (Sistema Contábil Gerencial Ambiental) - Geração 1 e 3 e propor um modo de minimizar os detrimentos acarretados pelos resíduos da clínica ao meio ambiente e à população. Essa pesquisa é de caráter exploratório, considerada indutiva, sua abordagem é quantitativa e qualitativa e é um estudo de caso. A clínica apresentou uma sustentabilidade global de 63,89% no SICOGEA e 47,31% no SICOGEA - 3, considerada regular por ambos os métodos adotados. Sobre a identificação dos elementos com menores resultados de sustentabilidade por meio do SICOGEA - Geração 3, verificou-se os subgrupos Fornecedores, com 36,67%, e Tratamento de Resíduos – Autoclavagem, com 38,10%, ambos classificados como fracos. Quanto ao cotejamento dos resultados encontrados no SICOGEA - Geração 1 e 3, em geral, os dois sistemas apresentaram resultados diferentes, o que confirma a especificidade do novo método, que se mostra aperfeiçoado e potencializa os resultados.",,3,Samanta Martins Saldano,Vivian Osmari Uhlmann,Elisete Dahmer Pfitscher,,,,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina,,,,https://periodicos.ufpe.br/revistas/ricontabeis/article/view/13371,Revista de Informação Contábil – RIC
2014-01-01,GESTÃO ESTRATÉGICA BASEADA NOS CUSTOS DA QUALIDADE: UM ESTUDO NO SETOR DE CONSTRUÇÃO CIVIL DA CIDADE DE CAMPINA GRANDE – PB,"O objetivo deste estudo consiste em identificar as estratégias relacionadas com os custos da qualidade que têm resultado das decisões dos gestores das empresas do setor de construção civil da cidade de Campina Grande – PB. A pesquisa caracteriza-se como exploratória e descritiva. O setor da construção civil em Campina Grande é formado por 95 empresas, no entanto, 28 encontram-se inativas, o que resultou em uma população, para esta pesquisa, de 67 empresas. A coleta de dados realizou-se com aplicação de questionários respondidos por 41 empresas, que representam 61,19% do universo. Os resultados demonstraram que a maioria dos gestores adota as estratégias de custos da qualidade de prevenção e avaliação em detrimento dos custos de falhas internas e externas. Não obstante, quanto à mensuração dos custos da qualidade a maioria dos respondentes adota conceitualmente, mas não mensuram esses custos.",Estratégia. Custos da qualidade. Construção civil.,3,Janayna Rodrigues de Morais Luz,Paulo Roberto da Nóbrega Cavalcante,José Ribamar Marques Carvalho,,,,Unesc Faculdades e Favip,Universidade Federal da Paraíba,Universidade Federal de Campina Grande,,,,https://periodicos.ufpe.br/revistas/ricontabeis/article/view/13337,Revista de Informação Contábil – RIC
2015-01-01,UMA ANÁLISE DOS PROGRAMAS DE INCENTIVO A CIDADANIA FISCAL EM ESTADOS BRASILEIROS E DISTRITO FEDERAL NO PERÍODO DE 2004 A 2012,"O objetivo do estudo é analisar os Programas de Estímulo a Cidadania Fiscal em Estados Brasileiros (PECFB) e Distrito Federal (DF) no período de 2004 a 2012. Trata-se de um estudo descritivo, com abordagem qualitativa, com procedimento técnico a pesquisa bibliográfica para a coleta dos dados. Observou-se dentre as 27 unidades federativas brasileiras, 12 implantaram PECFB. São oito programas que visam estimular a emissão do documento fiscal por parte do consumidor, três programas com foco no estímulo à cidadania fiscal e um único que objetiva incrementar a arrecadação tributária. Os estímulos ao consumidor são delimitados por cada programa e podem ocorrer na forma de aquisição de crédito ou na participação em sorteio de prêmios, troca de cupons fiscais por vales e ingressos para eventos esportivos e culturais. Em relação aos participantes cadastrados, os contribuintes participantes restringem-se ao Estado de origem do programa, e os consumidores participantes, não há exceção, desde que adquiram mercadorias e/ou serviços de transporte interestadual ou municipal do contribuinte do Estado detentor do programa.
Palavras-chave: Programas de Estímulos. Cidadania Fiscal. Incentivo.",Programas de Estímulos. Cidadania Fiscal. Incentivo.,4,Nicole Stefani Campos Ramos,Luiz Felipe Ferreira,Sérgio Murilo Petri,Priscila Alano da Rosa,,,Universidade Federal de Santa Catarina,,,,,,https://periodicos.ufpe.br/revistas/ricontabeis/article/view/13356,Revista de Informação Contábil – RIC
2020-01-01,Ações de Práticas Ambientais no Planejamento das Auditorias Internas das Instituições Federais de Ensino da Região Centro Oeste brasileira: uma análise do Período de 2014 a 2018,"A pesquisa teve por objetivo investigar a realização de auditorias voltadas às ações de práticas ambientais nas instituições federais de ensino da região centro oeste no período de 2014 a 2018. Quanto à metodologia, a pesquisa caracteriza-se como qualitativa, operacionalizada por meio da técnica análise de conteúdo. Foram selecionadas Instituições Federais de Ensino da região do Centro Oeste que divulgaram seus PAINT (Plano Anual de Auditoria Interna) e RAINT (Relatório Anual de Atividades de Auditoria Interna) durante o período de 2014 a 2018. A partir das análises foi possível observar que em alguns períodos as instituições planejaram ações de práticas ambientais e que conseguiram executá-las, conforme constatado no cruzamento dos PAINTs e RAINTS das mesmas, no entanto observou-se em certos períodos que as ações planejadas por vezes não foram executadas. Por meio de análises adicionais, com informações obtidas nos sites das instituições pesquisadas, foi possível verificar que embora não identificadas ações de práticas ambientais nos PAINTs ou RAINTs, em certos casos, as instituições, por meio de parcerias com observatórios sociais e outros projetos, buscaram contribuir, para maior conscientização da população, sobre a importância da preservação ambiental.",Auditoria Interna. Ações de Práticas Ambientais. Instituições Federais de Ensino.ALIN. I. I. DANIEL. C. V.. OCTAVIAN. M. V. Instruments that are needed to ensure the credibility of environmental disclosure. Annals of the University of Oradea. Economic Sci,5,Cristiane Alves da Silva Moura,Edicreia Andrade dos Santos,Pedro Henrique Da Silva Melo Pereira,Aline Silva Morais Correia,Januário José Monteiro,,Universidade Federal de Mato Grosso do Sul,Universidade Federal do Paraná,"Universidade Federal de Mato Grosso do Sul, UFMS.","Universidade Federal de Mato Grosso do Sul, UFMS.",Doutorando em Ciências Contábeis pela Universidade Federal de Santa Catarina,,https://periodicos.ufpe.br/revistas/ricontabeis/article/view/248711,Revista de Informação Contábil – RIC
