,Data de Publicação,Título,Resumo,Palavras-chave,Qtd. de Autores,Autor 1,Autor 2,Autor 3,Autor 4,Autor 5,Autor 6,Afiliação 1,Afiliação 2,Afiliação 3,Afiliação 4,Afiliação 5,Afiliação 6,Url Artigo,Revista,Afilição 1,Afilição 2,Afilição 3,Afilição 4,Afilição 5,Afilição 6,url
0,2019-06-24,FATORES CONTINGENCIAIS EXTERNOS E A MENSURAÇÃO DE DESEMPENHO: UM ESTUDO EM ONGS BRASILEIRAS,"Objetivo: Analisar as relações entre os fatores contingenciais externos e as práticas gerenciais associadas à mensuração de desempenho no âmbito de Organizações Não Governamentais brasileiras.
Método: Foi utilizado uma survey por correspondência com 43 organizações listadas na Associação Brasileira de Organizações Não Governamentais. As variáveis utilizadas para operacionalizar o estudo, foram subdividas em dois blocos. O primeiro bloco, foi destinado ao fator contingencial Ambiente externo, por meio das variáveis intensidade da concorrência, dinamismo ambiental e incerteza ambiental. O segundo bloco, foi destinando as práticas gerenciais de mensuração de desempenho, por meio das variáveis planejamento de desempenho; indicadores de desempenho; objetivos de desempenho; instrumentos de coleta de dados e recompensas e sanções. Como técnica estatística para análise de resultados, foi utilizado o coeficiente de correlação de Spearman, considerando significantes os testes com níveis de 99% (p= 0,01).
Resultados: Os resultados indicaram que os fatores contingenciais externos não influenciaram a maioria das práticas gerenciais de mensuração de desempenho, revelando indícios da ausência de influência nas ações dos gestores e na configuração organizacional das organizações não governamentais brasileiras. 
Contribuições: Investigação empírica do ambiente externo das organizações não governamentais e sua relação com as práticas de mensuração de desempenho utilizadas por gestores, não se baseando apenas em aspectos ideológicos. Dessa forma, o artigo contribuiu para literatura e prática profissional, com a compreensão das possíveis adaptações gerenciais às circunstâncias contingenciais de organizações do Terceiro Setor.",Fatores contingenciais externos. Mensuração de desempenho. Organizações Não Governamentais,2,Alan Santos de Oliveira,Antônio André Cunha Callado,,,,,Universidade Federal do Ceará,Universidade Federal Rural de Pernambuco,,,,,https://www.repec.org.br/repec/article/view/1928,Revista de Educação e Pesquisa em Contabilidade – REPEC,,,,,,,
1,2019-12-20,INFLUÊNCIA DO DESEMPENHO ACADÊMICO NA PERCEPÇÃO DE JUSTIÇA NO AMBIENTE DE APRENDIZAGEM,"Objetivo: Buscar evidências que permitam identificar a relação existente entre o desempenho acadêmico de alunos de graduação em ciências contábeis e sua percepção de justiça acadêmica, segregadas nas dimensões distributiva, procedimental e interacional.
Método: Consiste em uma abordagem qualitativa e quantitativa, que teve como amostra 534 alunos de graduação de Ciências Contábeis de nove universidades federais mineiras. Para abordagem quantitativa foram aplicados questionários que buscaram captar a percepção de justiça em suas três dimensões (variáveis dependentes), o desempenho acadêmico (variável explicativa) e oito variáveis de controle. Para abordagem qualitativa foram realizadas entrevistas.
Resultados: As análises quantitativas indicam que das nove variáveis testadas, apenas três variáveis se mostraram estatisticamente significativa: a variável gênero para a justiça procedimental, a variável turno para justiças procedimental e interacional e a variável reprovação para todas as três dimensões de justiça. Em termos qualitativos, os achados mostram que os alunos associam a justiça no ambiente de aprendizagem, de maneira geral, principalmente à figura do professor.
Contribuições: O estudo contribui para a literatura no sentido de identificar como se dá o ambiente acadêmico pela ótica dos alunos, no que tange sua percepção de justiça, concluindo, que o relacionamento com o professor, influencia na sua percepção de justiça.",Justiça no Ambiente de Aprendizagem.. Ciências Contábeis.. Universidades Federais.,4,Karla Luisa Costa Sabino,Jacqueline Veneroso Alves da Cunha,Romualdo Douglas Colauto,José Roberto de Souza Francisco,,,Universidade Federal de Alfenas,Universidade Federal de Minas Gerais,Universidade Federal do Paraná,Universidade Federal de Minas Gerais,,,https://www.repec.org.br/repec/article/view/2382,Revista de Educação e Pesquisa em Contabilidade – REPEC,,,,,,,
2,2021-07-01,INSERÇÃO DO TEMA SUSTENTABILIDADE NO CURSO DE CIÊNCIAS CONTÁBEIS À LUZ DA TEORIA INSTITUCIONAL,"Objetivo: compreender o processo de institucionalização do tema sustentabilidade no curso de Ciências Contábeis da Faculdade de Economia, Administração e Ciências Contábeis da Universidade de São Paulo (FEA/USP).
Método: Estudo de caso exploratório com entrevistas semiestruturadas com 8 docentes que estão envolvidos com o tema e/ou presenciaram a sua inserção no curso. Empregou-se a análise de conteúdo, onde foram estabelecidas 6 categorias. A triangulação dos dados foi estabelecida utilizando o referencial teórico, as respostas dos entrevistados e os Projetos Políticos Pedagógicos (PPP) referentes aos anos 2000, 2006, 2009, 2013 e 2016.
Resultados: demonstram que o tema sustentabilidade está semi-institucionalizado em transição para o institucionalizado. A natureza do conceito de sustentabilidade adotado pelo curso possuí características de manutenção do status quo e reformista. Concluiu-se que a disciplina que aborda sustentabilidade tem atributos mais holísticos e interdisciplinares do que o curso de contabilidade como um todo.
Contribuições: a contribuição prática deste estudo é servir de base para que outras instituições possam inserir o tema sustentabilidade em seus projetos pedagógicos. Quanto a contribuição teórica o estudo mostra a aplicabilidade da Teoria Institucional de modo empírico, além do nível organizacional empresarial, adentrando no ambiente educacional.",Teoria Institucional. Sustentabilidade. Ensino Superior em Ciências Contábeis. Educação Ambiental. Ensino de Sustentabilidade,3,Karina Rocha Henriques Gehlen,Luciano Gomes dos Reis,Kelli Juliane Favato,,,,Faculdade Positivo,Universidade Estadual de Londrina,Universidade Federal do Paraná,,,,https://www.repec.org.br/repec/article/view/2666,Revista de Educação e Pesquisa em Contabilidade – REPEC,,,,,,,
0,2013-10-14,PERFIL DOS ARTIGOS QUE UTILIZARAM A ESTRATÉGIA DO ESTUDO DE CASO EM PESQUISAS SOBRE A PRÁTICA DA CONTABILIDADE GERENCIAL,"Este estudo objetiva identificar o perfil dos artigos que utilizaram ou se referiram à estratégia do estudo de caso em pesquisas sobre a prática da Contabilidade Gerencial publicados em periódicos internacionais em Língua Inglesa. Nas bases de dados ProQuest e Science Direct realizaram-se buscas com as palavras “management accounting” e “case study”, no abstract, titles and/or keywords. Encontraram-se 89 artigos em 32 periódicos internacionais, que cumpriam o requisito da seleção, publicados no período de 1986 a 2012. Os resultados da pesquisa mostram que as publicações de artigos desenvolvidos por meio de estudo de caso em Contabilidade Gerencial tiveram um crescimento no decorrer dos anos analisados, mas com alta concentração em poucos periódicos. A maioria destes artigos relata estudos empíricos, seguindo-se os estudos teóricos e os bibliométricos. O Continente Europeu publicou o maior número de artigos com estudos de caso realizados em organizações daquele Continente, destacando-se o país do Reino Unido. Entre os principais temas pesquisados sobre a prática da Contabilidade Gerencial com inferência em estudos de caso estão Management Accounting Change (MAC) e Environmental Management Accounting (EMA). Conclui-se que a aplicação da estratégia do estudo de caso em pesquisas sobre a prática da Contabilidade Gerencial ainda apresenta lacunas na literatura.",,2,Ilse Maria Beuren,Rosemar José Hall,,,,,Universidade Federal do Paraná,Universidade Regional de Blumenau,,,,,https://portalperiodicos.unoesc.edu.br/race/article/view/2721,"Revista de Administração, Contabilidade e Economia – RACE",,,,,,,
1,2014-01-29,EVIDENCIAÇÃO AMBIENTAL VOLUNTÁRIA DE COMPANHIAS LISTADAS NO ÍNDICE CARBONO EFICIENTE DA BM&FBOVESPA,"O estudo objetivou analisar quais informações ambientais voluntárias são mais evidenciadas pelas companhias abertas listadas no Índice Carbono Eficiente (ICO2) da BM&FBovespa. Para tal, realizou-se uma pesquisa descritiva, conduzida por meio de análise documental e abordagem quantitativa dos dados, em uma amostra que compreendeu 34 companhias. A identificação das práticas de evidenciação ambiental voluntária ocorreu de acordo com o estudo de Murcia et al. (2008), que elaborou um índice composto por oito dimensões  objetivando avaliar as práticas ambientais, entre elas: políticas ambientais; sistemas de gerenciamento ambiental; impactos dos produtos e processos no meio ambiente; energia; informações financeiras ambientais; educação, treinamento e pesquisa; mercado de créditos de carbono e outras informações ambientais. O pressuposto deste estudo é que uma maior evidenciação ambiental voluntária contribui para que as companhias sejam vistas como organizações mais transparentes e úteis perante a sociedade. Os resultados evidenciaram que entre as oito dimensões, as informações sobre créditos de carbono se destacaram com maior nível de evidenciação. Por outro lado, constatou-se que as informações sobre impactos dos produtos e processos no meio ambiente foram as menos evidenciadas.",,4,Francisca Francivânia Rodrigues Ribeiro Macêdo,Geovanne Dias de Moura,Vanderlei Gollo,Roberto Carlos Klann,,,Universidade Regional de Blumenau,Universidade Regional de Blumenau,Universidade Regional de Blumenau,Universidade Regional de Blumenau,,,https://portalperiodicos.unoesc.edu.br/race/article/view/3757,"Revista de Administração, Contabilidade e Economia – RACE",,,,,,,
2,2021-08-31,Relação entre desempenho sustentável e desempenho de mercado,"A sociedade têm demonstrado relevante atenção e crescente conscientização no que se refere à sustentabilidade, porém os estudos sobre o tema apresentam evidências controversas. Assim, o presente estudo teve como objetivo avaliar a relação causa-efeito entre o desempenho sustentável e o desempenho de mercado das empresas listadas na bolsa de valores dos vinte países mais sustentáveis do mundo de acordo com o Environmental Performance Index, originando uma amostra de 1.027 empresas. Em relação à metodologia, os dados foram coletados na base de dados Thomson Reuters® e dizem respeito ao período de 2008 a 2017. A sustentabilidade foi mensurada a partir da sintetização de indicadores ambientais (uso de recursos, emissões, inovação ambiental), sociais (força de trabalho, direitos humanos, comunidade e responsabilidade pelo produto) e econômicos-financeiros (retorno sobre os ativos, retorno sobre o patrimônio líquido e retorno sobre vendas), sendo que foi utilizado o método multicritério Evaluation Based on Distance from Average Solution para esta sintetização. O desempenho de mercado também foi mensurado a partir da sintetização dos indicadores (Q de Tobin, Market-to-book, preço das ações, lucro por ação e índice Preço/Lucro). A partir da sintetização destes indicadores foi possível aplicar a regressão linear. Os resultados indicam a existência de bidirecionalidade entre o desempenho sustentável e o desempenho de mercado, porém evidencia-se que o maior poder explicativo verificado é no sentido de que a partir do bom desempenho de mercado é que as organizações têm condições de melhorar o seu desempenho sustentável. Chama atenção nos resultados que ao longo dos anos houve aumento significativo da influência do desempenho sustentável em relação ao desempenho de mercado, evidenciando a crescente preocupação dos investidores em relação ao desenvolvimento sustentável.",Desempenho sustentável. Desempenho de mercado. Sustentabilidade,3,Janine Patrícia Jost,Adriana Kroenke,Nelson Hein,,,,FURB,FURB,FURB,,,,https://portalperiodicos.unoesc.edu.br/race/article/view/27352,"Revista de Administração, Contabilidade e Economia – RACE",,,,,,,
3,2014-08-25,DEZOITO ANOS DE PRODUÇÃO ACADÊMICA DO CAMPO DO CONHECIMENTO CONTABILIDADE SOB A ÓTICA DOS PERIÓDICOS INTERNACIONAIS THE INTERNATIONAL JOURNAL OF ACCOUNTING E THE BRITISH ACCOUNTING REVIEW / Eighteen year academic production field of knowledge accounting,"O objetivo deste estudo foi analisar o perfil e a evolução do campo de conhecimento Contabilidade sob a ótica dos periódicos internacionais The International Journal of Accounting e The British Accounting Review. Metodologicamente, utilizaram-se as técnicas de análise bibliométrica e de rede social no total de 695 artigos identificados nas duas revistas. Observou-se uma predominância de publicações em parceria; Vivien Beattie foi a autora mais profícua e também a mais central deste estudo; a University of Manchester destacou-se na produção de artigos e como a instituição acadêmica mais central desta pesquisa. Os países do Reino Unido e os EUA foram os mais produtivos no que se refere à publicação de artigos e os que obtiveram maior centralidade de grau. Houve baixa densidade de grau em todas as redes sociais deste estudo. E os temas mais publicados foram: auditoria, governança corporativa, normas internacionais de contabilidade, disclosure, relatórios financeiros e mercado de capitais. Conclui-se, de maneira geral, um perfil e a evolução da área de conhecimento Contabilidade sob a ótica dos periódicos investigados, contribuindo para o aperfeiçoamento desse campo do conhecimento, no sentido de permitir futuras interações entre pesquisadores nacionais e internacionais (das revistas investigadas, inclusive) e entre as suas respectivas instituições acadêmicas e de aceitar a realização dessas futuras associações de modo a difundir a troca de informações e a construção, a socialização e a evidenciação da estrutura intelectual contábil no Brasil.Palavras-chave: Contabilidade. Produção acadêmica. Periódicos internacionais.",Contabilidade. Produção acadêmica. Periódicos internacionais.,1,Henrique César Melo Ribeiro,,,,,,Prof. do Mestrado Profissional em Administração / Gestão do Esporte,,,,,,https://portalperiodicos.unoesc.edu.br/race/article/view/5300,"Revista de Administração, Contabilidade e Economia – RACE",,,,,,,
4,2014-01-29,REDES DE LOGÍSTICA REVERSA: UM ESTUDO DO CANAL REVERSO DE RECICLAGEM NA INDÚSTRIA DO PLÁSTICO,"Na indústria do plástico a logística reversa ocorre por meio do canal reverso de reciclagem, composto pelas etapas de coleta e retorno dos produtos ao ciclo produtivo. Em relação à etapa de retorno ao ciclo produtivo, esta adquire importância para todo o sistema de logística reversa, devendo possuir uma gestão que vise garantir a qualidade dos produtos fabricados com matéria-prima secundária e que atenda à demanda de consumo destes produtos. Nesse contexto, o presente estudo teve como objetivo compreender como a etapa de retorno ao ciclo produtivo de embalagens plásticas, executada por uma rede de empresas da indústria plástica de Alagoas, é gerenciada. Foi realizada uma pesquisa qualitativa, de natureza descritiva e característica exploratória, por meio de um estudo de caso realizado em uma indústria de plástico de Alagoas. A pesquisa encontrou um processo, composto por um conjunto de atividades executadas de forma sequencial, por meio de três empresas, estruturadas em rede hierárquica informal, evidenciada por meio de características como:  forte interdependência de recursos físicos e financeiros, proximidade geográfica e ambiente predominantemente informal entre os proprietários. A gestão do processo apresenta-se de forma auto-organizada, em que nenhuma das três empresas se compromete pelo gerenciamento do processo como um todo, pois cada uma possui estratégias individuais de negócio. Por fim, constatou-se que, mesmo tendo uma gestão independente, os proprietários destas empresas buscam compartilhar informações entre eles, com o intuito de melhorar as atividades do processo, aumentando a qualidade e a produtividade e, consequentemente, tornando o canal reverso de reciclagem economicamente viável.",,4,Fernando Antonio Tenório,Audálio Fernandes dos Reis,Débora Eleonora Silva,Maria Conceição Melo Silva Luft,,,Universidade Federal de Sergipe,Universidade Federal de Sergipe,Universidade Federal de Sergipe,Universidade Federal de Sergipe,,,https://portalperiodicos.unoesc.edu.br/race/article/view/3552,"Revista de Administração, Contabilidade e Economia – RACE",,,,,,,
5,2014-02-17,O PROCESSO DE ADAPTAÇÃO ESTRATÉGICA DA ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GERÊNCIA: DA CONCEPÇÃO À PERCEPÇÃO DE SEUS GESTORES ESTRATÉGICOS,"Este artigo é resultante de uma pesquisa a qual teve como objetivo identificar os fatores que influenciaram o processo de adaptação estratégica vivenciado pela Escola Superior de Administração e Gerência (ESAG), no período de 1964 a 2009, segundo a percepção dos gestores estratégicos da organização. Trata-se de um estudo de caso longitudinal qualitativo. Utilizando-se dados primários e secundários, conseguiu-se estabelecer a análise dos dados, efetuada de forma histórico-interpretativa, de acordo com a abordagem qualitativa adotada, embasada na Pesquisa Direta. Com isso, identificaram-se eventos críticos, divididos em quatro períodos estratégicos na análise da Adaptação Estratégica; nos momentos estudados, percebeu-se a forte influência da gestão e do ambiente externo no processo de adaptação estratégica, de modo que os fatores externos foram determinantes nas mudanças e no processo de adaptação estratégico sofrido pela organização.Palavras-chave: Adaptação Estratégica Organizacional. Mudança. Estratégia. Ambiente Interno. Ambiente Externo.",Adaptação Estratégica Organizacional. Mudança. Estratégia. Ambiente Interno. Ambiente Externo.,2,Mariana Pereira Querino,Mário César Barreto Moraes,,,,,Universidade do Estado de Santa Catarina,,,,,,https://portalperiodicos.unoesc.edu.br/race/article/view/2238,"Revista de Administração, Contabilidade e Economia – RACE",,,,,,,
6,2014-03-12,ANÁLISE DA CONFORMIDADE DAS INFORMAÇÕES DIVULGADAS SOBRE ATIVOS INTANGÍVEIS EM EMPRESAS LISTADAS NA BM&FBOVESPA,"O estudo objetivou analisar o grau de conformidade das informações divulgadas sobre ativos intangíveis em empresas da BM&FBovespa, por meio de um índice de evidenciação elaborado com base no CPC 04. Para tal, realizou-se pesquisa descritiva, documental e quantitativa, com consulta ao Balanço Patrimonial, notas explicativas e relatórios de administração disponíveis no site da BM&FBovepa e websites das organizações. A amostra compreendeu 260 empresas de seis setores econômicos da BM&FBovespa com maiores e menores representatividades de ativos intangíveis no ano de 2009. Os resultados permitiram verificar uma boa representatividade dos ativos intangíveis que, em média, equivaliam a 17% do ativo total e 34% dos ativos fixos. Destacaram-se os softwares, ágio, contratos de concessão e marcas e patentes, sinalizando que, estes, eram os intangíveis mais recorrentes nas empresas brasileiras. Em relação à evidenciação, os resultados revelaram um índice médio de conformidade de 75%. Os índices demonstraram-se superiores nos setores de utilidade pública, construção e transporte e tecnologia da informação, que são aqueles com maiores proporções de intangíveis.Palavras-chave: Conformidade das informações divulgadas. Ativos intangíveis. Empresas da BM&FBovespa.",Conformidade das informações divulgadas. Ativos intangíveis. Empresas da BM&FBovespa.,2,Geovanne Dias de Moura,Patrícia Siqueira Varela,,,,,Universidade Regional de Blumenau,Universidade Federal de São Paulo,,,,,https://portalperiodicos.unoesc.edu.br/race/article/view/2659,"Revista de Administração, Contabilidade e Economia – RACE",,,,,,,
